[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (16) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[OK] Connected: 1512715329 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +1 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329\closed_trades.db
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T08:50:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:51:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:52:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:53:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:54:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:55:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:56:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:57:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:58:38+00:00 | no new closed trades
[LOOP] 2026-03-18T08:59:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:00:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:01:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:02:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:03:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:04:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:05:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:06:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:07:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:08:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:09:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:10:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:11:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:12:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:13:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:14:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:15:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:16:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:17:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:18:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:19:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:20:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:21:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:22:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:23:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:24:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:25:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:26:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:27:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:28:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:29:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:30:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:31:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:32:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:33:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:34:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:35:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:36:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:37:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:38:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:39:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:40:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:41:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:42:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:43:38+00:00 | no new closed trades
[LOOP] 2026-03-18T09:44:38+00:00 | no new closed trades
