[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +25 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324\closed_trades.csv
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-12T08:19:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:20:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:21:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:22:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:23:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:24:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:25:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:26:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:27:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:28:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:29:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:30:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:31:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:32:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:33:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:34:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:35:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:36:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:37:26+00:00 | no new closed trades
[LOOP] 2026-03-12T08:38:26+00:00 | no new closed trades
