[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T08:50:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:51:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:52:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:53:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:54:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:55:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:56:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:57:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:58:40+00:00 | no new closed trades
[LOOP] 2026-03-18T08:59:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:00:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:01:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:02:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:03:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:04:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:05:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:06:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:07:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:08:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:09:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:10:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:11:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:12:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:13:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:14:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:15:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:16:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:17:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:18:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:19:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:20:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:21:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:22:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:23:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:24:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:25:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:26:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:27:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:28:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:29:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:30:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:31:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:32:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:33:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:34:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:35:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:36:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:37:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:38:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:39:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:40:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:41:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:42:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:43:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:44:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:45:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:46:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:47:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:48:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:49:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:50:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:51:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:52:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:53:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:54:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:55:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:56:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:57:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:58:40+00:00 | no new closed trades
[LOOP] 2026-03-18T09:59:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:00:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:01:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:02:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:03:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:04:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:05:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:06:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:07:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:08:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:09:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:10:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:11:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:12:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:13:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:14:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:15:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:16:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:17:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:18:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:19:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:20:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:21:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:22:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:23:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:24:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:25:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:26:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:27:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:28:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:29:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:30:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:31:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:32:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:33:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:34:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:35:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:36:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:37:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:38:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:39:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:40:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:41:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:42:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:43:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:44:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:45:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:46:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:47:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:48:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:49:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:50:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:51:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:52:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:53:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:54:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:55:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:56:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:57:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:58:40+00:00 | no new closed trades
[LOOP] 2026-03-18T10:59:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:00:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:01:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:02:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:03:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:04:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:05:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:06:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:07:40+00:00 | no new closed trades
