[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324_DEMO
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo | DEMO
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324_DEMO | account_type=DEMO | server=FTMO-Demo
[INFO] Polling every 60s. Account=1512715324 | Type=DEMO | Server=FTMO-Demo. Stop with CTRL+C.
[LOOP] 2026-03-22T21:35:44+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:40:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:41:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:42:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:43:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:44:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:45:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:46:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:47:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:48:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:49:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:50:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:51:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:52:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:53:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:54:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:55:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:56:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:57:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:58:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T16:59:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:00:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:01:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:02:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:03:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:04:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:05:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:06:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:07:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:08:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:09:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:10:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:11:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:12:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:13:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:14:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:15:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:16:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:17:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:18:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:19:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:20:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:21:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:22:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:23:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:24:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:25:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:26:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:27:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:28:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:29:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:30:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
