feature,count,share_in_top_k
rank__profit_factor_oos,76,0.76
rank__expectancy_oos,62,0.62
rank__net_profit_oos,62,0.62
rank__trade_count_total,32,0.32
rank__trade_count_oos,31,0.31
rank__trade_count_is,24,0.24
rank__active_months,22,0.22
rank__win_rate_oos,22,0.22
rank__net_profit_total,20,0.2
rank__trades_per_month,19,0.19
rank__expectancy_total,18,0.18
rank__profit_factor_total,14,0.14
rank__avg_win_total,13,0.13
rank__avg_loss_total,11,0.11
rank__profit_factor_is,11,0.11
rank__win_rate_total,11,0.11
rank__payoff_ratio_total,10,0.1
rank__win_rate_is,10,0.1
rank__net_profit_is,8,0.08
rank__expectancy_is,7,0.07
