trade_date_utc,AUDJPY_1_3.14.146_BUY_M15,AUDJPY_2_5.20.109_BUY_M15,AUDJPY_3_3.19_BUY_M15,AUDJPY_46_3.50.181_BUY_M15,AUDJPY_47_6.30.171_BOTH_M15,AUDJPY_56_1.14.109_BUY_M15,AUDJPY_78_3.7.108_BUY_M15,AUDUSD_48_5.8.189_SELL_M15,AUDUSD_4_3.27.109_SELL_M15,AUDUSD_5_6.3.178_SELL_M15,AUDUSD_60_1.31.145_SELL_M15,AUDUSD_61_6.25.174_SELL_M15,AUDUSD_6_5.9.126_SELL_M15,EURGBP_10_5.21.111_SELL_M15,EURGBP_49_2.36.141_BOTH_M15,EURGBP_62_3.31.132_BUY_M15,EURGBP_63_4.21.189_SELL_M15,EURGBP_70_2.27.108_SELL_M15,EURGBP_7_3.16.177_SELL_M15,EURGBP_8_6.1.186_SELL_M15,EURGBP_9_5.2.127_SELL_M15,EURUSD_11_1.42.105_SELL_M15,EURUSD_12_3.47.124_BUY_M15,EURUSD_13_6.46.178_BUY_M15,EURUSD_14_5.6.167_BUY_M15,EURUSD_18_6.6.111_SELL_M15,EURUSD_59_2.34.129_SELL_M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_71_5.30.159_SELL_M15,EURUSD_72_5.42.127_SELL_M15,EURUSD_73_5.43.181_SELL_M15,GBPJPY_50_5.35.116_BUY_M15,GBPJPY_65_2.14.157_BUY_M15,GBPJPY_66_4.17.131_BOTH_M15,GBPJPY_67_4.19.99_BOTH_M15,GBPUSD_19_0.13205_BUY_M15,GBPUSD_20_1.32.126_BUY_M15,GBPUSD_21_3.3.167_BUY_M15,GBPUSD_22_6.11.100_SELL_M15,GBPUSD_69_3.13.113_BUY_M15,GBPUSD_74_6.52.179_SELL_M15,NZDUSD_23_2.12.147_SELL_M15,NZDUSD_24_4.41.120_SELL_M15,NZDUSD_25_5.7.105_SELL_M15,NZDUSD_26_2.6.180_SELL_M15,NZDUSD_27_6.16.107_SELL_M15,NZDUSD_75_4.73.120_SELL_M15,NZDUSD_76_5.71.164_BUY_M15,US500.cash_28_3.8.114_BUY_M15,US500.cash_29_3.32.156_BUY_M15,USDCAD_30_2.34.141_BUY_M15,USDCAD_31_3.2.189_BUY_M15,USDCAD_32_4.16.175_BUY_M15,USDCAD_33_5.11.180_BUY_M15,USDCAD_34_1.8.187_BUY_M15,USDCAD_51_6.27.122_BUY_M15,USDCAD_77_3.51.113_SELL_M15,USDCHF_35_3.1.133_SELL_M15,USDCHF_36_4.5.112_SELL_M15,USDCHF_52_3.17.186_BOTH_M15,USDCHF_53_6.47.153_BOTH_M15,USDCHF_55_6.23.134_BUY_M15,USDJPY_37_0.18430_BUY_M15,USDJPY_38_1.35.168_BUY_M15,USDJPY_39_6.27.190_BUY_M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_41_2.5.172_BUY_M15,USDJPY_57_4.8.181_BUY_M15,USOIL.cash_42_1.25.121_BUY_M15,USOIL.cash_43_5.11.112_BUY_M15,USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash_54_4.18.190_BOTH_M15,XAUUSD_45_2.13.130_BUY_M15,XAUUSD_58_5.6.136_BUY_M15
2021-07-02 00:00:00+00:00,-18.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5,0.0
2021-07-05 00:00:00+00:00,1.34,0.0,1.34,0.0,0.0,0.0,0.0,-13.1,-5.3,-3.5,-7.9,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.6,-3.2,0.0,0.0,0.0,0.0,-11.27,0.0,4.23,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,31.0,18.17,0.0,0.0,-15.26,0.0,0.0,0.0,-22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.12,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-06 00:00:00+00:00,44.14,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.4,24.0,-29.9,11.5,18.4,-10.8,-25.73,8.97,12.57,0.0,-10.73,-8.32,-7.49,0.0,-17.0,0.0,8.3,163.6,-20.2,-20.7,0.0,-14.8,-14.5,28.68,-91.46,-91.36,-91.39,0.0,-24.7,42.8,23.3,13.8,-23.9,18.1,37.2,-43.5,29.0,47.3,-35.8,0.0,0.0,0.0,16.97,125.42999999999999,21.58,147.14,-29.43,18.09,-23.51,0.0,-30.46,10.39,23.45,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,-6.24,-5.3,-6.25,-6.25,226.96,33.42
2021-07-07 00:00:00+00:00,-19.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,24.0,-28.2,10.0,-25.4,0.0,42.14,0.0,0.0,15.29,0.0,0.0,0.0,6.1,-21.8,0.0,-26.0,84.8,15.8,12.6,16.7,16.1,12.2,0.0,0.0,-29.84,-28.48,0.0,-18.2,14.6,0.0,0.0,0.0,16.1,-5.0,-42.8,29.0,0.0,40.0,0.0,0.0,-0.01,14.95,124.15,22.3,0.0,0.0,23.47,0.0,0.0,6.13,0.0,4.19,0.0,-51.550000000000004,0.0,0.0,0.0,0.0,-16.55,5.5,0.0,6.35,6.35,38.36,-100.52
2021-07-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,7.5,0.0,0.0,33.47,3.41,0.0,-25.37,-14.65,0.0,0.0,15.69,0.0,0.0,0.0,0.0,-83.6,0.0,8.6,-10.4,6.5,-19.1,-87.22,0.0,-91.78,-91.89,0.0,-16.5,-29.4,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,-32.94,0.0,0.0,-26.36,2.93,-60.77,0.0,0.0,0.0,0.0,0.0,0.0,-92.21,-10.11,0.0,-6.25,-6.25,226.96,101.48
2021-07-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.1,-42.0,-61.0,21.3,-46.5,-5.9,33.64,41.61,0.0,0.0,0.0,9.2,33.64,0.0,-8.2,30.2,0.0,11.1,-117.2,-32.6,7.1,-23.6,-20.6,-22.7,0.0,0.0,76.25,76.27,0.0,-22.6,52.4,0.0,16.4,0.0,15.0,-4.3,-40.2,-48.5,0.0,-28.7,0.0,0.0,-3.7,-65.29,-100.16,-64.88,0.0,-29.01,-33.04,0.0,-13.33,0.0,-22.81,0.0,0.0,53.11,0.0,1.36,0.0,0.0,23.25,5.5,9.75,6.35,6.35,38.56,50.98
2021-07-12 00:00:00+00:00,-19.16,0.0,14.32,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,1.08,4.0,8.57,0.0,-19.3,-11.96,17.6,0.0,6.0,-17.1,-11.9,0.7,0.0,0.0,6.1,12.3,11.7,10.6,0.0,29.9,14.5,-6.35,-14.4,0.0,0.0,-2.0,15.9,32.5,-3.0,-4.3,-3.0,-6.2,-16.1,29.0,-21.3,0.0,0.0,0.0,-50.589999999999996,-19.87,-10.88,0.0,-33.07,0.0,-11.7,12.45,0.0,0.0,0.0,10.86,0.0,32.61,6.43,0.0,8.61,0.0,0.0,0.0,0.0,0.0,65.47999999999999
2021-07-13 00:00:00+00:00,-19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,-20.21,0.0,-18.13,-11.13,22.76,0.0,0.0,-12.1,-11.9,-18.8,183.2,12.4,-35.5,0.0,-15.4,-15.2,-30.28,-38.15,0.0,0.0,-67.0,0.0,-39.4,15.6,0.0,22.5,0.0,0.0,0.0,0.0,0.0,26.2,-23.4,0.0,0.0,12.24,124.12,18.4,51.74,15.03,13.9,-17.32,-9.73,9.59,0.0,22.09,15.32,29.35,0.0,116.11,17.53,13.91,21.51,0.0,0.0,6.35,6.35,-18.64,101.48
2021-07-14 00:00:00+00:00,-19.1,0.0,0.36,0.0,0.0,0.0,0.0,-48.5,23.3,-28.3,-28.2,-11.0,0.0,-30.53,-26.09,-21.93,-2.39,-9.18,-19.3,-20.55,-20.55,-26.6,0.0,0.0,0.0,-225.2,-27.3,10.7,-21.6,-19.3,-17.3,0.0,-76.31,-69.67,-76.49,0.0,0.0,0.0,0.0,0.0,0.0,-86.1,-79.3,-36.9,-81.0,0.0,-22.9,0.0,0.0,0.0,13.63,-100.23,5.48,-25.06,14.97,14.73,0.0,0.0,0.0,0.0,-48.47,0.0,0.0,-50.93,0.0,-46.37,0.0,-59.66,-6.38,-5.3,-6.25,-6.25,226.96,101.48
2021-07-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67,44.8,0.0,-27.13,-17.89,0.1099999999999999,33.68,-35.56,0.0,-17.2,-17.9,0.0,0.0,-21.4,6.5,-19.0,-15.3,-15.2,-87.43,0.0,-65.92,-36.96,0.0,-13.5,-31.0,-14.1,14.3,69.2,0.0,0.0,38.8,0.0,32.9,0.0,0.0,0.0,0.0,0.0,123.48,0.0,0.0,14.94,23.68,16.18,0.0,0.0,-22.75,0.0,-17.23,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-5.3,-6.25,-6.25,21.96,16.68
