strategy_id,symbol_mode,side_mode,side_mix,trade_count,buy_trade_count,sell_trade_count,session_preferred_regimes,session_forbidden_regimes,session_regime_dependency_score,session_regime_confidence,volatility_preferred_regimes,volatility_forbidden_regimes,volatility_regime_dependency_score,volatility_regime_confidence,trend_preferred_regimes,trend_forbidden_regimes,trend_regime_dependency_score,trend_regime_confidence,composite_preferred_regimes,composite_forbidden_regimes,composite_regime_dependency_score,composite_regime_confidence
AUDJPY_1_3.14.146_BUY_M15,AUDJPY,,UNKNOWN,655,0,0,NEW_YORK,LONDON|NY_PM,0.6991451834810655,1.0,,HIGH_VOL,0.5809223906055239,1.0,,DOWNTREND,0.5495532877760343,1.0,ASIA|LOW_VOL|RANGE,LONDON|HIGH_VOL|RANGE,0.1343353442895777,0.5975609756097561
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,,UNKNOWN,664,0,0,ASIA|NEW_YORK,LONDON|NY_PM,0.8232601546529197,1.0,HIGH_VOL|LOW_VOL|UNKNOWN,,0.4659977703455965,1.0,UNKNOWN|UPTREND,RANGE,0.6315102787271885,1.0,ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN|LONDON|HIGH_VOL|DOWNTREND|LONDON|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|UPTREND,ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|MID_VOL|RANGE|NY_PM|HIGH_VOL|RANGE,0.16245246018540527,0.7
AUDJPY_3_3.19_BUY_M15,AUDJPY,BUY,BUY,621,621,0,ASIA|NEW_YORK|OFF_HOURS,NY_PM,0.8169946453039232,1.0,HIGH_VOL|LOW_VOL|MID_VOL|UNKNOWN,,0.47216377222268985,1.0,DOWNTREND|RANGE|UNKNOWN|UPTREND,,0.5419109876647121,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|UPTREND|NY_PM|MID_VOL|UPTREND,NY_PM|HIGH_VOL|DOWNTREND|NY_PM|HIGH_VOL|UPTREND|NY_PM|MID_VOL|RANGE,0.1370866087594252,0.6891891891891893
AUDJPY_46_3.50.181_BUY_M15,AUDJPY,,UNKNOWN,572,0,0,LONDON|NY_PM,NEW_YORK,0.49509927774244417,1.0,HIGH_VOL,MID_VOL,0.8758025525720673,1.0,UPTREND,,0.60399701258852,1.0,ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|RANGE|LONDON|HIGH_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|MID_VOL|UPTREND|LONDON|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|UPTREND,ASIA|HIGH_VOL|DOWNTREND|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|LONDON|HIGH_VOL|DOWNTREND|LONDON|MID_VOL|RANGE|NEW_YORK|UNKNOWN|UNKNOWN,0.16167937194220044,0.7368421052631579
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,,UNKNOWN,650,0,0,LONDON|NEW_YORK,,0.6719993470187324,0.875,MID_VOL,HIGH_VOL,0.7187385839676945,1.0,UPTREND,DOWNTREND,0.6858854989453618,1.0,ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|LOW_VOL|UPTREND|LONDON|MID_VOL|RANGE|LONDON|MID_VOL|UPTREND|LONDON|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|UPTREND,ASIA|HIGH_VOL|RANGE|ASIA|MID_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN,0.12980397356847664,0.7258064516129032
AUDJPY_56_1.14.109_BUY_M15,AUDJPY,,UNKNOWN,684,0,0,ASIA,LONDON|NEW_YORK|NY_PM,1.0,1.0,LOW_VOL|MID_VOL,UNKNOWN,0.4282850889610944,1.0,UPTREND,UNKNOWN,0.7325815545710834,1.0,ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|LONDON|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|UPTREND|NEW_YORK|MID_VOL|RANGE,ASIA|HIGH_VOL|RANGE|LONDON|MID_VOL|RANGE|NEW_YORK|HIGH_VOL|RANGE|NEW_YORK|MID_VOL|UPTREND|NEW_YORK|UNKNOWN|UNKNOWN,0.2549673289771969,0.6794871794871795
AUDJPY_78_3.7.108_BUY_M15,AUDJPY,BUY,BUY,622,622,0,ASIA|NEW_YORK|OFF_HOURS,NY_PM,0.8214662068795847,1.0,HIGH_VOL|LOW_VOL|MID_VOL|UNKNOWN,,0.47760270451039905,1.0,DOWNTREND|RANGE|UNKNOWN|UPTREND,,0.5433818209945355,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|UPTREND|NY_PM|MID_VOL|UPTREND,NY_PM|HIGH_VOL|DOWNTREND|NY_PM|HIGH_VOL|UPTREND|NY_PM|MID_VOL|RANGE,0.13226918437239735,0.6891891891891893
AUDUSD_48_5.8.189_SELL_M15,AUDUSD,,UNKNOWN,839,0,0,LONDON|NEW_YORK,,0.5604006083885438,1.0,HIGH_VOL|LOW_VOL,UNKNOWN,0.5149135777290572,1.0,DOWNTREND,UNKNOWN,0.5899601013776317,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|DOWNTREND|ASIA|MID_VOL|DOWNTREND|LONDON|HIGH_VOL|DOWNTREND|LONDON|HIGH_VOL|RANGE|LONDON|LOW_VOL|RANGE|LONDON|MID_VOL|DOWNTREND|LONDON|MID_VOL|RANGE,ASIA|HIGH_VOL|RANGE|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|LONDON|HIGH_VOL|UPTREND|LONDON|LOW_VOL|DOWNTREND|LONDON|LOW_VOL|UPTREND|LONDON|MID_VOL|UPTREND|LONDON|UNKNOWN|UNKNOWN,0.1794725492956703,0.8225806451612903
AUDUSD_4_3.27.109_SELL_M15,AUDUSD,SELL,SELL,513,0,513,NEW_YORK,NY_PM,0.5242351739340825,1.0,HIGH_VOL|LOW_VOL,UNKNOWN,0.6680730918088954,1.0,DOWNTREND|UPTREND,UNKNOWN,0.46603446423913203,1.0,ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|DOWNTREND|LONDON|HIGH_VOL|DOWNTREND|LONDON|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|DOWNTREND|NEW_YORK|HIGH_VOL|RANGE|NY_PM|HIGH_VOL|DOWNTREND,ASIA|HIGH_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|LONDON|HIGH_VOL|UPTREND|LONDON|UNKNOWN|UNKNOWN,0.15599307280551378,0.6829268292682926
AUDUSD_5_6.3.178_SELL_M15,AUDUSD,SELL,SELL,640,0,640,NEW_YORK,LONDON|NY_PM,0.5554087385482734,1.0,HIGH_VOL,MID_VOL|UNKNOWN,0.9804238505747127,1.0,UPTREND,UNKNOWN,0.6291180852825013,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|UPTREND|LONDON|HIGH_VOL|RANGE|LONDON|LOW_VOL|UPTREND|LONDON|MID_VOL|UPTREND|NEW_YORK|HIGH_VOL|DOWNTREND|NEW_YORK|HIGH_VOL|RANGE,ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|LONDON|HIGH_VOL|DOWNTREND|LONDON|MID_VOL|DOWNTREND|LONDON|MID_VOL|RANGE|LONDON|UNKNOWN|UNKNOWN,0.1386160456345663,0.7317073170731707
