strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-07-16 15:00:00+00:00,2021-07-16 21:59:40+00:00,-37.53,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-07-20 06:45:00+00:00,2021-07-20 23:45:00+00:00,36.14,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-07-21 05:15:00+00:00,2021-07-21 16:34:40+00:00,40.59,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-07-22 03:30:00+00:00,2021-07-22 12:24:40+00:00,31.92,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-07-28 07:15:00+00:00,2021-07-28 23:45:00+00:00,18.47,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-07-29 04:15:00+00:00,2021-07-29 11:05:20+00:00,39.69,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-08-02 18:00:00+00:00,2021-08-02 23:45:00+00:00,-18.56,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-08-03 02:45:00+00:00,2021-08-03 07:35:40+00:00,25.75,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-08-06 04:15:00+00:00,2021-08-06 23:45:00+00:00,-10.34,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,UNKNOWN,IS,2021-08-11 07:45:00+00:00,2021-08-11 15:42:40+00:00,20.01,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
