strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-07-20 12:00:00+00:00,2021-07-20 16:13:40+00:00,-28.42,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-07-21 04:00:00+00:00,2021-07-21 05:10:40+00:00,-28.3,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-07-22 08:00:00+00:00,2021-07-22 12:24:40+00:00,26.21,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-07-23 02:00:00+00:00,2021-07-23 23:45:00+00:00,-3.44,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-07-30 04:00:00+00:00,2021-07-30 17:57:40+00:00,-28.34,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-03 04:15:00+00:00,2021-08-03 05:22:20+00:00,6.23,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-05 04:00:00+00:00,2021-08-05 17:14:40+00:00,26.34,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-06 12:00:00+00:00,2021-08-06 23:45:00+00:00,-9.53,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-11 16:00:00+00:00,2021-08-11 23:45:00+00:00,-5.98,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-12 12:00:00+00:00,2021-08-12 13:22:40+00:00,4.97,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-18 16:00:00+00:00,2021-08-18 23:45:00+00:00,-20.59,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-19 16:00:00+00:00,2021-08-19 21:29:40+00:00,13.93,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-24 08:00:00+00:00,2021-08-24 17:29:40+00:00,26.38,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-25 12:00:00+00:00,2021-08-25 17:49:40+00:00,26.26,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-26 12:00:00+00:00,2021-08-26 17:48:40+00:00,-28.24,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-08-30 12:00:00+00:00,2021-08-30 23:45:00+00:00,3.28,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-02 08:00:00+00:00,2021-09-02 15:52:40+00:00,26.26,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-03 08:00:00+00:00,2021-09-03 15:15:40+00:00,26.28,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-06 02:00:00+00:00,2021-09-06 23:45:00+00:00,-11.65,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-16 12:00:00+00:00,2021-09-16 23:45:00+00:00,-1.73,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-23 08:00:00+00:00,2021-09-23 11:46:40+00:00,26.29,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-28 08:00:00+00:00,2021-09-28 10:22:40+00:00,-27.94,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-09-29 02:00:00+00:00,2021-09-29 15:36:40+00:00,-27.91,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-04 08:00:00+00:00,2021-10-04 16:31:40+00:00,26.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-05 02:00:00+00:00,2021-10-05 04:21:40+00:00,-28.03,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-06 04:00:00+00:00,2021-10-06 04:54:20+00:00,-27.89,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-08 16:00:00+00:00,2021-10-08 22:13:40+00:00,25.74,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-11 04:00:00+00:00,2021-10-11 05:42:40+00:00,25.67,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-12 08:00:00+00:00,2021-10-12 13:42:40+00:00,25.48,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-13 08:00:00+00:00,2021-10-13 11:44:40+00:00,25.42,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-14 02:00:00+00:00,2021-10-14 11:23:20+00:00,-45.1,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-15 02:00:00+00:00,2021-10-15 08:19:40+00:00,25.31,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-19 03:30:00+00:00,2021-10-19 03:37:40+00:00,6.0,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-20 04:00:00+00:00,2021-10-20 23:45:00+00:00,20.86,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-26 02:00:00+00:00,2021-10-26 04:13:40+00:00,25.34,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-27 02:00:00+00:00,2021-10-27 03:59:40+00:00,25.28,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-10-29 08:00:00+00:00,2021-10-29 23:45:00+00:00,-2.67,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-11-01 08:00:00+00:00,2021-11-01 18:34:40+00:00,25.26,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,UNKNOWN,IS,2021-11-02 04:00:00+00:00,2021-11-02 06:30:40+00:00,-27.33,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
