strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-06 08:30:00+00:00,2021-07-06 16:37:00+00:00,11.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-07 14:15:00+00:00,2021-07-07 16:55:00+00:00,10.0,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-09 12:15:00+00:00,2021-07-09 17:36:40+00:00,-46.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-14 17:15:00+00:00,2021-07-14 23:45:00+00:00,-11.0,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-21 16:45:00+00:00,2021-07-21 23:45:00+00:00,-27.9,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-22 16:30:00+00:00,2021-07-22 16:37:40+00:00,12.6,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-26 16:45:00+00:00,2021-07-26 23:45:00+00:00,-4.9,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-27 18:15:00+00:00,2021-07-27 18:55:00+00:00,16.9,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-07-29 01:00:00+00:00,2021-07-29 05:10:40+00:00,14.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-03 09:45:00+00:00,2021-08-03 16:36:40+00:00,11.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-10 17:45:00+00:00,2021-08-10 23:45:00+00:00,1.1,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-11 18:15:00+00:00,2021-08-11 23:45:00+00:00,1.9,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-13 17:45:00+00:00,2021-08-13 23:45:00+00:00,-0.8,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-18 05:30:00+00:00,2021-08-18 12:58:00+00:00,10.4,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-20 16:45:00+00:00,2021-08-20 18:01:40+00:00,13.6,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-23 03:45:00+00:00,2021-08-23 15:34:40+00:00,-44.3,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-24 17:30:00+00:00,2021-08-24 23:45:00+00:00,2.8,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,UNKNOWN,IS,2021-08-25 19:15:00+00:00,2021-08-25 23:45:30+00:00,-10.2,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
