strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-06 12:30:00+00:00,2021-07-06 23:45:00+00:00,-20.7,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-07 17:30:00+00:00,2021-07-07 18:40:40+00:00,12.6,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-08 05:00:00+00:00,2021-07-08 08:40:20+00:00,8.6,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-09 09:30:00+00:00,2021-07-09 10:51:40+00:00,7.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-12 09:45:00+00:00,2021-07-12 10:14:40+00:00,6.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-13 11:15:00+00:00,2021-07-13 15:30:40+00:00,-35.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-14 01:00:00+00:00,2021-07-14 09:28:40+00:00,10.7,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-15 06:00:00+00:00,2021-07-15 08:26:40+00:00,6.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-16 15:00:00+00:00,2021-07-16 16:16:40+00:00,8.6,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-19 11:15:00+00:00,2021-07-19 16:11:40+00:00,7.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-20 08:30:00+00:00,2021-07-20 12:14:40+00:00,6.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-21 05:30:00+00:00,2021-07-21 10:32:40+00:00,-24.8,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-22 19:30:00+00:00,2021-07-22 23:45:00+00:00,-1.4,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-23 09:00:00+00:00,2021-07-23 10:50:40+00:00,6.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-27 09:15:00+00:00,2021-07-27 10:12:40+00:00,-21.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-28 09:45:00+00:00,2021-07-28 11:55:40+00:00,6.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-07-30 08:45:00+00:00,2021-07-30 10:00:40+00:00,5.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-03 18:00:00+00:00,2021-08-03 23:45:00+00:00,-2.6,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-04 19:30:00+00:00,2021-08-04 23:45:00+00:00,-5.6,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-06 03:30:00+00:00,2021-08-06 11:27:40+00:00,-21.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-09 02:15:00+00:00,2021-08-09 07:57:40+00:00,7.699999999999999,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-10 05:00:00+00:00,2021-08-10 13:13:40+00:00,-18.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-11 09:15:00+00:00,2021-08-11 15:30:40+00:00,4.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-16 09:00:00+00:00,2021-08-16 14:20:40+00:00,-17.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-17 06:15:00+00:00,2021-08-17 11:12:00+00:00,4.7,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-18 01:15:00+00:00,2021-08-18 05:30:40+00:00,7.4,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-19 04:15:00+00:00,2021-08-19 14:57:40+00:00,9.0,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-24 05:00:00+00:00,2021-08-24 15:42:40+00:00,5.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-25 03:45:00+00:00,2021-08-25 11:22:40+00:00,6.2,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-08-31 18:00:00+00:00,2021-08-31 23:45:00+00:00,-1.5,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-01 08:15:00+00:00,2021-09-01 09:58:40+00:00,5.7,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-02 08:00:00+00:00,2021-09-02 09:03:40+00:00,4.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-06 06:15:00+00:00,2021-09-06 23:45:00+00:00,-8.9,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-07 09:00:00+00:00,2021-09-07 10:38:40+00:00,3.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-08 08:45:00+00:00,2021-09-08 11:20:40+00:00,-19.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-13 01:30:00+00:00,2021-09-13 08:08:20+00:00,-23.8,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-15 01:30:00+00:00,2021-09-15 10:34:40+00:00,7.800000000000001,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-16 07:45:00+00:00,2021-09-16 09:53:40+00:00,-17.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-17 17:15:00+00:00,2021-09-17 23:45:00+00:00,-28.5,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-20 01:30:00+00:00,2021-09-20 12:25:40+00:00,-25.7,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-21 18:15:00+00:00,2021-09-21 23:45:00+00:00,-1.1,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-22 03:45:00+00:00,2021-09-22 10:08:40+00:00,6.1,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-23 02:45:00+00:00,2021-09-23 06:43:40+00:00,11.9,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-24 09:45:00+00:00,2021-09-24 14:26:40+00:00,-20.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
EURUSD_64_4.34.165_BUY_M15,EURUSD,BUY,IS,2021-09-27 10:45:00+00:00,2021-09-27 23:45:00+00:00,-12.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
