strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-06 02:30:00+00:00,2021-07-06 17:18:40+00:00,-91.46,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-12 14:15:00+00:00,2021-07-12 23:45:00+00:00,29.9,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-13 03:15:00+00:00,2021-07-13 23:45:00+00:00,-38.15,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-14 11:30:00+00:00,2021-07-14 23:45:00+00:00,-76.31,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-22 08:30:00+00:00,2021-07-22 23:45:00+00:00,39.02,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-23 01:45:00+00:00,2021-07-23 23:45:00+00:00,28.31,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-26 12:45:00+00:00,2021-07-26 23:45:00+00:00,16.12,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-27 01:00:00+00:00,2021-07-27 10:37:40+00:00,-91.89,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-28 02:30:00+00:00,2021-07-28 23:45:00+00:00,34.94,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-29 07:15:00+00:00,2021-07-29 23:45:00+00:00,-10.78,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-07-30 12:00:00+00:00,2021-07-30 23:45:00+00:00,-47.22,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-04 06:30:00+00:00,2021-08-04 23:45:00+00:00,11.6,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-05 07:30:00+00:00,2021-08-05 23:45:00+00:00,31.25,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-06 14:45:00+00:00,2021-08-06 23:45:00+00:00,9.7,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-10 17:00:00+00:00,2021-08-10 23:45:00+00:00,-17.09,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-11 09:30:00+00:00,2021-08-11 23:45:00+00:00,1.08,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-12 07:15:00+00:00,2021-08-12 23:45:00+00:00,-62.03,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-19 07:15:00+00:00,2021-08-19 11:14:40+00:00,-92.14,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-24 07:45:00+00:00,2021-08-24 23:45:00+00:00,-6.56,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-25 01:30:00+00:00,2021-08-25 23:45:00+00:00,70.64,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-26 07:45:00+00:00,2021-08-26 23:45:00+00:00,-45.79,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-27 15:00:00+00:00,2021-08-27 23:45:00+00:00,-12.74,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-30 11:30:00+00:00,2021-08-30 23:45:00+00:00,-3.27,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-08-31 01:45:00+00:00,2021-08-31 23:45:00+00:00,-0.27,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-01 01:15:00+00:00,2021-09-01 23:45:00+00:00,18.99,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-02 06:45:00+00:00,2021-09-02 23:45:00+00:00,51.4,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-03 02:00:00+00:00,2021-09-03 23:45:00+00:00,-6.19,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-06 03:30:00+00:00,2021-09-06 23:45:00+00:00,-31.86,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-08 04:45:00+00:00,2021-09-08 23:45:00+00:00,-32.93,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-10 09:00:00+00:00,2021-09-10 23:45:00+00:00,-34.58,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-14 10:00:00+00:00,2021-09-14 21:26:40+00:00,-92.24,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-17 08:15:00+00:00,2021-09-17 23:45:00+00:00,-64.56,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-23 08:45:00+00:00,2021-09-23 16:47:40+00:00,130.69,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-24 02:45:00+00:00,2021-09-24 23:45:00+00:00,6.58,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-27 11:45:00+00:00,2021-09-27 23:45:00+00:00,4.58,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-09-28 08:30:00+00:00,2021-09-28 14:57:40+00:00,-90.76,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-01 14:15:00+00:00,2021-10-01 23:45:00+00:00,8.54,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-04 11:15:00+00:00,2021-10-04 23:45:00+00:00,14.15,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-05 09:30:00+00:00,2021-10-05 23:45:00+00:00,64.05,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-06 08:15:00+00:00,2021-10-06 12:16:40+00:00,-90.65,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-08 03:00:00+00:00,2021-10-08 23:45:00+00:00,66.53,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-11 01:00:00+00:00,2021-10-11 15:32:40+00:00,127.16,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPJPY_65_2.14.157_BUY_M15,GBPJPY,UNKNOWN,IS,2021-10-13 08:00:00+00:00,2021-10-13 23:45:00+00:00,16.57,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
