strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-06 14:15:00+00:00,2021-07-06 17:17:40+00:00,23.3,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-12 17:15:00+00:00,2021-07-12 22:42:40+00:00,-2.0,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-13 09:45:00+00:00,2021-07-13 10:06:40+00:00,15.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-15 10:45:00+00:00,2021-07-15 11:15:40+00:00,-14.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-23 15:30:00+00:00,2021-07-23 18:04:40+00:00,-2.8,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-26 08:15:00+00:00,2021-07-26 09:59:40+00:00,-2.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-27 16:00:00+00:00,2021-07-27 17:04:40+00:00,-3.9,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-28 09:00:00+00:00,2021-07-28 11:52:40+00:00,-8.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-07-30 09:15:00+00:00,2021-07-30 17:28:20+00:00,13.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-03 17:15:00+00:00,2021-08-03 23:45:00+00:00,-17.6,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-06 10:30:00+00:00,2021-08-06 11:44:40+00:00,-4.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-12 10:45:00+00:00,2021-08-12 11:39:40+00:00,-7.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-16 09:30:00+00:00,2021-08-16 10:16:40+00:00,-4.7,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-24 12:15:30+00:00,2021-08-24 13:12:40+00:00,-12.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-25 10:15:00+00:00,2021-08-25 16:58:40+00:00,-1.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-26 10:45:00+00:00,2021-08-26 12:58:20+00:00,-1.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-30 11:00:00+00:00,2021-08-30 14:48:40+00:00,0.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-08-31 18:30:00+00:00,2021-08-31 23:45:00+00:00,4.3,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-09-03 08:30:00+00:00,2021-09-03 09:31:00+00:00,-1.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-09-06 11:15:00+00:00,2021-09-06 12:59:40+00:00,-3.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_22_6.11.100_SELL_M15,GBPUSD,UNKNOWN,IS,2021-09-13 17:45:00+00:00,2021-09-13 23:16:40+00:00,-8.2,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
