strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-06 04:45:00+00:00,2021-07-06 12:15:40+00:00,13.8,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-08 08:45:00+00:00,2021-07-08 09:54:40+00:00,14.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-09 08:15:00+00:00,2021-07-09 09:32:00+00:00,16.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-12 04:15:00+00:00,2021-07-12 06:24:40+00:00,15.9,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-15 08:30:00+00:00,2021-07-15 10:27:40+00:00,14.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-16 03:15:00+00:00,2021-07-16 09:51:40+00:00,15.7,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-21 12:00:00+00:00,2021-07-21 14:01:40+00:00,21.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-22 09:30:00+00:00,2021-07-22 10:04:40+00:00,-18.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-23 02:15:00+00:00,2021-07-23 09:04:40+00:00,16.6,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-26 10:30:00+00:00,2021-07-26 11:17:20+00:00,16.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-27 03:00:00+00:00,2021-07-27 06:54:40+00:00,-9.1,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-28 03:15:00+00:00,2021-07-28 08:00:40+00:00,15.2,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-29 08:30:00+00:00,2021-07-29 10:02:40+00:00,-16.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-07-30 10:15:00+00:00,2021-07-30 16:32:40+00:00,12.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-04 05:00:00+00:00,2021-08-04 06:03:40+00:00,-12.0,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-05 03:15:00+00:00,2021-08-05 05:36:40+00:00,11.0,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-06 10:00:00+00:00,2021-08-06 10:10:00+00:00,10.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-12 02:30:00+00:00,2021-08-12 06:52:40+00:00,-9.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-16 14:30:00+00:00,2021-08-16 16:32:20+00:00,17.0,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-24 07:45:00+00:00,2021-08-24 11:15:40+00:00,9.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-25 08:15:30+00:00,2021-08-25 10:30:40+00:00,-6.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-30 04:30:00+00:00,2021-08-30 10:31:00+00:00,14.4,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-08-31 14:45:00+00:00,2021-08-31 16:06:40+00:00,17.8,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-02 03:15:00+00:00,2021-09-02 04:38:00+00:00,-8.3,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-03 03:15:00+00:00,2021-09-03 08:49:59+00:00,-2.3,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-08 14:15:00+00:00,2021-09-08 17:28:40+00:00,16.4,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-09 09:45:00+00:00,2021-09-09 10:23:40+00:00,-12.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-10 03:15:00+00:00,2021-09-10 05:19:00+00:00,-5.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-13 02:30:00+00:00,2021-09-13 06:00:40+00:00,-5.0,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-14 03:45:00+00:00,2021-09-14 05:43:00+00:00,-10.9,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-16 14:30:00+00:00,2021-09-16 15:46:40+00:00,16.7,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-17 15:30:00+00:00,2021-09-17 16:30:20+00:00,16.2,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-23 05:00:00+00:00,2021-09-23 06:41:40+00:00,-13.6,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-24 03:15:00+00:00,2021-09-24 10:03:40+00:00,15.2,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-09-28 08:00:00+00:00,2021-09-28 09:25:40+00:00,11.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
GBPUSD_69_3.13.113_BUY_M15,GBPUSD,UNKNOWN,IS,2021-10-01 11:45:00+00:00,2021-10-01 12:29:40+00:00,-17.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
