strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-12 09:45:00+00:00,2021-07-12 13:13:40+00:00,-21.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-13 11:15:00+00:00,2021-07-13 15:30:40+00:00,-23.4,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-19 10:30:00+00:00,2021-07-19 11:50:40+00:00,-23.1,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-21 09:00:00+00:00,2021-07-21 11:43:40+00:00,14.9,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-22 06:00:00+00:00,2021-07-22 14:58:40+00:00,13.9,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-23 07:15:00+00:00,2021-07-23 10:45:40+00:00,-21.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-26 09:45:00+00:00,2021-07-26 16:31:40+00:00,14.7,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-27 16:45:00+00:00,2021-07-27 23:45:00+00:00,1.2,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-28 10:15:00+00:00,2021-07-28 11:15:40+00:00,-24.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-07-30 08:30:00+00:00,2021-07-30 11:09:40+00:00,14.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-06 15:45:00+00:00,2021-08-06 16:47:40+00:00,-22.1,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-09 11:15:00+00:00,2021-08-09 14:22:40+00:00,16.2,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-10 05:00:00+00:00,2021-08-10 13:37:40+00:00,13.4,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-11 09:15:00+00:00,2021-08-11 15:02:40+00:00,9.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-12 08:00:00+00:00,2021-08-12 15:30:40+00:00,-17.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-13 14:30:00+00:00,2021-08-13 15:04:40+00:00,10.5,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-16 06:00:00+00:00,2021-08-16 06:12:40+00:00,-14.7,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-26 09:45:00+00:00,2021-08-26 10:38:40+00:00,12.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-08-27 16:15:00+00:00,2021-08-27 17:00:40+00:00,15.5,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-09-01 08:00:00+00:00,2021-09-01 10:27:40+00:00,14.6,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-09-06 08:00:00+00:00,2021-09-06 12:49:40+00:00,-17.8,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
NZDUSD_76_5.71.164_BUY_M15,NZDUSD,UNKNOWN,IS,2021-09-07 08:00:00+00:00,2021-09-07 08:08:40+00:00,-19.7,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
