strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-06 04:15:00+00:00,2021-07-06 12:35:40+00:00,23.45,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-07 02:45:00+00:00,2021-07-07 23:45:00+00:00,4.19,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-08 03:30:00+00:00,2021-07-08 10:59:40+00:00,-60.77,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-13 11:30:00+00:00,2021-07-13 15:30:40+00:00,22.09,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-14 04:10:00+00:00,2021-07-14 23:45:00+00:00,-48.47,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-19 04:45:00+00:00,2021-07-19 12:14:40+00:00,22.86,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-21 04:45:00+00:00,2021-07-21 23:45:00+00:00,-44.16,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-07-23 08:00:00+00:00,2021-07-23 14:31:40+00:00,15.7,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-06 02:00:00+00:00,2021-08-06 15:30:40+00:00,20.23,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-09 17:15:00+00:00,2021-08-09 23:45:00+00:00,17.9,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-10 16:00:00+00:00,2021-08-10 23:45:00+00:00,-7.83,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-11 04:00:00+00:00,2021-08-11 23:45:00+00:00,-22.16,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-18 16:00:00+00:00,2021-08-18 18:26:40+00:00,36.95,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-20 02:30:00+00:00,2021-08-20 23:45:00+00:00,-26.84,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-25 16:00:00+00:00,2021-08-25 23:45:00+00:00,-21.69,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDCHF_53_6.47.153_BOTH_M15,USDCHF,UNKNOWN,IS,2021-08-26 05:00:00+00:00,2021-08-26 10:00:20+00:00,24.42,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
