strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-07 16:15:00+00:00,2021-07-07 23:45:00+00:00,-10.31,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-07 16:15:00+00:00,2021-07-07 23:45:00+00:00,-41.24,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-09 13:45:00+00:00,2021-07-09 23:45:00+00:00,10.62,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-09 13:45:00+00:00,2021-07-09 23:45:00+00:00,42.49,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-12 14:45:00+00:00,2021-07-12 23:45:30+00:00,2.17,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-12 14:45:00+00:00,2021-07-12 23:45:30+00:00,8.69,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-13 16:00:00+00:00,2021-07-13 23:45:00+00:00,5.87,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-13 16:00:00+00:00,2021-07-13 23:45:00+00:00,23.48,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-16 10:45:00+00:00,2021-07-16 23:45:00+00:00,-61.78,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-16 10:45:00+00:00,2021-07-16 23:45:00+00:00,-15.45,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-19 08:45:00+00:00,2021-07-19 15:16:20+00:00,-37.5,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-19 08:45:00+00:00,2021-07-19 15:16:20+00:00,-149.99,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-20 17:15:00+00:00,2021-07-20 23:45:00+00:00,16.66,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-20 17:15:00+00:00,2021-07-20 23:45:00+00:00,66.64,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-21 10:30:00+00:00,2021-07-21 23:45:00+00:00,20.76,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_37_0.18430_BUY_M15,USDJPY,UNKNOWN,IS,2021-07-21 10:30:00+00:00,2021-07-21 23:45:00+00:00,83.05,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
