strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-09 11:30:00+00:00,2021-07-09 23:45:00+00:00,0.27,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-09 11:30:00+00:00,2021-07-09 23:45:00+00:00,1.09,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-12 01:30:00+00:00,2021-07-12 23:45:30+00:00,6.52,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-12 01:30:00+00:00,2021-07-12 23:45:30+00:00,26.09,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-13 00:30:00+00:00,2021-07-13 23:45:00+00:00,23.22,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-13 00:30:00+00:00,2021-07-13 23:45:00+00:00,92.89,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-16 10:30:00+00:00,2021-07-16 23:45:00+00:00,-3.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-16 10:30:00+00:00,2021-07-16 23:45:00+00:00,-12.0,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-19 10:00:00+00:00,2021-07-19 16:27:40+00:00,-74.21,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-19 10:00:00+00:00,2021-07-19 16:27:40+00:00,-296.84,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-20 17:30:00+00:00,2021-07-20 23:45:00+00:00,5.83,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-20 17:30:00+00:00,2021-07-20 23:45:00+00:00,23.31,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-21 01:45:00+00:00,2021-07-21 23:45:00+00:00,35.81,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USDJPY_39_6.27.190_BUY_M15,USDJPY,BUY,IS,2021-07-21 01:45:00+00:00,2021-07-21 23:45:00+00:00,143.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
