strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-06 08:45:00+00:00,2021-07-06 14:42:40+00:00,-6.25,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-07 04:15:00+00:00,2021-07-07 10:03:20+00:00,6.35,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-08 04:15:00+00:00,2021-07-08 11:02:40+00:00,-6.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-09 04:15:00+00:00,2021-07-09 10:16:40+00:00,6.35,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-13 14:00:00+00:00,2021-07-13 18:42:40+00:00,6.35,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-14 01:15:30+00:00,2021-07-14 14:10:40+00:00,-6.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-15 03:30:00+00:00,2021-07-15 04:35:20+00:00,-6.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-16 08:45:00+00:00,2021-07-16 11:55:40+00:00,6.35,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-23 17:00:00+00:00,2021-07-23 21:28:40+00:00,6.35,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-27 03:30:00+00:00,2021-07-27 18:40:40+00:00,-6.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-28 10:00:00+00:00,2021-07-28 23:45:00+00:00,3.3,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-07-30 04:15:00+00:00,2021-07-30 16:33:40+00:00,6.35,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-08-03 05:45:00+00:00,2021-08-03 12:00:40+00:00,6.35,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-08-11 13:15:00+00:00,2021-08-11 15:05:40+00:00,-6.25,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-08-12 03:30:00+00:00,2021-08-12 18:10:40+00:00,-6.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-08-13 02:15:00+00:00,2021-08-13 21:33:40+00:00,-6.25,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-08-31 21:30:00+00:00,2021-08-31 23:45:00+00:00,0.86,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-09-01 12:00:00+00:00,2021-09-01 16:03:40+00:00,-6.25,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-09-02 03:45:00+00:00,2021-09-02 11:33:40+00:00,6.35,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-09-03 16:30:00+00:00,2021-09-03 21:33:20+00:00,-6.25,NEW_YORK,UNKNOWN,UNKNOWN,UNKNOWN,NEW_YORK|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-09-07 10:15:00+00:00,2021-09-07 13:19:40+00:00,-6.25,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash,UNKNOWN,IS,2021-09-08 20:15:00+00:00,2021-09-08 23:45:00+00:00,4.2,NY_PM,UNKNOWN,UNKNOWN,UNKNOWN,NY_PM|UNKNOWN|UNKNOWN
