strategy_id,symbol,trade_side,sample_type,open_time_utc,close_time_utc,net_sum,session_regime_at_entry,volatility_regime_at_entry,liquidity_regime_at_entry,trend_regime_at_entry,composite_regime_at_entry
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-02 03:45:00+00:00,2021-07-02 15:00:40+00:00,113.5,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-06 04:45:00+00:00,2021-07-06 09:00:40+00:00,113.48,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-06 04:45:00+00:00,2021-07-06 09:00:40+00:00,113.48,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-07 04:30:00+00:00,2021-07-07 23:45:00+00:00,19.18,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-07 04:30:00+00:00,2021-07-07 23:45:00+00:00,19.18,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-08 10:30:00+00:00,2021-07-08 13:00:40+00:00,113.48,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-08 10:30:00+00:00,2021-07-08 13:00:40+00:00,113.48,LONDON,UNKNOWN,UNKNOWN,UNKNOWN,LONDON|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-09 04:45:00+00:00,2021-07-09 23:45:00+00:00,19.28,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-09 04:45:00+00:00,2021-07-09 23:45:00+00:00,19.28,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
XAUUSD_45_2.13.130_BUY_M15,XAUUSD,UNKNOWN,IS,2021-07-13 03:15:00+00:00,2021-07-13 23:45:00+00:00,-9.32,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,ASIA|UNKNOWN|UNKNOWN
