lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-394.7700000000009,-636.9345000000001,-64.86,-50.45,True,True,True,True,True
0.2,-789.5400000000018,-1273.8690000000001,-129.72,-100.9,True,True,True,True,True
0.3,-1184.3100000000024,-1910.8035,-194.57999999999996,-151.35,True,True,True,True,True
0.4,-1579.0800000000036,-2547.7380000000003,-259.44,-201.8,False,False,True,True,False
0.5,-1973.8500000000045,-3184.6725000000006,-324.3,-252.25,False,False,True,True,False
0.6,-2368.620000000005,-3821.607,-389.1599999999999,-302.7,False,False,True,True,False
0.7,-2763.390000000006,-4458.5415,-454.0199999999999,-353.15,False,False,True,True,False
0.8,-3158.160000000007,-5095.476000000001,-518.88,-403.6,False,False,True,True,False
0.9,-3552.930000000008,-5732.410500000001,-583.74,-454.05,False,False,True,False,False
1.0,-3947.700000000009,-6369.345000000001,-648.6,-504.5,False,False,True,False,False
1.1,-4342.47000000001,-7006.279500000001,-713.46,-554.95,False,False,False,False,False
1.2,-4737.24000000001,-7643.214,-778.3199999999998,-605.4,False,False,False,False,False
1.3,-5132.010000000011,-8280.148500000001,-843.18,-655.85,False,False,False,False,False
1.4,-5526.780000000012,-8917.083,-908.0399999999998,-706.3,False,False,False,False,False
1.5,-5921.550000000014,-9554.017500000002,-972.9,-756.75,False,False,False,False,False
1.6,-6316.320000000014,-10190.952000000001,-1037.76,-807.2,False,False,False,False,False
1.7,-6711.090000000015,-10827.8865,-1102.62,-857.6500000000001,False,False,False,False,False
1.8,-7105.860000000016,-11464.821000000002,-1167.48,-908.1,False,False,False,False,False
1.9,-7500.630000000016,-12101.7555,-1232.3399999999997,-958.5499999999998,False,False,False,False,False
2.0,-7895.400000000018,-12738.690000000002,-1297.2,-1009.0,False,False,False,False,False
2.1,-8290.170000000018,-13375.624500000002,-1362.06,-1059.45,False,False,False,False,False
2.2,-8684.94000000002,-14012.559000000001,-1426.92,-1109.9,False,False,False,False,False
2.3,-9079.71000000002,-14649.493499999999,-1491.7799999999997,-1160.35,False,False,False,False,False
2.4,-9474.48000000002,-15286.428,-1556.6399999999996,-1210.8,False,False,False,False,False
2.5,-9869.250000000022,-15923.362500000001,-1621.5,-1261.25,False,False,False,False,False
2.6,-10264.020000000022,-16560.297000000002,-1686.36,-1311.7,False,False,False,False,False
2.7,-10658.790000000025,-17197.2315,-1751.22,-1362.15,False,False,False,False,False
2.8,-11053.560000000023,-17834.166,-1816.0799999999997,-1412.6,False,False,False,False,False
2.9,-11448.330000000024,-18471.1005,-1880.9399999999998,-1463.05,False,False,False,False,False
3.0,-11843.100000000028,-19108.035000000003,-1945.8,-1513.5,False,False,False,False,False
3.1,-12237.870000000028,-19744.969500000003,-2010.66,-1563.95,False,False,False,False,False
3.2,-12632.640000000029,-20381.904000000002,-2075.52,-1614.4,False,False,False,False,False
3.3,-13027.410000000027,-21018.838499999998,-2140.3799999999997,-1664.8499999999997,False,False,False,False,False
3.4,-13422.18000000003,-21655.773,-2205.24,-1715.3000000000002,False,False,False,False,False
3.5,-13816.950000000032,-22292.707500000004,-2270.1,-1765.75,False,False,False,False,False
3.6,-14211.720000000032,-22929.642000000003,-2334.96,-1816.2,False,False,False,False,False
3.7,-14606.490000000033,-23566.576500000003,-2399.82,-1866.65,False,False,False,False,False
3.8,-15001.260000000031,-24203.511,-2464.6799999999994,-1917.0999999999997,False,False,False,False,False
3.9,-15396.030000000035,-24840.4455,-2529.54,-1967.5500000000002,False,False,False,False,False
4.0,-15790.800000000036,-25477.380000000005,-2594.4,-2018.0,False,False,False,False,False
4.1,-16185.570000000034,-26114.314499999997,-2659.2599999999993,-2068.45,False,False,False,False,False
4.2,-16580.340000000037,-26751.249000000003,-2724.12,-2118.9,False,False,False,False,False
4.3,-16975.110000000037,-27388.1835,-2788.9799999999996,-2169.35,False,False,False,False,False
4.4,-17369.88000000004,-28025.118000000002,-2853.84,-2219.8,False,False,False,False,False
4.5,-17764.65000000004,-28662.0525,-2918.7,-2270.25,False,False,False,False,False
4.6,-18159.42000000004,-29298.986999999997,-2983.5599999999995,-2320.7,False,False,False,False,False
4.7,-18554.190000000042,-29935.921500000004,-3048.42,-2371.15,False,False,False,False,False
4.8,-18948.96000000004,-30572.856,-3113.2799999999993,-2421.6,False,False,False,False,False
4.9,-19343.730000000043,-31209.790500000003,-3178.14,-2472.05,False,False,False,False,False
5.0,-19738.500000000044,-31846.725000000002,-3243.0,-2522.5,False,False,False,False,False
