lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-223.29999999999984,-501.437,-45.1,-27.125999999999998,True,True,True,True,True
0.2,-446.5999999999997,-1002.874,-90.2,-54.251999999999995,True,True,True,True,True
0.3,-669.8999999999994,-1504.311,-135.29999999999998,-81.37799999999999,True,True,True,True,True
0.4,-893.1999999999994,-2005.748,-180.4,-108.50399999999999,True,True,True,True,True
0.5,-1116.499999999999,-2507.185,-225.5,-135.63,True,False,True,True,False
0.6,-1339.7999999999988,-3008.622,-270.59999999999997,-162.75599999999997,False,False,True,True,False
0.7,-1563.0999999999988,-3510.0589999999997,-315.7,-189.88199999999995,False,False,True,True,False
0.8,-1786.3999999999987,-4011.496,-360.8,-217.00799999999998,False,False,True,True,False
0.9,-2009.6999999999985,-4512.933,-405.90000000000003,-244.134,False,False,True,True,False
1.0,-2232.999999999998,-5014.37,-451.0,-271.26,False,False,True,True,False
1.1,-2456.2999999999984,-5515.807,-496.1,-298.38599999999997,False,False,True,True,False
1.2,-2679.5999999999976,-6017.244,-541.1999999999999,-325.51199999999994,False,False,True,True,False
1.3,-2902.899999999998,-6518.6810000000005,-586.3000000000001,-352.638,False,False,True,True,False
1.4,-3126.1999999999975,-7020.1179999999995,-631.4,-379.7639999999999,False,False,True,True,False
1.5,-3349.4999999999977,-7521.555,-676.5,-406.89,False,False,False,True,False
1.6,-3572.7999999999975,-8022.992,-721.6,-434.01599999999996,False,False,False,True,False
1.7,-3796.099999999997,-8524.429,-766.7,-461.14199999999994,False,False,False,False,False
1.8,-4019.399999999997,-9025.866,-811.8000000000001,-488.268,False,False,False,False,False
1.9,-4242.699999999996,-9527.302999999998,-856.8999999999999,-515.3939999999999,False,False,False,False,False
2.0,-4465.999999999996,-10028.74,-902.0,-542.52,False,False,False,False,False
2.1,-4689.2999999999965,-10530.177,-947.1,-569.646,False,False,False,False,False
2.2,-4912.599999999997,-11031.614,-992.2,-596.7719999999999,False,False,False,False,False
2.3,-5135.899999999996,-11533.050999999998,-1037.3,-623.8979999999998,False,False,False,False,False
2.4,-5359.199999999995,-12034.488,-1082.3999999999999,-651.0239999999999,False,False,False,False,False
2.5,-5582.499999999996,-12535.925000000001,-1127.5,-678.15,False,False,False,False,False
2.6,-5805.799999999996,-13037.362000000001,-1172.6000000000001,-705.276,False,False,False,False,False
2.7,-6029.099999999996,-13538.799,-1217.7,-732.4019999999999,False,False,False,False,False
2.8,-6252.399999999995,-14040.235999999999,-1262.8,-759.5279999999998,False,False,False,False,False
2.9,-6475.699999999994,-14541.672999999999,-1307.8999999999999,-786.6539999999999,False,False,False,False,False
3.0,-6698.999999999995,-15043.11,-1353.0,-813.78,False,False,False,False,False
3.1,-6922.299999999995,-15544.547,-1398.1000000000001,-840.906,False,False,False,False,False
3.2,-7145.599999999995,-16045.984,-1443.2,-868.0319999999999,False,False,False,False,False
3.3,-7368.899999999993,-16547.421,-1488.2999999999997,-895.1579999999997,False,False,False,False,False
3.4,-7592.199999999994,-17048.858,-1533.4,-922.2839999999999,False,False,False,False,False
3.5,-7815.4999999999945,-17550.295000000002,-1578.5,-949.41,False,False,False,False,False
3.6,-8038.799999999994,-18051.732,-1623.6000000000001,-976.536,False,False,False,False,False
3.7,-8262.099999999995,-18553.169,-1668.7,-1003.6619999999999,False,False,False,False,False
3.8,-8485.399999999992,-19054.605999999996,-1713.7999999999997,-1030.7879999999998,False,False,False,False,False
3.9,-8708.699999999993,-19556.043,-1758.9,-1057.914,False,False,False,False,False
4.0,-8931.999999999993,-20057.48,-1804.0,-1085.04,False,False,False,False,False
4.1,-9155.299999999992,-20558.916999999998,-1849.0999999999997,-1112.1659999999997,False,False,False,False,False
4.2,-9378.599999999993,-21060.354,-1894.2,-1139.292,False,False,False,False,False
4.3,-9601.899999999992,-21561.790999999997,-1939.2999999999997,-1166.4179999999997,False,False,False,False,False
4.4,-9825.199999999993,-22063.228,-1984.4,-1193.5439999999999,False,False,False,False,False
4.5,-10048.499999999993,-22564.665,-2029.5,-1220.6699999999998,False,False,False,False,False
4.6,-10271.799999999992,-23066.101999999995,-2074.6,-1247.7959999999996,False,False,False,False,False
4.7,-10495.099999999993,-23567.539,-2119.7000000000003,-1274.9219999999998,False,False,False,False,False
4.8,-10718.39999999999,-24068.976,-2164.7999999999997,-1302.0479999999998,False,False,False,False,False
4.9,-10941.699999999992,-24570.413,-2209.9,-1329.174,False,False,False,False,False
5.0,-11164.999999999993,-25071.850000000002,-2255.0,-1356.3,False,False,False,False,False
