lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-394.7700000000009,-619.9009999999997,-64.86,-50.427,True,True,True,True,True
0.2,-789.5400000000018,-1239.8019999999995,-129.72,-100.854,True,True,True,True,True
0.3,-1184.3100000000024,-1859.7029999999988,-194.57999999999996,-151.28099999999998,True,True,True,True,True
0.4,-1579.0800000000036,-2479.603999999999,-259.44,-201.708,False,False,True,True,False
0.5,-1973.8500000000045,-3099.5049999999987,-324.3,-252.135,False,False,True,True,False
0.6,-2368.620000000005,-3719.4059999999977,-389.1599999999999,-302.56199999999995,False,False,True,True,False
0.7,-2763.390000000006,-4339.306999999998,-454.0199999999999,-352.989,False,False,True,True,False
0.8,-3158.160000000007,-4959.207999999998,-518.88,-403.416,False,False,True,True,False
0.9,-3552.930000000008,-5579.108999999998,-583.74,-453.843,False,False,True,False,False
1.0,-3947.700000000009,-6199.0099999999975,-648.6,-504.27,False,False,True,False,False
1.1,-4342.47000000001,-6818.910999999997,-713.46,-554.697,False,False,False,False,False
1.2,-4737.24000000001,-7438.811999999995,-778.3199999999998,-605.1239999999999,False,False,False,False,False
1.3,-5132.010000000011,-8058.712999999996,-843.18,-655.551,False,False,False,False,False
1.4,-5526.780000000012,-8678.613999999996,-908.0399999999998,-705.978,False,False,False,False,False
1.5,-5921.550000000014,-9298.514999999996,-972.9,-756.405,False,False,False,False,False
1.6,-6316.320000000014,-9918.415999999996,-1037.76,-806.832,False,False,False,False,False
1.7,-6711.090000000015,-10538.316999999995,-1102.62,-857.259,False,False,False,False,False
1.8,-7105.860000000016,-11158.217999999995,-1167.48,-907.686,False,False,False,False,False
1.9,-7500.630000000016,-11778.118999999993,-1232.3399999999997,-958.1129999999998,False,False,False,False,False
2.0,-7895.400000000018,-12398.019999999995,-1297.2,-1008.54,False,False,False,False,False
2.1,-8290.170000000018,-13017.920999999995,-1362.06,-1058.967,False,False,False,False,False
2.2,-8684.94000000002,-13637.821999999995,-1426.92,-1109.394,False,False,False,False,False
2.3,-9079.71000000002,-14257.72299999999,-1491.7799999999997,-1159.821,False,False,False,False,False
2.4,-9474.48000000002,-14877.62399999999,-1556.6399999999996,-1210.2479999999998,False,False,False,False,False
2.5,-9869.250000000022,-15497.524999999992,-1621.5,-1260.675,False,False,False,False,False
2.6,-10264.020000000022,-16117.425999999992,-1686.36,-1311.102,False,False,False,False,False
2.7,-10658.790000000025,-16737.326999999994,-1751.22,-1361.529,False,False,False,False,False
2.8,-11053.560000000023,-17357.227999999992,-1816.0799999999997,-1411.956,False,False,False,False,False
2.9,-11448.330000000024,-17977.12899999999,-1880.9399999999998,-1462.3829999999998,False,False,False,False,False
3.0,-11843.100000000028,-18597.02999999999,-1945.8,-1512.81,False,False,False,False,False
3.1,-12237.870000000028,-19216.930999999993,-2010.66,-1563.237,False,False,False,False,False
3.2,-12632.640000000029,-19836.83199999999,-2075.52,-1613.664,False,False,False,False,False
3.3,-13027.410000000027,-20456.732999999986,-2140.3799999999997,-1664.0909999999997,False,False,False,False,False
3.4,-13422.18000000003,-21076.63399999999,-2205.24,-1714.518,False,False,False,False,False
3.5,-13816.950000000032,-21696.53499999999,-2270.1,-1764.945,False,False,False,False,False
3.6,-14211.720000000032,-22316.43599999999,-2334.96,-1815.372,False,False,False,False,False
3.7,-14606.490000000033,-22936.33699999999,-2399.82,-1865.799,False,False,False,False,False
3.8,-15001.260000000031,-23556.237999999987,-2464.6799999999994,-1916.2259999999997,False,False,False,False,False
3.9,-15396.030000000035,-24176.13899999999,-2529.54,-1966.653,False,False,False,False,False
4.0,-15790.800000000036,-24796.03999999999,-2594.4,-2017.08,False,False,False,False,False
4.1,-16185.570000000034,-25415.940999999984,-2659.2599999999993,-2067.5069999999996,False,False,False,False,False
4.2,-16580.340000000037,-26035.84199999999,-2724.12,-2117.934,False,False,False,False,False
4.3,-16975.110000000037,-26655.742999999984,-2788.9799999999996,-2168.3609999999994,False,False,False,False,False
4.4,-17369.88000000004,-27275.64399999999,-2853.84,-2218.788,False,False,False,False,False
4.5,-17764.65000000004,-27895.544999999987,-2918.7,-2269.215,False,False,False,False,False
4.6,-18159.42000000004,-28515.44599999998,-2983.5599999999995,-2319.642,False,False,False,False,False
4.7,-18554.190000000042,-29135.346999999987,-3048.42,-2370.069,False,False,False,False,False
4.8,-18948.96000000004,-29755.24799999998,-3113.2799999999993,-2420.4959999999996,False,False,False,False,False
4.9,-19343.730000000043,-30375.148999999987,-3178.14,-2470.923,False,False,False,False,False
5.0,-19738.500000000044,-30995.049999999985,-3243.0,-2521.35,False,False,False,False,False
