lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-491.8999999999995,-869.5299999999999,-61.0,-61.0,True,True,True,True,True
0.2,-983.799999999999,-1739.0599999999997,-122.0,-122.0,True,True,True,True,True
0.3,-1475.6999999999985,-2608.5899999999992,-182.99999999999997,-182.99999999999997,False,False,True,True,False
0.4,-1967.599999999998,-3478.1199999999994,-244.0,-244.0,False,False,True,True,False
0.5,-2459.4999999999977,-4347.65,-305.0,-305.0,False,False,True,True,False
0.6,-2951.399999999997,-5217.1799999999985,-365.99999999999994,-365.99999999999994,False,False,True,True,False
0.7,-3443.299999999996,-6086.709999999998,-426.99999999999994,-426.99999999999994,False,False,True,True,False
0.8,-3935.199999999996,-6956.239999999999,-488.0,-488.0,False,False,True,False,False
0.9,-4427.099999999996,-7825.769999999999,-549.0,-549.0,False,False,True,False,False
1.0,-4918.999999999995,-8695.3,-610.0,-610.0,False,False,True,False,False
1.1,-5410.899999999995,-9564.829999999998,-671.0,-671.0,False,False,False,False,False
1.2,-5902.799999999994,-10434.359999999997,-731.9999999999999,-731.9999999999999,False,False,False,False,False
1.3,-6394.699999999993,-11303.889999999998,-793.0,-793.0,False,False,False,False,False
1.4,-6886.599999999992,-12173.419999999996,-853.9999999999999,-853.9999999999999,False,False,False,False,False
1.5,-7378.499999999993,-13042.949999999997,-915.0,-915.0,False,False,False,False,False
1.6,-7870.399999999992,-13912.479999999998,-976.0,-976.0,False,False,False,False,False
1.7,-8362.299999999992,-14782.009999999998,-1037.0,-1037.0,False,False,False,False,False
1.8,-8854.199999999992,-15651.539999999997,-1098.0,-1098.0,False,False,False,False,False
1.9,-9346.09999999999,-16521.069999999992,-1158.9999999999998,-1158.9999999999998,False,False,False,False,False
2.0,-9837.99999999999,-17390.6,-1220.0,-1220.0,False,False,False,False,False
2.1,-10329.89999999999,-18260.129999999997,-1281.0,-1281.0,False,False,False,False,False
2.2,-10821.79999999999,-19129.659999999996,-1342.0,-1342.0,False,False,False,False,False
2.3,-11313.699999999988,-19999.189999999995,-1402.9999999999998,-1402.9999999999998,False,False,False,False,False
2.4,-11805.599999999988,-20868.719999999994,-1463.9999999999998,-1463.9999999999998,False,False,False,False,False
2.5,-12297.499999999987,-21738.249999999996,-1525.0,-1525.0,False,False,False,False,False
2.6,-12789.399999999987,-22607.779999999995,-1586.0,-1586.0,False,False,False,False,False
2.7,-13281.299999999987,-23477.309999999998,-1647.0,-1647.0,False,False,False,False,False
2.8,-13773.199999999984,-24346.839999999993,-1707.9999999999998,-1707.9999999999998,False,False,False,False,False
2.9,-14265.099999999984,-25216.36999999999,-1768.9999999999998,-1768.9999999999998,False,False,False,False,False
3.0,-14756.999999999985,-26085.899999999994,-1830.0,-1830.0,False,False,False,False,False
3.1,-15248.899999999985,-26955.429999999997,-1891.0,-1891.0,False,False,False,False,False
3.2,-15740.799999999985,-27824.959999999995,-1952.0,-1952.0,False,False,False,False,False
3.3,-16232.69999999998,-28694.48999999999,-2012.9999999999995,-2012.9999999999995,False,False,False,False,False
3.4,-16724.599999999984,-29564.019999999997,-2074.0,-2074.0,False,False,False,False,False
3.5,-17216.49999999998,-30433.549999999996,-2135.0,-2135.0,False,False,False,False,False
3.6,-17708.399999999983,-31303.079999999994,-2196.0,-2196.0,False,False,False,False,False
3.7,-18200.29999999998,-32172.609999999993,-2257.0,-2257.0,False,False,False,False,False
3.8,-18692.19999999998,-33042.139999999985,-2317.9999999999995,-2317.9999999999995,False,False,False,False,False
3.9,-19184.09999999998,-33911.66999999999,-2379.0,-2379.0,False,False,False,False,False
4.0,-19675.99999999998,-34781.2,-2440.0,-2440.0,False,False,False,False,False
4.1,-20167.899999999976,-35650.72999999999,-2500.9999999999995,-2500.9999999999995,False,False,False,False,False
4.2,-20659.79999999998,-36520.259999999995,-2562.0,-2562.0,False,False,False,False,False
4.3,-21151.699999999975,-37389.789999999986,-2622.9999999999995,-2622.9999999999995,False,False,False,False,False
4.4,-21643.59999999998,-38259.31999999999,-2684.0,-2684.0,False,False,False,False,False
4.5,-22135.499999999978,-39128.84999999999,-2745.0,-2745.0,False,False,False,False,False
4.6,-22627.399999999976,-39998.37999999999,-2805.9999999999995,-2805.9999999999995,False,False,False,False,False
4.7,-23119.299999999977,-40867.909999999996,-2867.0,-2867.0,False,False,False,False,False
4.8,-23611.199999999975,-41737.43999999999,-2927.9999999999995,-2927.9999999999995,False,False,False,False,False
4.9,-24103.099999999977,-42606.969999999994,-2989.0,-2989.0,False,False,False,False,False
5.0,-24594.999999999975,-43476.49999999999,-3050.0,-3050.0,False,False,False,False,False
