lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-249.72999999999968,-596.7425000000001,-58.89,-31.3595,True,True,True,True,True
0.2,-499.45999999999935,-1193.4850000000001,-117.78,-62.719,True,True,True,True,True
0.3,-749.1899999999989,-1790.2275,-176.67,-94.07849999999999,True,True,True,True,True
0.4,-998.9199999999987,-2386.9700000000003,-235.56,-125.438,True,False,True,True,False
0.5,-1248.6499999999983,-2983.7125000000005,-294.45,-156.7975,False,False,True,True,False
0.6,-1498.3799999999978,-3580.455,-353.34,-188.15699999999998,False,False,True,True,False
0.7,-1748.1099999999976,-4177.1975,-412.22999999999996,-219.51649999999998,False,False,True,True,False
0.8,-1997.8399999999974,-4773.9400000000005,-471.12,-250.876,False,False,True,True,False
0.9,-2247.569999999997,-5370.682500000001,-530.01,-282.2355,False,False,True,True,False
1.0,-2497.2999999999965,-5967.425000000001,-588.9,-313.595,False,False,True,True,False
1.1,-2747.0299999999966,-6564.1675000000005,-647.79,-344.9545,False,False,True,True,False
1.2,-2996.7599999999957,-7160.91,-706.68,-376.31399999999996,False,False,False,True,False
1.3,-3246.4899999999957,-7757.652500000001,-765.57,-407.6735,False,False,False,True,False
1.4,-3496.2199999999953,-8354.395,-824.4599999999999,-439.03299999999996,False,False,False,True,False
1.5,-3745.9499999999953,-8951.1375,-883.35,-470.3925,False,False,False,False,False
1.6,-3995.679999999995,-9547.880000000001,-942.24,-501.752,False,False,False,False,False
1.7,-4245.409999999994,-10144.622500000001,-1001.13,-533.1115,False,False,False,False,False
1.8,-4495.139999999994,-10741.365000000002,-1060.02,-564.471,False,False,False,False,False
1.9,-4744.869999999993,-11338.107499999998,-1118.9099999999999,-595.8304999999999,False,False,False,False,False
2.0,-4994.599999999993,-11934.850000000002,-1177.8,-627.19,False,False,False,False,False
2.1,-5244.329999999994,-12531.5925,-1236.69,-658.5495,False,False,False,False,False
2.2,-5494.059999999993,-13128.335000000001,-1295.58,-689.909,False,False,False,False,False
2.3,-5743.789999999992,-13725.0775,-1354.4699999999998,-721.2684999999999,False,False,False,False,False
2.4,-5993.519999999991,-14321.82,-1413.36,-752.6279999999999,False,False,False,False,False
2.5,-6243.249999999992,-14918.562500000002,-1472.25,-783.9875000000001,False,False,False,False,False
2.6,-6492.979999999991,-15515.305000000002,-1531.14,-815.347,False,False,False,False,False
2.7,-6742.709999999991,-16112.047500000002,-1590.03,-846.7065,False,False,False,False,False
2.8,-6992.4399999999905,-16708.79,-1648.9199999999998,-878.0659999999999,False,False,False,False,False
2.9,-7242.16999999999,-17305.5325,-1707.8099999999997,-909.4254999999999,False,False,False,False,False
3.0,-7491.8999999999905,-17902.275,-1766.7,-940.785,False,False,False,False,False
3.1,-7741.62999999999,-18499.0175,-1825.59,-972.1445,False,False,False,False,False
3.2,-7991.35999999999,-19095.760000000002,-1884.48,-1003.504,False,False,False,False,False
3.3,-8241.089999999987,-19692.5025,-1943.3699999999997,-1034.8634999999997,False,False,False,False,False
3.4,-8490.819999999989,-20289.245000000003,-2002.26,-1066.223,False,False,False,False,False
3.5,-8740.549999999988,-20885.987500000003,-2061.15,-1097.5825,False,False,False,False,False
3.6,-8990.279999999988,-21482.730000000003,-2120.04,-1128.942,False,False,False,False,False
3.7,-9240.009999999987,-22079.472500000003,-2178.93,-1160.3015,False,False,False,False,False
3.8,-9489.739999999985,-22676.214999999997,-2237.8199999999997,-1191.6609999999998,False,False,False,False,False
3.9,-9739.469999999987,-23272.957500000004,-2296.71,-1223.0205,False,False,False,False,False
4.0,-9989.199999999986,-23869.700000000004,-2355.6,-1254.38,False,False,False,False,False
4.1,-10238.929999999986,-24466.442499999997,-2414.49,-1285.7395,False,False,False,False,False
4.2,-10488.659999999987,-25063.185,-2473.38,-1317.099,False,False,False,False,False
4.3,-10738.389999999985,-25659.927499999998,-2532.2699999999995,-1348.4584999999997,False,False,False,False,False
4.4,-10988.119999999986,-26256.670000000002,-2591.16,-1379.818,False,False,False,False,False
4.5,-11237.849999999986,-26853.412500000002,-2650.05,-1411.1775,False,False,False,False,False
4.6,-11487.579999999984,-27450.155,-2708.9399999999996,-1442.5369999999998,False,False,False,False,False
4.7,-11737.309999999985,-28046.897500000003,-2767.83,-1473.8965,False,False,False,False,False
4.8,-11987.039999999983,-28643.64,-2826.72,-1505.2559999999999,False,False,False,False,False
4.9,-12236.769999999984,-29240.382500000003,-2885.61,-1536.6155,False,False,False,False,False
5.0,-12486.499999999984,-29837.125000000004,-2944.5,-1567.9750000000001,False,False,False,False,False
