lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-2298.0,-2114.656,-419.2,-134.4,False,True,True,True,False
0.2,-4596.0,-4229.312,-838.4,-268.8,False,False,False,True,False
0.3,-6893.999999999999,-6343.967999999999,-1257.5999999999997,-403.19999999999993,False,False,False,True,False
0.4,-9192.0,-8458.624,-1676.8,-537.6,False,False,False,False,False
0.5,-11490.0,-10573.279999999999,-2096.0,-672.0,False,False,False,False,False
0.6,-13787.999999999998,-12687.935999999998,-2515.1999999999994,-806.3999999999999,False,False,False,False,False
0.7,-16085.999999999998,-14802.591999999997,-2934.3999999999996,-940.8,False,False,False,False,False
0.8,-18384.0,-16917.248,-3353.6,-1075.2,False,False,False,False,False
0.9,-20682.0,-19031.904,-3772.7999999999997,-1209.6000000000001,False,False,False,False,False
1.0,-22980.0,-21146.559999999998,-4192.0,-1344.0,False,False,False,False,False
1.1,-25278.0,-23261.216,-4611.2,-1478.4,False,False,False,False,False
1.2,-27575.999999999996,-25375.871999999996,-5030.399999999999,-1612.7999999999997,False,False,False,False,False
1.3,-29874.0,-27490.528,-5449.599999999999,-1747.2,False,False,False,False,False
1.4,-32171.999999999996,-29605.183999999994,-5868.799999999999,-1881.6,False,False,False,False,False
1.5,-34470.0,-31719.84,-6288.0,-2016.0,False,False,False,False,False
1.6,-36768.0,-33834.496,-6707.2,-2150.4,False,False,False,False,False
1.7,-39066.0,-35949.152,-7126.4,-2284.8,False,False,False,False,False
1.8,-41364.0,-38063.808,-7545.599999999999,-2419.2000000000003,False,False,False,False,False
1.9,-43661.99999999999,-40178.46399999999,-7964.799999999998,-2553.5999999999995,False,False,False,False,False
2.0,-45960.0,-42293.119999999995,-8384.0,-2688.0,False,False,False,False,False
2.1,-48258.0,-44407.776,-8803.199999999999,-2822.4,False,False,False,False,False
2.2,-50556.0,-46522.432,-9222.4,-2956.8,False,False,False,False,False
2.3,-52853.99999999999,-48637.08799999999,-9641.599999999999,-3091.2,False,False,False,False,False
2.4,-55151.99999999999,-50751.74399999999,-10060.799999999997,-3225.5999999999995,False,False,False,False,False
2.5,-57450.0,-52866.4,-10480.0,-3360.0,False,False,False,False,False
2.6,-59748.0,-54981.056,-10899.199999999999,-3494.4,False,False,False,False,False
2.7,-62046.0,-57095.712,-11318.4,-3628.8,False,False,False,False,False
2.8,-64343.99999999999,-59210.36799999999,-11737.599999999999,-3763.2,False,False,False,False,False
2.9,-66641.99999999999,-61325.02399999999,-12156.799999999997,-3897.6,False,False,False,False,False
3.0,-68940.0,-63439.68,-12576.0,-4032.0,False,False,False,False,False
3.1,-71238.0,-65554.336,-12995.199999999999,-4166.400000000001,False,False,False,False,False
3.2,-73536.0,-67668.992,-13414.4,-4300.8,False,False,False,False,False
3.3,-75833.99999999999,-69783.64799999999,-13833.599999999997,-4435.199999999999,False,False,False,False,False
3.4,-78132.0,-71898.304,-14252.8,-4569.6,False,False,False,False,False
3.5,-80430.0,-74012.95999999999,-14672.0,-4704.0,False,False,False,False,False
3.6,-82728.0,-76127.616,-15091.199999999999,-4838.400000000001,False,False,False,False,False
3.7,-85026.0,-78242.272,-15510.4,-4972.8,False,False,False,False,False
3.8,-87323.99999999999,-80356.92799999999,-15929.599999999997,-5107.199999999999,False,False,False,False,False
3.9,-89622.0,-82471.584,-16348.8,-5241.6,False,False,False,False,False
4.0,-91920.0,-84586.23999999999,-16768.0,-5376.0,False,False,False,False,False
4.1,-94217.99999999999,-86700.89599999998,-17187.199999999997,-5510.4,False,False,False,False,False
4.2,-96516.0,-88815.552,-17606.399999999998,-5644.8,False,False,False,False,False
4.3,-98813.99999999999,-90930.20799999998,-18025.599999999995,-5779.199999999999,False,False,False,False,False
4.4,-101112.0,-93044.864,-18444.8,-5913.6,False,False,False,False,False
4.5,-103410.0,-95159.52,-18864.0,-6048.0,False,False,False,False,False
4.6,-105707.99999999999,-97274.17599999998,-19283.199999999997,-6182.4,False,False,False,False,False
4.7,-108006.0,-99388.832,-19702.399999999998,-6316.8,False,False,False,False,False
4.8,-110303.99999999999,-101503.48799999998,-20121.599999999995,-6451.199999999999,False,False,False,False,False
4.9,-112602.0,-103618.144,-20540.8,-6585.6,False,False,False,False,False
5.0,-114900.0,-105732.8,-20960.0,-6720.0,False,False,False,False,False
