lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-561.8000000000002,-667.949,-97.86,-41.3,True,True,True,True,True
0.2,-1123.6000000000004,-1335.898,-195.72,-82.6,True,True,True,True,True
0.3,-1685.4000000000003,-2003.8469999999995,-293.5799999999999,-123.89999999999998,False,True,True,True,False
0.4,-2247.2000000000007,-2671.796,-391.44,-165.2,False,False,True,True,False
0.5,-2809.000000000001,-3339.745,-489.3,-206.5,False,False,True,True,False
0.6,-3370.8000000000006,-4007.693999999999,-587.1599999999999,-247.79999999999995,False,False,True,True,False
0.7,-3932.600000000001,-4675.642999999999,-685.0199999999999,-289.09999999999997,False,False,False,True,False
0.8,-4494.4000000000015,-5343.592,-782.88,-330.4,False,False,False,True,False
0.9,-5056.200000000002,-6011.540999999999,-880.74,-371.7,False,False,False,True,False
1.0,-5618.000000000002,-6679.49,-978.6,-413.0,False,False,False,True,False
1.1,-6179.800000000002,-7347.438999999999,-1076.46,-454.29999999999995,False,False,False,False,False
1.2,-6741.600000000001,-8015.387999999998,-1174.3199999999997,-495.5999999999999,False,False,False,False,False
1.3,-7303.400000000002,-8683.337,-1272.18,-536.9,False,False,False,False,False
1.4,-7865.200000000002,-9351.285999999998,-1370.0399999999997,-578.1999999999999,False,False,False,False,False
1.5,-8427.000000000004,-10019.234999999999,-1467.9,-619.5,False,False,False,False,False
1.6,-8988.800000000003,-10687.184,-1565.76,-660.8,False,False,False,False,False
1.7,-9550.600000000002,-11355.133,-1663.62,-702.0999999999999,False,False,False,False,False
1.8,-10112.400000000003,-12023.081999999999,-1761.48,-743.4,False,False,False,False,False
1.9,-10674.2,-12691.030999999997,-1859.3399999999997,-784.6999999999998,False,False,False,False,False
2.0,-11236.000000000004,-13358.98,-1957.2,-826.0,False,False,False,False,False
2.1,-11797.800000000003,-14026.928999999998,-2055.06,-867.3,False,False,False,False,False
2.2,-12359.600000000004,-14694.877999999999,-2152.92,-908.5999999999999,False,False,False,False,False
2.3,-12921.400000000001,-15362.826999999997,-2250.7799999999997,-949.8999999999997,False,False,False,False,False
2.4,-13483.200000000003,-16030.775999999996,-2348.6399999999994,-991.1999999999998,False,False,False,False,False
2.5,-14045.000000000004,-16698.725,-2446.5,-1032.5,False,False,False,False,False
2.6,-14606.800000000005,-17366.674,-2544.36,-1073.8,False,False,False,False,False
2.7,-15168.600000000006,-18034.623,-2642.22,-1115.1,False,False,False,False,False
2.8,-15730.400000000003,-18702.571999999996,-2740.0799999999995,-1156.3999999999999,False,False,False,False,False
2.9,-16292.200000000003,-19370.520999999997,-2837.9399999999996,-1197.6999999999998,False,False,False,False,False
3.0,-16854.000000000007,-20038.469999999998,-2935.8,-1239.0,False,False,False,False,False
3.1,-17415.800000000007,-20706.418999999998,-3033.66,-1280.3,False,False,False,False,False
3.2,-17977.600000000006,-21374.368,-3131.52,-1321.6,False,False,False,False,False
3.3,-18539.4,-22042.316999999995,-3229.379999999999,-1362.8999999999996,False,False,False,False,False
3.4,-19101.200000000004,-22710.266,-3327.24,-1404.1999999999998,False,False,False,False,False
3.5,-19663.000000000007,-23378.215,-3425.1,-1445.5,False,False,False,False,False
3.6,-20224.800000000007,-24046.163999999997,-3522.96,-1486.8,False,False,False,False,False
3.7,-20786.600000000006,-24714.112999999998,-3620.82,-1528.1,False,False,False,False,False
3.8,-21348.4,-25382.061999999994,-3718.6799999999994,-1569.3999999999996,False,False,False,False,False
3.9,-21910.200000000008,-26050.011,-3816.54,-1610.6999999999998,False,False,False,False,False
4.0,-22472.000000000007,-26717.96,-3914.4,-1652.0,False,False,False,False,False
4.1,-23033.800000000003,-27385.908999999992,-4012.2599999999993,-1693.2999999999995,False,False,False,False,False
4.2,-23595.600000000006,-28053.857999999997,-4110.12,-1734.6,False,False,False,False,False
4.3,-24157.400000000005,-28721.806999999993,-4207.98,-1775.8999999999996,False,False,False,False,False
4.4,-24719.200000000008,-29389.755999999998,-4305.84,-1817.1999999999998,False,False,False,False,False
4.5,-25281.000000000007,-30057.704999999998,-4403.7,-1858.4999999999998,False,False,False,False,False
4.6,-25842.800000000003,-30725.653999999995,-4501.5599999999995,-1899.7999999999995,False,False,False,False,False
4.7,-26404.60000000001,-31393.603,-4599.42,-1941.1,False,False,False,False,False
4.8,-26966.400000000005,-32061.551999999992,-4697.279999999999,-1982.3999999999996,False,False,False,False,False
4.9,-27528.200000000008,-32729.500999999997,-4795.14,-2023.6999999999998,False,False,False,False,False
5.0,-28090.000000000007,-33397.45,-4893.0,-2065.0,False,False,False,False,False
