lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-364.8000000000001,-665.6649999999996,-130.3,-25.559999999999995,True,True,True,True,True
0.2,-729.6000000000003,-1331.3299999999992,-260.6,-51.11999999999999,True,True,True,True,True
0.3,-1094.4000000000003,-1996.9949999999985,-390.9,-76.67999999999998,False,False,True,True,False
0.4,-1459.2000000000005,-2662.6599999999985,-521.2,-102.23999999999998,False,False,True,True,False
0.5,-1824.0000000000007,-3328.324999999998,-651.5,-127.79999999999998,False,False,False,True,False
0.6,-2188.8000000000006,-3993.989999999997,-781.8,-153.35999999999996,False,False,False,True,False
0.7,-2553.6000000000004,-4659.654999999997,-912.0999999999999,-178.91999999999993,False,False,False,True,False
0.8,-2918.400000000001,-5325.319999999997,-1042.4,-204.47999999999996,False,False,False,True,False
0.9,-3283.200000000001,-5990.984999999997,-1172.7,-230.03999999999996,False,False,False,True,False
1.0,-3648.0000000000014,-6656.649999999996,-1303.0,-255.59999999999997,False,False,False,True,False
1.1,-4012.8000000000015,-7322.314999999996,-1433.3000000000002,-281.15999999999997,False,False,False,True,False
1.2,-4377.600000000001,-7987.979999999994,-1563.6,-306.7199999999999,False,False,False,True,False
1.3,-4742.4000000000015,-8653.644999999995,-1693.9,-332.2799999999999,False,False,False,True,False
1.4,-5107.200000000001,-9319.309999999994,-1824.1999999999998,-357.83999999999986,False,False,False,True,False
1.5,-5472.000000000002,-9984.974999999995,-1954.5000000000002,-383.3999999999999,False,False,False,True,False
1.6,-5836.800000000002,-10650.639999999994,-2084.8,-408.9599999999999,False,False,False,True,False
1.7,-6201.600000000002,-11316.304999999993,-2215.1000000000004,-434.5199999999999,False,False,False,True,False
1.8,-6566.400000000002,-11981.969999999994,-2345.4,-460.0799999999999,False,False,False,False,False
1.9,-6931.200000000001,-12647.634999999991,-2475.7,-485.6399999999998,False,False,False,False,False
2.0,-7296.000000000003,-13313.299999999992,-2606.0,-511.19999999999993,False,False,False,False,False
2.1,-7660.800000000003,-13978.964999999993,-2736.3,-536.7599999999999,False,False,False,False,False
2.2,-8025.600000000003,-14644.629999999992,-2866.6000000000004,-562.3199999999999,False,False,False,False,False
2.3,-8390.400000000001,-15310.29499999999,-2996.8999999999996,-587.8799999999998,False,False,False,False,False
2.4,-8755.200000000003,-15975.959999999988,-3127.2,-613.4399999999998,False,False,False,False,False
2.5,-9120.000000000004,-16641.62499999999,-3257.5000000000005,-638.9999999999999,False,False,False,False,False
2.6,-9484.800000000003,-17307.28999999999,-3387.8,-664.5599999999998,False,False,False,False,False
2.7,-9849.600000000004,-17972.95499999999,-3518.1000000000004,-690.1199999999999,False,False,False,False,False
2.8,-10214.400000000001,-18638.619999999988,-3648.3999999999996,-715.6799999999997,False,False,False,False,False
2.9,-10579.200000000003,-19304.284999999985,-3778.7,-741.2399999999998,False,False,False,False,False
3.0,-10944.000000000004,-19969.94999999999,-3909.0000000000005,-766.7999999999998,False,False,False,False,False
3.1,-11308.800000000005,-20635.614999999987,-4039.3,-792.3599999999999,False,False,False,False,False
3.2,-11673.600000000004,-21301.279999999988,-4169.6,-817.9199999999998,False,False,False,False,False
3.3,-12038.400000000001,-21966.94499999998,-4299.9,-843.4799999999997,False,False,False,False,False
3.4,-12403.200000000004,-22632.609999999986,-4430.200000000001,-869.0399999999998,False,False,False,False,False
3.5,-12768.000000000004,-23298.274999999987,-4560.5,-894.5999999999998,False,False,False,False,False
3.6,-13132.800000000005,-23963.939999999988,-4690.8,-920.1599999999999,False,False,False,False,False
3.7,-13497.600000000004,-24629.604999999985,-4821.1,-945.7199999999998,False,False,False,False,False
3.8,-13862.400000000001,-25295.269999999982,-4951.4,-971.2799999999996,False,False,False,False,False
3.9,-14227.200000000004,-25960.934999999987,-5081.700000000001,-996.8399999999998,False,False,False,False,False
4.0,-14592.000000000005,-26626.599999999984,-5212.0,-1022.3999999999999,False,False,False,False,False
4.1,-14956.800000000003,-27292.26499999998,-5342.299999999999,-1047.9599999999996,False,False,False,False,False
4.2,-15321.600000000006,-27957.929999999986,-5472.6,-1073.5199999999998,False,False,False,False,False
4.3,-15686.400000000003,-28623.59499999998,-5602.9,-1099.0799999999997,False,False,False,False,False
4.4,-16051.200000000006,-29289.259999999984,-5733.200000000001,-1124.6399999999999,False,False,False,False,False
4.5,-16416.000000000007,-29954.924999999985,-5863.500000000001,-1150.1999999999998,False,False,False,False,False
4.6,-16780.800000000003,-30620.58999999998,-5993.799999999999,-1175.7599999999995,False,False,False,False,False
4.7,-17145.600000000006,-31286.254999999983,-6124.1,-1201.3199999999997,False,False,False,False,False
4.8,-17510.400000000005,-31951.919999999976,-6254.4,-1226.8799999999997,False,False,False,False,False
4.9,-17875.200000000004,-32617.58499999998,-6384.700000000001,-1252.4399999999998,False,False,False,False,False
5.0,-18240.000000000007,-33283.24999999998,-6515.000000000001,-1277.9999999999998,False,False,False,False,False
