lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-183.70000000000005,-493.4290000000005,-178.5,-23.05,True,True,True,True,True
0.2,-367.4000000000001,-986.858000000001,-357.0,-46.1,True,True,True,True,True
0.3,-551.1,-1480.2870000000012,-535.4999999999999,-69.14999999999999,True,True,True,True,True
0.4,-734.8000000000002,-1973.716000000002,-714.0,-92.2,True,False,False,True,False
0.5,-918.5000000000002,-2467.1450000000023,-892.5,-115.25,True,False,False,True,False
0.6,-1102.2,-2960.5740000000023,-1070.9999999999998,-138.29999999999998,False,False,False,True,False
0.7,-1285.9,-3454.003000000003,-1249.4999999999998,-161.35,False,False,False,True,False
0.8,-1469.6000000000004,-3947.432000000004,-1428.0,-184.4,False,False,False,True,False
0.9,-1653.3000000000004,-4440.861000000004,-1606.5,-207.45000000000002,False,False,False,True,False
1.0,-1837.0000000000005,-4934.2900000000045,-1785.0,-230.5,False,False,False,True,False
1.1,-2020.7000000000005,-5427.7190000000055,-1963.5,-253.55,False,False,False,True,False
1.2,-2204.4,-5921.148000000005,-2141.9999999999995,-276.59999999999997,False,False,False,True,False
1.3,-2388.1000000000004,-6414.577000000007,-2320.5,-299.65000000000003,False,False,False,True,False
1.4,-2571.8,-6908.006000000006,-2498.9999999999995,-322.7,False,False,False,True,False
1.5,-2755.500000000001,-7401.435000000008,-2677.5,-345.75,False,False,False,True,False
1.6,-2939.2000000000007,-7894.864000000008,-2856.0,-368.8,False,False,False,True,False
1.7,-3122.9000000000005,-8388.293000000009,-3034.5,-391.85,False,False,False,True,False
1.8,-3306.600000000001,-8881.722000000009,-3213.0,-414.90000000000003,False,False,False,True,False
1.9,-3490.3,-9375.151000000007,-3391.4999999999995,-437.94999999999993,False,False,False,True,False
2.0,-3674.000000000001,-9868.580000000009,-3570.0,-461.0,False,False,False,False,False
2.1,-3857.7000000000007,-10362.009000000011,-3748.5,-484.05,False,False,False,False,False
2.2,-4041.400000000001,-10855.438000000011,-3927.0,-507.1,False,False,False,False,False
2.3,-4225.1,-11348.86700000001,-4105.499999999999,-530.15,False,False,False,False,False
2.4,-4408.8,-11842.29600000001,-4283.999999999999,-553.1999999999999,False,False,False,False,False
2.5,-4592.500000000001,-12335.725000000011,-4462.5,-576.25,False,False,False,False,False
2.6,-4776.200000000001,-12829.154000000013,-4641.0,-599.3000000000001,False,False,False,False,False
2.7,-4959.9000000000015,-13322.583000000013,-4819.5,-622.35,False,False,False,False,False
2.8,-5143.6,-13816.012000000012,-4997.999999999999,-645.4,False,False,False,False,False
2.9,-5327.300000000001,-14309.441000000012,-5176.499999999999,-668.4499999999999,False,False,False,False,False
3.0,-5511.000000000002,-14802.870000000015,-5355.0,-691.5,False,False,False,False,False
3.1,-5694.700000000002,-15296.299000000015,-5533.5,-714.5500000000001,False,False,False,False,False
3.2,-5878.4000000000015,-15789.728000000016,-5712.0,-737.6,False,False,False,False,False
3.3,-6062.1,-16283.157000000012,-5890.499999999999,-760.6499999999999,False,False,False,False,False
3.4,-6245.800000000001,-16776.586000000018,-6069.0,-783.7,False,False,False,False,False
3.5,-6429.500000000002,-17270.015000000018,-6247.5,-806.75,False,False,False,False,False
3.6,-6613.200000000002,-17763.444000000018,-6426.0,-829.8000000000001,False,False,False,False,False
3.7,-6796.9000000000015,-18256.873000000018,-6604.5,-852.85,False,False,False,False,False
3.8,-6980.6,-18750.302000000014,-6782.999999999999,-875.8999999999999,False,False,False,False,False
3.9,-7164.300000000002,-19243.731000000018,-6961.5,-898.95,False,False,False,False,False
4.0,-7348.000000000002,-19737.160000000018,-7140.0,-922.0,False,False,False,False,False
4.1,-7531.700000000001,-20230.589000000018,-7318.499999999999,-945.0499999999998,False,False,False,False,False
4.2,-7715.4000000000015,-20724.018000000022,-7497.0,-968.1,False,False,False,False,False
4.3,-7899.1,-21217.44700000002,-7675.499999999999,-991.1499999999999,False,False,False,False,False
4.4,-8082.800000000002,-21710.876000000022,-7854.0,-1014.2,False,False,False,False,False
4.5,-8266.500000000002,-22204.305000000022,-8032.5,-1037.25,False,False,False,False,False
4.6,-8450.2,-22697.73400000002,-8210.999999999998,-1060.3,False,False,False,False,False
4.7,-8633.900000000001,-23191.163000000022,-8389.5,-1083.3500000000001,False,False,False,False,False
4.8,-8817.6,-23684.59200000002,-8567.999999999998,-1106.3999999999999,False,False,False,False,False
4.9,-9001.300000000003,-24178.021000000022,-8746.5,-1129.45,False,False,False,False,False
5.0,-9185.000000000002,-24671.450000000023,-8925.0,-1152.5,False,False,False,False,False
