lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-465.0000000000002,-927.01,-111.3,-40.04,True,True,True,True,True
0.2,-930.0000000000005,-1854.02,-222.6,-80.08,True,True,True,True,True
0.3,-1395.0000000000005,-2781.0299999999997,-333.8999999999999,-120.11999999999998,False,False,True,True,False
0.4,-1860.000000000001,-3708.04,-445.2,-160.16,False,False,True,True,False
0.5,-2325.000000000001,-4635.05,-556.5,-200.2,False,False,True,True,False
0.6,-2790.000000000001,-5562.0599999999995,-667.7999999999998,-240.23999999999995,False,False,False,True,False
0.7,-3255.0000000000014,-6489.069999999999,-779.0999999999999,-280.28,False,False,False,True,False
0.8,-3720.000000000002,-7416.08,-890.4,-320.32,False,False,False,True,False
0.9,-4185.000000000002,-8343.09,-1001.6999999999999,-360.36,False,False,False,True,False
1.0,-4650.000000000002,-9270.1,-1113.0,-400.4,False,False,False,True,False
1.1,-5115.000000000003,-10197.11,-1224.3,-440.44,False,False,False,True,False
1.2,-5580.000000000002,-11124.119999999999,-1335.5999999999997,-480.4799999999999,False,False,False,False,False
1.3,-6045.000000000003,-12051.13,-1446.8999999999999,-520.52,False,False,False,False,False
1.4,-6510.000000000003,-12978.139999999998,-1558.1999999999998,-560.56,False,False,False,False,False
1.5,-6975.000000000004,-13905.15,-1669.5,-600.6,False,False,False,False,False
1.6,-7440.000000000004,-14832.16,-1780.8,-640.64,False,False,False,False,False
1.7,-7905.000000000004,-15759.17,-1892.1,-680.68,False,False,False,False,False
1.8,-8370.000000000004,-16686.18,-2003.3999999999999,-720.72,False,False,False,False,False
1.9,-8835.000000000002,-17613.189999999995,-2114.6999999999994,-760.7599999999999,False,False,False,False,False
2.0,-9300.000000000004,-18540.2,-2226.0,-800.8,False,False,False,False,False
2.1,-9765.000000000005,-19467.21,-2337.2999999999997,-840.84,False,False,False,False,False
2.2,-10230.000000000005,-20394.22,-2448.6,-880.88,False,False,False,False,False
2.3,-10695.000000000004,-21321.229999999996,-2559.8999999999996,-920.9199999999998,False,False,False,False,False
2.4,-11160.000000000004,-22248.239999999998,-2671.1999999999994,-960.9599999999998,False,False,False,False,False
2.5,-11625.000000000005,-23175.25,-2782.5,-1001.0,False,False,False,False,False
2.6,-12090.000000000005,-24102.26,-2893.7999999999997,-1041.04,False,False,False,False,False
2.7,-12555.000000000005,-25029.27,-3005.1,-1081.08,False,False,False,False,False
2.8,-13020.000000000005,-25956.279999999995,-3116.3999999999996,-1121.12,False,False,False,False,False
2.9,-13485.000000000005,-26883.289999999997,-3227.6999999999994,-1161.1599999999999,False,False,False,False,False
3.0,-13950.000000000007,-27810.3,-3339.0,-1201.2,False,False,False,False,False
3.1,-14415.000000000007,-28737.31,-3450.2999999999997,-1241.24,False,False,False,False,False
3.2,-14880.000000000007,-29664.32,-3561.6,-1281.28,False,False,False,False,False
3.3,-15345.000000000004,-30591.329999999994,-3672.899999999999,-1321.3199999999997,False,False,False,False,False
3.4,-15810.000000000007,-31518.34,-3784.2,-1361.36,False,False,False,False,False
3.5,-16275.000000000007,-32445.35,-3895.5,-1401.3999999999999,False,False,False,False,False
3.6,-16740.000000000007,-33372.36,-4006.7999999999997,-1441.44,False,False,False,False,False
3.7,-17205.000000000007,-34299.37,-4118.099999999999,-1481.48,False,False,False,False,False
3.8,-17670.000000000004,-35226.37999999999,-4229.399999999999,-1521.5199999999998,False,False,False,False,False
3.9,-18135.000000000007,-36153.39,-4340.7,-1561.56,False,False,False,False,False
4.0,-18600.000000000007,-37080.4,-4452.0,-1601.6,False,False,False,False,False
4.1,-19065.000000000007,-38007.409999999996,-4563.299999999999,-1641.6399999999996,False,False,False,False,False
4.2,-19530.00000000001,-38934.42,-4674.599999999999,-1681.68,False,False,False,False,False
4.3,-19995.000000000007,-39861.42999999999,-4785.899999999999,-1721.7199999999996,False,False,False,False,False
4.4,-20460.00000000001,-40788.44,-4897.2,-1761.76,False,False,False,False,False
4.5,-20925.00000000001,-41715.45,-5008.5,-1801.8,False,False,False,False,False
4.6,-21390.000000000007,-42642.45999999999,-5119.799999999999,-1841.8399999999997,False,False,False,False,False
4.7,-21855.00000000001,-43569.47,-5231.099999999999,-1881.8799999999999,False,False,False,False,False
4.8,-22320.000000000007,-44496.479999999996,-5342.399999999999,-1921.9199999999996,False,False,False,False,False
4.9,-22785.00000000001,-45423.49,-5453.7,-1961.96,False,False,False,False,False
5.0,-23250.00000000001,-46350.5,-5565.0,-2002.0,False,False,False,False,False
