lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-297.79999999999995,-533.33,-39.2,-26.1,True,True,True,True,True
0.2,-595.5999999999999,-1066.66,-78.4,-52.2,True,True,True,True,True
0.3,-893.3999999999997,-1599.9899999999998,-117.6,-78.3,True,True,True,True,True
0.4,-1191.1999999999998,-2133.32,-156.8,-104.4,False,False,True,True,False
0.5,-1488.9999999999998,-2666.65,-196.0,-130.5,False,False,True,True,False
0.6,-1786.7999999999995,-3199.9799999999996,-235.2,-156.6,False,False,True,True,False
0.7,-2084.5999999999995,-3733.31,-274.4,-182.7,False,False,True,True,False
0.8,-2382.3999999999996,-4266.64,-313.6,-208.8,False,False,True,True,False
0.9,-2680.2,-4799.97,-352.8,-234.9,False,False,True,True,False
1.0,-2977.9999999999995,-5333.3,-392.0,-261.0,False,False,True,True,False
1.1,-3275.7999999999993,-5866.63,-431.20000000000005,-287.1,False,False,True,True,False
1.2,-3573.599999999999,-6399.959999999999,-470.4,-313.2,False,False,True,True,False
1.3,-3871.3999999999996,-6933.290000000001,-509.6,-339.3,False,False,True,True,False
1.4,-4169.199999999999,-7466.62,-548.8,-365.4,False,False,True,True,False
1.5,-4466.999999999999,-7999.950000000001,-588.0,-391.5,False,False,True,True,False
1.6,-4764.799999999999,-8533.28,-627.2,-417.6,False,False,True,True,False
1.7,-5062.599999999999,-9066.61,-666.4000000000001,-443.70000000000005,False,False,False,True,False
1.8,-5360.4,-9599.94,-705.6,-469.8,False,False,False,False,False
1.9,-5658.199999999998,-10133.269999999999,-744.8,-495.8999999999999,False,False,False,False,False
2.0,-5955.999999999999,-10666.6,-784.0,-522.0,False,False,False,False,False
2.1,-6253.799999999999,-11199.93,-823.2,-548.1,False,False,False,False,False
2.2,-6551.5999999999985,-11733.26,-862.4000000000001,-574.2,False,False,False,False,False
2.3,-6849.399999999998,-12266.589999999998,-901.5999999999999,-600.3,False,False,False,False,False
2.4,-7147.199999999998,-12799.919999999998,-940.8,-626.4,False,False,False,False,False
2.5,-7444.999999999999,-13333.250000000002,-980.0000000000001,-652.5,False,False,False,False,False
2.6,-7742.799999999999,-13866.580000000002,-1019.2,-678.6,False,False,False,False,False
2.7,-8040.5999999999985,-14399.910000000002,-1058.4,-704.7,False,False,False,False,False
2.8,-8338.399999999998,-14933.24,-1097.6,-730.8,False,False,False,False,False
2.9,-8636.199999999997,-15466.57,-1136.8,-756.9,False,False,False,False,False
3.0,-8933.999999999998,-15999.900000000001,-1176.0,-783.0,False,False,False,False,False
3.1,-9231.8,-16533.23,-1215.2,-809.1,False,False,False,False,False
3.2,-9529.599999999999,-17066.56,-1254.4,-835.2,False,False,False,False,False
3.3,-9827.399999999996,-17599.889999999996,-1293.6,-861.2999999999998,False,False,False,False,False
3.4,-10125.199999999999,-18133.22,-1332.8000000000002,-887.4000000000001,False,False,False,False,False
3.5,-10422.999999999998,-18666.550000000003,-1372.0,-913.5,False,False,False,False,False
3.6,-10720.8,-19199.88,-1411.2,-939.6,False,False,False,False,False
3.7,-11018.599999999999,-19733.210000000003,-1450.4,-965.7,False,False,False,False,False
3.8,-11316.399999999996,-20266.539999999997,-1489.6,-991.7999999999998,False,False,False,False,False
3.9,-11614.199999999999,-20799.870000000003,-1528.8000000000002,-1017.9000000000001,False,False,False,False,False
4.0,-11911.999999999998,-21333.2,-1568.0,-1044.0,False,False,False,False,False
4.1,-12209.799999999996,-21866.53,-1607.1999999999998,-1070.1,False,False,False,False,False
4.2,-12507.599999999999,-22399.86,-1646.4,-1096.2,False,False,False,False,False
4.3,-12805.399999999996,-22933.19,-1685.6,-1122.3,False,False,False,False,False
4.4,-13103.199999999997,-23466.52,-1724.8000000000002,-1148.4,False,False,False,False,False
4.5,-13400.999999999998,-23999.850000000002,-1764.0000000000002,-1174.5,False,False,False,False,False
4.6,-13698.799999999996,-24533.179999999997,-1803.1999999999998,-1200.6,False,False,False,False,False
4.7,-13996.599999999999,-25066.510000000002,-1842.4,-1226.7,False,False,False,False,False
4.8,-14294.399999999996,-25599.839999999997,-1881.6,-1252.8,False,False,False,False,False
4.9,-14592.199999999997,-26133.170000000002,-1920.8000000000002,-1278.9,False,False,False,False,False
5.0,-14889.999999999998,-26666.500000000004,-1960.0000000000002,-1305.0,False,False,False,False,False
