lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-53.139999999999915,-56.20850000000002,-7.68,-2.4385,True,True,True,True,True
0.2,-106.27999999999983,-112.41700000000004,-15.36,-4.877,True,True,True,True,True
0.3,-159.41999999999973,-168.62550000000005,-23.039999999999996,-7.315499999999998,True,True,True,True,True
0.4,-212.55999999999966,-224.8340000000001,-30.72,-9.754,True,True,True,True,True
0.5,-265.6999999999996,-281.04250000000013,-38.4,-12.192499999999999,True,True,True,True,True
0.6,-318.83999999999946,-337.2510000000001,-46.07999999999999,-14.630999999999997,True,True,True,True,True
0.7,-371.97999999999934,-393.4595000000001,-53.75999999999999,-17.069499999999998,True,True,True,True,True
0.8,-425.1199999999993,-449.6680000000002,-61.44,-19.508,True,True,True,True,True
0.9,-478.25999999999925,-505.8765000000002,-69.12,-21.9465,True,True,True,True,True
1.0,-531.3999999999992,-562.0850000000003,-76.8,-24.384999999999998,True,True,True,True,True
1.1,-584.539999999999,-618.2935000000002,-84.47999999999999,-26.8235,True,True,True,True,True
1.2,-637.6799999999989,-674.5020000000002,-92.15999999999998,-29.261999999999993,True,True,True,True,True
1.3,-690.8199999999989,-730.7105000000003,-99.84,-31.700499999999998,True,True,True,True,True
1.4,-743.9599999999987,-786.9190000000002,-107.51999999999998,-34.138999999999996,True,True,True,True,True
1.5,-797.0999999999988,-843.1275000000003,-115.19999999999999,-36.5775,False,True,True,True,False
1.6,-850.2399999999986,-899.3360000000004,-122.88,-39.016,False,True,True,True,False
1.7,-903.3799999999985,-955.5445000000004,-130.56,-41.454499999999996,False,True,True,True,False
1.8,-956.5199999999985,-1011.7530000000004,-138.24,-43.893,False,True,True,True,False
1.9,-1009.6599999999981,-1067.9615000000001,-145.91999999999996,-46.33149999999999,False,True,True,True,False
2.0,-1062.7999999999984,-1124.1700000000005,-153.6,-48.769999999999996,False,True,True,True,False
2.1,-1115.9399999999982,-1180.3785000000005,-161.28,-51.2085,False,True,True,True,False
2.2,-1169.079999999998,-1236.5870000000004,-168.95999999999998,-53.647,False,True,True,True,False
2.3,-1222.2199999999978,-1292.7955000000004,-176.63999999999996,-56.08549999999999,False,True,True,True,False
2.4,-1275.3599999999979,-1349.0040000000004,-184.31999999999996,-58.52399999999999,False,True,True,True,False
2.5,-1328.499999999998,-1405.2125000000005,-192.0,-60.9625,False,True,True,True,False
2.6,-1381.6399999999978,-1461.4210000000005,-199.68,-63.400999999999996,False,True,True,True,False
2.7,-1434.7799999999977,-1517.6295000000007,-207.35999999999999,-65.8395,False,False,True,True,False
2.8,-1487.9199999999973,-1573.8380000000004,-215.03999999999996,-68.27799999999999,False,False,True,True,False
2.9,-1541.0599999999974,-1630.0465000000004,-222.71999999999997,-70.71649999999998,False,False,True,True,False
3.0,-1594.1999999999975,-1686.2550000000006,-230.39999999999998,-73.155,False,False,True,True,False
3.1,-1647.3399999999974,-1742.4635000000007,-238.07999999999998,-75.59349999999999,False,False,True,True,False
3.2,-1700.4799999999973,-1798.6720000000007,-245.76,-78.032,False,False,True,True,False
3.3,-1753.619999999997,-1854.8805000000004,-253.43999999999994,-80.47049999999997,False,False,True,True,False
3.4,-1806.759999999997,-1911.0890000000009,-261.12,-82.90899999999999,False,False,True,True,False
3.5,-1859.8999999999971,-1967.2975000000008,-268.8,-85.3475,False,False,True,True,False
3.6,-1913.039999999997,-2023.5060000000008,-276.48,-87.786,False,False,True,True,False
3.7,-1966.1799999999969,-2079.714500000001,-284.15999999999997,-90.22449999999999,False,False,True,True,False
3.8,-2019.3199999999963,-2135.9230000000002,-291.8399999999999,-92.66299999999998,False,False,True,True,False
3.9,-2072.459999999997,-2192.131500000001,-299.52,-95.1015,False,False,True,True,False
4.0,-2125.5999999999967,-2248.340000000001,-307.2,-97.53999999999999,False,False,True,True,False
4.1,-2178.739999999996,-2304.5485000000003,-314.87999999999994,-99.97849999999998,False,False,True,True,False
4.2,-2231.8799999999965,-2360.757000000001,-322.56,-102.417,False,False,True,True,False
4.3,-2285.019999999996,-2416.9655000000007,-330.23999999999995,-104.85549999999998,False,False,True,True,False
4.4,-2338.159999999996,-2473.174000000001,-337.91999999999996,-107.294,False,False,True,True,False
4.5,-2391.299999999996,-2529.382500000001,-345.59999999999997,-109.7325,False,False,True,True,False
4.6,-2444.4399999999955,-2585.591000000001,-353.2799999999999,-112.17099999999998,False,False,True,True,False
4.7,-2497.579999999996,-2641.799500000001,-360.96,-114.6095,False,False,True,True,False
4.8,-2550.7199999999957,-2698.0080000000007,-368.63999999999993,-117.04799999999997,False,False,True,True,False
4.9,-2603.859999999996,-2754.216500000001,-376.32,-119.48649999999999,False,False,True,True,False
5.0,-2656.999999999996,-2810.425000000001,-384.0,-121.925,False,False,True,True,False
