lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-321.7099999999998,-679.001,-113.28999999999999,-58.664500000000004,True,True,True,True,True
0.2,-643.4199999999996,-1358.002,-226.57999999999998,-117.32900000000001,True,True,True,True,True
0.3,-965.1299999999993,-2037.0029999999997,-339.86999999999995,-175.99349999999998,True,False,True,True,False
0.4,-1286.8399999999992,-2716.004,-453.15999999999997,-234.65800000000002,False,False,True,True,False
0.5,-1608.549999999999,-3395.005,-566.4499999999999,-293.3225,False,False,True,True,False
0.6,-1930.2599999999986,-4074.0059999999994,-679.7399999999999,-351.98699999999997,False,False,False,True,False
0.7,-2251.9699999999984,-4753.007,-793.0299999999999,-410.6515,False,False,False,True,False
0.8,-2573.6799999999985,-5432.008,-906.3199999999999,-469.31600000000003,False,False,False,False,False
0.9,-2895.3899999999985,-6111.009,-1019.6099999999999,-527.9805,False,False,False,False,False
1.0,-3217.099999999998,-6790.01,-1132.8999999999999,-586.645,False,False,False,False,False
1.1,-3538.8099999999977,-7469.0109999999995,-1246.1899999999998,-645.3095000000001,False,False,False,False,False
1.2,-3860.5199999999973,-8148.011999999999,-1359.4799999999998,-703.9739999999999,False,False,False,False,False
1.3,-4182.229999999998,-8827.012999999999,-1472.77,-762.6385,False,False,False,False,False
1.4,-4503.939999999997,-9506.014,-1586.0599999999997,-821.303,False,False,False,False,False
1.5,-4825.649999999997,-10185.015,-1699.35,-879.9675000000001,False,False,False,False,False
1.6,-5147.359999999997,-10864.016,-1812.6399999999999,-938.6320000000001,False,False,False,False,False
1.7,-5469.069999999997,-11543.017,-1925.9299999999998,-997.2965,False,False,False,False,False
1.8,-5790.779999999997,-12222.018,-2039.2199999999998,-1055.961,False,False,False,False,False
1.9,-6112.489999999995,-12901.018999999997,-2152.5099999999993,-1114.6254999999999,False,False,False,False,False
2.0,-6434.199999999996,-13580.02,-2265.7999999999997,-1173.29,False,False,False,False,False
2.1,-6755.909999999996,-14259.020999999999,-2379.0899999999997,-1231.9545,False,False,False,False,False
2.2,-7077.619999999995,-14938.021999999999,-2492.3799999999997,-1290.6190000000001,False,False,False,False,False
2.3,-7399.3299999999945,-15617.022999999997,-2605.6699999999996,-1349.2834999999998,False,False,False,False,False
2.4,-7721.0399999999945,-16296.023999999998,-2718.9599999999996,-1407.9479999999999,False,False,False,False,False
2.5,-8042.749999999995,-16975.024999999998,-2832.25,-1466.6125000000002,False,False,False,False,False
2.6,-8364.459999999995,-17654.025999999998,-2945.54,-1525.277,False,False,False,False,False
2.7,-8686.169999999995,-18333.027,-3058.83,-1583.9415000000001,False,False,False,False,False
2.8,-9007.879999999994,-19012.028,-3172.1199999999994,-1642.606,False,False,False,False,False
2.9,-9329.589999999993,-19691.029,-3285.4099999999994,-1701.2704999999999,False,False,False,False,False
3.0,-9651.299999999994,-20370.03,-3398.7,-1759.9350000000002,False,False,False,False,False
3.1,-9973.009999999995,-21049.031,-3511.99,-1818.5995,False,False,False,False,False
3.2,-10294.719999999994,-21728.032,-3625.2799999999997,-1877.2640000000001,False,False,False,False,False
3.3,-10616.429999999991,-22407.032999999996,-3738.569999999999,-1935.9284999999998,False,False,False,False,False
3.4,-10938.139999999994,-23086.034,-3851.8599999999997,-1994.593,False,False,False,False,False
3.5,-11259.849999999993,-23765.035,-3965.1499999999996,-2053.2575,False,False,False,False,False
3.6,-11581.559999999994,-24444.036,-4078.4399999999996,-2111.922,False,False,False,False,False
3.7,-11903.269999999993,-25123.037,-4191.73,-2170.5865000000003,False,False,False,False,False
3.8,-12224.97999999999,-25802.037999999993,-4305.019999999999,-2229.2509999999997,False,False,False,False,False
3.9,-12546.689999999993,-26481.039,-4418.3099999999995,-2287.9155,False,False,False,False,False
4.0,-12868.399999999992,-27160.04,-4531.599999999999,-2346.58,False,False,False,False,False
4.1,-13190.10999999999,-27839.040999999994,-4644.8899999999985,-2405.2445,False,False,False,False,False
4.2,-13511.819999999992,-28518.041999999998,-4758.179999999999,-2463.909,False,False,False,False,False
4.3,-13833.52999999999,-29197.042999999994,-4871.469999999998,-2522.5735,False,False,False,False,False
4.4,-14155.23999999999,-29876.043999999998,-4984.759999999999,-2581.2380000000003,False,False,False,False,False
4.5,-14476.949999999992,-30555.045,-5098.049999999999,-2639.9025,False,False,False,False,False
4.6,-14798.659999999989,-31234.045999999995,-5211.339999999999,-2698.5669999999996,False,False,False,False,False
4.7,-15120.369999999992,-31913.047,-5324.629999999999,-2757.2315000000003,False,False,False,False,False
4.8,-15442.079999999989,-32592.047999999995,-5437.919999999999,-2815.8959999999997,False,False,False,False,False
4.9,-15763.78999999999,-33271.049,-5551.21,-2874.5605,False,False,False,False,False
5.0,-16085.49999999999,-33950.049999999996,-5664.5,-2933.2250000000004,False,False,False,False,False
