lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-184.67000000000004,-472.0775,-44.93,-26.0035,True,True,True,True,True
0.2,-369.3400000000001,-944.155,-89.86,-52.007,True,True,True,True,True
0.3,-554.0100000000001,-1416.2324999999998,-134.79,-78.01049999999998,True,True,True,True,True
0.4,-738.6800000000002,-1888.31,-179.72,-104.014,True,True,True,True,True
0.5,-923.3500000000003,-2360.3875,-224.65,-130.01749999999998,True,False,True,True,False
0.6,-1108.0200000000002,-2832.4649999999997,-269.58,-156.02099999999996,False,False,True,True,False
0.7,-1292.69,-3304.5424999999996,-314.50999999999993,-182.02449999999996,False,False,True,True,False
0.8,-1477.3600000000004,-3776.62,-359.44,-208.028,False,False,True,True,False
0.9,-1662.0300000000004,-4248.6975,-404.37,-234.0315,False,False,True,True,False
1.0,-1846.7000000000005,-4720.775,-449.3,-260.03499999999997,False,False,True,True,False
1.1,-2031.3700000000006,-5192.8525,-494.23,-286.0385,False,False,True,True,False
1.2,-2216.0400000000004,-5664.929999999999,-539.16,-312.0419999999999,False,False,True,True,False
1.3,-2400.7100000000005,-6137.0075,-584.09,-338.0455,False,False,True,True,False
1.4,-2585.38,-6609.084999999999,-629.0199999999999,-364.0489999999999,False,False,True,True,False
1.5,-2770.0500000000006,-7081.162499999999,-673.95,-390.0525,False,False,False,True,False
1.6,-2954.7200000000007,-7553.24,-718.88,-416.056,False,False,False,True,False
1.7,-3139.390000000001,-8025.3175,-763.81,-442.05949999999996,False,False,False,True,False
1.8,-3324.060000000001,-8497.395,-808.74,-468.063,False,False,False,False,False
1.9,-3508.73,-8969.472499999998,-853.6699999999998,-494.0664999999999,False,False,False,False,False
2.0,-3693.400000000001,-9441.55,-898.6,-520.0699999999999,False,False,False,False,False
2.1,-3878.070000000001,-9913.6275,-943.53,-546.0735,False,False,False,False,False
2.2,-4062.740000000001,-10385.705,-988.46,-572.077,False,False,False,False,False
2.3,-4247.410000000001,-10857.782499999998,-1033.3899999999999,-598.0804999999999,False,False,False,False,False
2.4,-4432.080000000001,-11329.859999999999,-1078.32,-624.0839999999998,False,False,False,False,False
2.5,-4616.750000000001,-11801.9375,-1123.25,-650.0875,False,False,False,False,False
2.6,-4801.420000000001,-12274.015,-1168.18,-676.091,False,False,False,False,False
2.7,-4986.090000000001,-12746.092499999999,-1213.11,-702.0944999999999,False,False,False,False,False
2.8,-5170.76,-13218.169999999998,-1258.0399999999997,-728.0979999999998,False,False,False,False,False
2.9,-5355.43,-13690.247499999998,-1302.9699999999998,-754.1014999999999,False,False,False,False,False
3.0,-5540.100000000001,-14162.324999999999,-1347.9,-780.105,False,False,False,False,False
3.1,-5724.770000000001,-14634.4025,-1392.83,-806.1084999999999,False,False,False,False,False
3.2,-5909.440000000001,-15106.48,-1437.76,-832.112,False,False,False,False,False
3.3,-6094.110000000001,-15578.557499999995,-1482.6899999999996,-858.1154999999998,False,False,False,False,False
3.4,-6278.780000000002,-16050.635,-1527.62,-884.1189999999999,False,False,False,False,False
3.5,-6463.450000000002,-16522.712499999998,-1572.55,-910.1225,False,False,False,False,False
3.6,-6648.120000000002,-16994.79,-1617.48,-936.126,False,False,False,False,False
3.7,-6832.790000000002,-17466.8675,-1662.41,-962.1295,False,False,False,False,False
3.8,-7017.46,-17938.944999999996,-1707.3399999999997,-988.1329999999998,False,False,False,False,False
3.9,-7202.130000000002,-18411.0225,-1752.27,-1014.1365,False,False,False,False,False
4.0,-7386.800000000002,-18883.1,-1797.2,-1040.1399999999999,False,False,False,False,False
4.1,-7571.47,-19355.177499999994,-1842.1299999999997,-1066.1434999999997,False,False,False,False,False
4.2,-7756.140000000002,-19827.255,-1887.06,-1092.147,False,False,False,False,False
4.3,-7940.81,-20299.332499999997,-1931.9899999999998,-1118.1504999999997,False,False,False,False,False
4.4,-8125.480000000002,-20771.41,-1976.92,-1144.154,False,False,False,False,False
4.5,-8310.150000000001,-21243.4875,-2021.85,-1170.1575,False,False,False,False,False
4.6,-8494.820000000002,-21715.564999999995,-2066.7799999999997,-1196.1609999999998,False,False,False,False,False
4.7,-8679.490000000002,-22187.642499999998,-2111.71,-1222.1644999999999,False,False,False,False,False
4.8,-8864.160000000002,-22659.719999999998,-2156.64,-1248.1679999999997,False,False,False,False,False
4.9,-9048.830000000002,-23131.7975,-2201.57,-1274.1715,False,False,False,False,False
5.0,-9233.500000000002,-23603.875,-2246.5,-1300.175,False,False,False,False,False
