lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-198.34000000000023,-428.3555,-39.99,-24.6385,True,True,True,True,True
0.2,-396.68000000000046,-856.711,-79.98,-49.277,True,True,True,True,True
0.3,-595.0200000000006,-1285.0665,-119.96999999999998,-73.9155,True,True,True,True,True
0.4,-793.3600000000009,-1713.422,-159.96,-98.554,True,True,True,True,True
0.5,-991.7000000000012,-2141.7775,-199.95000000000002,-123.1925,True,True,True,True,True
0.6,-1190.040000000001,-2570.133,-239.93999999999997,-147.831,True,False,True,True,False
0.7,-1388.3800000000015,-2998.4884999999995,-279.93,-172.46949999999998,False,False,True,True,False
0.8,-1586.7200000000018,-3426.844,-319.92,-197.108,False,False,True,True,False
0.9,-1785.060000000002,-3855.1995,-359.91,-221.7465,False,False,True,True,False
1.0,-1983.4000000000024,-4283.555,-399.90000000000003,-246.385,False,False,True,True,False
1.1,-2181.7400000000025,-4711.9105,-439.89000000000004,-271.0235,False,False,True,True,False
1.2,-2380.080000000002,-5140.266,-479.87999999999994,-295.662,False,False,True,True,False
1.3,-2578.420000000003,-5568.6215,-519.87,-320.3005,False,False,True,True,False
1.4,-2776.760000000003,-5996.976999999999,-559.86,-344.93899999999996,False,False,True,True,False
1.5,-2975.1000000000035,-6425.3325,-599.85,-369.5775,False,False,True,True,False
1.6,-3173.4400000000037,-6853.688,-639.84,-394.216,False,False,True,True,False
1.7,-3371.780000000004,-7282.0435,-679.83,-418.85450000000003,False,False,False,True,False
1.8,-3570.120000000004,-7710.399,-719.82,-443.493,False,False,False,True,False
1.9,-3768.4600000000037,-8138.754499999998,-759.81,-468.1314999999999,False,False,False,False,False
2.0,-3966.8000000000047,-8567.11,-799.8000000000001,-492.77,False,False,False,False,False
2.1,-4165.140000000005,-8995.4655,-839.7900000000001,-517.4085,False,False,False,False,False
2.2,-4363.480000000005,-9423.821,-879.7800000000001,-542.047,False,False,False,False,False
2.3,-4561.820000000004,-9852.176499999998,-919.7699999999999,-566.6854999999999,False,False,False,False,False
2.4,-4760.160000000004,-10280.532,-959.7599999999999,-591.324,False,False,False,False,False
2.5,-4958.5000000000055,-10708.8875,-999.75,-615.9625,False,False,False,False,False
2.6,-5156.840000000006,-11137.243,-1039.74,-640.601,False,False,False,False,False
2.7,-5355.180000000007,-11565.5985,-1079.73,-665.2395,False,False,False,False,False
2.8,-5553.520000000006,-11993.953999999998,-1119.72,-689.8779999999999,False,False,False,False,False
2.9,-5751.860000000006,-12422.3095,-1159.7099999999998,-714.5165,False,False,False,False,False
3.0,-5950.200000000007,-12850.665,-1199.7,-739.155,False,False,False,False,False
3.1,-6148.540000000007,-13279.0205,-1239.69,-763.7935,False,False,False,False,False
3.2,-6346.880000000007,-13707.376,-1279.68,-788.432,False,False,False,False,False
3.3,-6545.220000000007,-14135.731499999998,-1319.6699999999998,-813.0704999999998,False,False,False,False,False
3.4,-6743.560000000008,-14564.087,-1359.66,-837.7090000000001,False,False,False,False,False
3.5,-6941.900000000008,-14992.442500000001,-1399.65,-862.3475,False,False,False,False,False
3.6,-7140.240000000008,-15420.798,-1439.64,-886.986,False,False,False,False,False
3.7,-7338.580000000008,-15849.1535,-1479.63,-911.6245,False,False,False,False,False
3.8,-7536.920000000007,-16277.508999999996,-1519.62,-936.2629999999998,False,False,False,False,False
3.9,-7735.260000000009,-16705.8645,-1559.6100000000001,-960.9015,False,False,False,False,False
4.0,-7933.6000000000095,-17134.22,-1599.6000000000001,-985.54,False,False,False,False,False
4.1,-8131.940000000008,-17562.5755,-1639.5899999999997,-1010.1784999999999,False,False,False,False,False
4.2,-8330.28000000001,-17990.931,-1679.5800000000002,-1034.817,False,False,False,False,False
4.3,-8528.620000000008,-18419.2865,-1719.5699999999997,-1059.4554999999998,False,False,False,False,False
4.4,-8726.96000000001,-18847.642,-1759.5600000000002,-1084.094,False,False,False,False,False
4.5,-8925.30000000001,-19275.9975,-1799.5500000000002,-1108.7325,False,False,False,False,False
4.6,-9123.640000000009,-19704.352999999996,-1839.5399999999997,-1133.3709999999999,False,False,False,False,False
4.7,-9321.98000000001,-20132.7085,-1879.5300000000002,-1158.0095000000001,False,False,False,False,False
4.8,-9520.320000000009,-20561.064,-1919.5199999999998,-1182.648,False,False,False,False,False
4.9,-9718.66000000001,-20989.4195,-1959.51,-1207.2865,False,False,False,False,False
5.0,-9917.000000000011,-21417.775,-1999.5,-1231.925,False,False,False,False,False
