lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-422.1200000000001,-667.4164999999997,-93.25,-33.63549999999999,True,True,True,True,True
0.2,-844.2400000000002,-1334.8329999999994,-186.5,-67.27099999999999,True,True,True,True,True
0.3,-1266.3600000000001,-2002.2494999999988,-279.74999999999994,-100.90649999999997,False,True,True,True,False
0.4,-1688.4800000000005,-2669.665999999999,-373.0,-134.54199999999997,False,False,True,True,False
0.5,-2110.6000000000004,-3337.0824999999986,-466.25,-168.17749999999995,False,False,True,True,False
0.6,-2532.7200000000003,-4004.4989999999975,-559.4999999999999,-201.81299999999993,False,False,True,True,False
0.7,-2954.8400000000006,-4671.915499999997,-652.7499999999999,-235.4484999999999,False,False,False,True,False
0.8,-3376.960000000001,-5339.331999999998,-746.0,-269.08399999999995,False,False,False,True,False
0.9,-3799.080000000001,-6006.748499999997,-839.25,-302.7194999999999,False,False,False,True,False
1.0,-4221.200000000001,-6674.164999999997,-932.5,-336.3549999999999,False,False,False,True,False
1.1,-4643.3200000000015,-7341.581499999997,-1025.75,-369.99049999999994,False,False,False,True,False
1.2,-5065.4400000000005,-8008.997999999995,-1118.9999999999998,-403.62599999999986,False,False,False,True,False
1.3,-5487.560000000001,-8676.414499999995,-1212.25,-437.2614999999999,False,False,False,True,False
1.4,-5909.680000000001,-9343.830999999995,-1305.4999999999998,-470.8969999999998,False,False,False,False,False
1.5,-6331.800000000002,-10011.247499999996,-1398.75,-504.5324999999999,False,False,False,False,False
1.6,-6753.920000000002,-10678.663999999995,-1492.0,-538.1679999999999,False,False,False,False,False
1.7,-7176.040000000002,-11346.080499999995,-1585.25,-571.8034999999999,False,False,False,False,False
1.8,-7598.160000000002,-12013.496999999994,-1678.5,-605.4389999999999,False,False,False,False,False
1.9,-8020.280000000001,-12680.913499999991,-1771.7499999999998,-639.0744999999997,False,False,False,False,False
2.0,-8442.400000000001,-13348.329999999994,-1865.0,-672.7099999999998,False,False,False,False,False
2.1,-8864.520000000002,-14015.746499999994,-1958.25,-706.3454999999999,False,False,False,False,False
2.2,-9286.640000000003,-14683.162999999993,-2051.5,-739.9809999999999,False,False,False,False,False
2.3,-9708.760000000002,-15350.57949999999,-2144.7499999999995,-773.6164999999997,False,False,False,False,False
2.4,-10130.880000000001,-16017.99599999999,-2237.9999999999995,-807.2519999999997,False,False,False,False,False
2.5,-10553.000000000004,-16685.41249999999,-2331.25,-840.8874999999998,False,False,False,False,False
2.6,-10975.120000000003,-17352.82899999999,-2424.5,-874.5229999999998,False,False,False,False,False
2.7,-11397.240000000003,-18020.245499999994,-2517.75,-908.1584999999998,False,False,False,False,False
2.8,-11819.360000000002,-18687.66199999999,-2610.9999999999995,-941.7939999999996,False,False,False,False,False
2.9,-12241.480000000001,-19355.07849999999,-2704.2499999999995,-975.4294999999997,False,False,False,False,False
3.0,-12663.600000000004,-20022.49499999999,-2797.5,-1009.0649999999998,False,False,False,False,False
3.1,-13085.720000000003,-20689.91149999999,-2890.75,-1042.7004999999997,False,False,False,False,False
3.2,-13507.840000000004,-21357.32799999999,-2984.0,-1076.3359999999998,False,False,False,False,False
3.3,-13929.960000000001,-22024.744499999986,-3077.2499999999995,-1109.9714999999997,False,False,False,False,False
3.4,-14352.080000000004,-22692.16099999999,-3170.5,-1143.6069999999997,False,False,False,False,False
3.5,-14774.200000000004,-23359.57749999999,-3263.75,-1177.2424999999998,False,False,False,False,False
3.6,-15196.320000000003,-24026.993999999988,-3357.0,-1210.8779999999997,False,False,False,False,False
3.7,-15618.440000000004,-24694.410499999987,-3450.25,-1244.5134999999998,False,False,False,False,False
3.8,-16040.560000000001,-25361.826999999983,-3543.4999999999995,-1278.1489999999994,False,False,False,False,False
3.9,-16462.680000000004,-26029.24349999999,-3636.75,-1311.7844999999998,False,False,False,False,False
4.0,-16884.800000000003,-26696.65999999999,-3730.0,-1345.4199999999996,False,False,False,False,False
4.1,-17306.920000000002,-27364.076499999985,-3823.2499999999995,-1379.0554999999995,False,False,False,False,False
4.2,-17729.040000000005,-28031.492999999988,-3916.5,-1412.6909999999998,False,False,False,False,False
4.3,-18151.160000000003,-28698.909499999983,-4009.7499999999995,-1446.3264999999994,False,False,False,False,False
4.4,-18573.280000000006,-29366.325999999986,-4103.0,-1479.9619999999998,False,False,False,False,False
4.5,-18995.400000000005,-30033.742499999986,-4196.25,-1513.5974999999996,False,False,False,False,False
4.6,-19417.520000000004,-30701.15899999998,-4289.499999999999,-1547.2329999999995,False,False,False,False,False
4.7,-19839.640000000007,-31368.575499999984,-4382.75,-1580.8684999999996,False,False,False,False,False
4.8,-20261.760000000002,-32035.99199999998,-4475.999999999999,-1614.5039999999995,False,False,False,False,False
4.9,-20683.880000000005,-32703.408499999987,-4569.25,-1648.1394999999998,False,False,False,False,False
5.0,-21106.000000000007,-33370.82499999998,-4662.5,-1681.7749999999996,False,False,False,False,False
