lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-1407.67,-2389.138000000001,-225.56,-156.84799999999998,False,False,True,True,False
0.2,-2815.34,-4778.276000000002,-451.12,-313.69599999999997,False,False,True,True,False
0.3,-4223.009999999999,-7167.414000000002,-676.68,-470.54399999999987,False,False,False,False,False
0.4,-5630.68,-9556.552000000003,-902.24,-627.3919999999999,False,False,False,False,False
0.5,-7038.35,-11945.690000000004,-1127.8,-784.2399999999999,False,False,False,False,False
0.6,-8446.019999999999,-14334.828000000003,-1353.36,-941.0879999999997,False,False,False,False,False
0.7,-9853.689999999999,-16723.966000000004,-1578.9199999999998,-1097.9359999999997,False,False,False,False,False
0.8,-11261.36,-19113.104000000007,-1804.48,-1254.7839999999999,False,False,False,False,False
0.9,-12669.03,-21502.242000000006,-2030.04,-1411.6319999999998,False,False,False,False,False
1.0,-14076.7,-23891.38000000001,-2255.6,-1568.4799999999998,False,False,False,False,False
1.1,-15484.37,-26280.51800000001,-2481.16,-1725.3279999999997,False,False,False,False,False
1.2,-16892.039999999997,-28669.656000000006,-2706.72,-1882.1759999999995,False,False,False,False,False
1.3,-18299.71,-31058.79400000001,-2932.28,-2039.024,False,False,False,False,False
1.4,-19707.379999999997,-33447.93200000001,-3157.8399999999997,-2195.8719999999994,False,False,False,False,False
1.5,-21115.050000000003,-35837.070000000014,-3383.4,-2352.72,False,False,False,False,False
1.6,-22522.72,-38226.20800000001,-3608.96,-2509.5679999999998,False,False,False,False,False
1.7,-23930.39,-40615.34600000001,-3834.52,-2666.4159999999997,False,False,False,False,False
1.8,-25338.06,-43004.48400000001,-4060.08,-2823.2639999999997,False,False,False,False,False
1.9,-26745.729999999996,-45393.62200000001,-4285.639999999999,-2980.111999999999,False,False,False,False,False
2.0,-28153.4,-47782.76000000002,-4511.2,-3136.9599999999996,False,False,False,False,False
2.1,-29561.07,-50171.898000000016,-4736.76,-3293.8079999999995,False,False,False,False,False
2.2,-30968.74,-52561.03600000002,-4962.32,-3450.6559999999995,False,False,False,False,False
2.3,-32376.409999999996,-54950.17400000001,-5187.879999999999,-3607.503999999999,False,False,False,False,False
2.4,-33784.079999999994,-57339.31200000001,-5413.44,-3764.351999999999,False,False,False,False,False
2.5,-35191.75,-59728.45000000002,-5639.0,-3921.2,False,False,False,False,False
2.6,-36599.42,-62117.58800000002,-5864.56,-4078.048,False,False,False,False,False
2.7,-38007.090000000004,-64506.726000000024,-6090.12,-4234.896,False,False,False,False,False
2.8,-39414.759999999995,-66895.86400000002,-6315.679999999999,-4391.743999999999,False,False,False,False,False
2.9,-40822.43,-69285.00200000002,-6541.239999999999,-4548.591999999999,False,False,False,False,False
3.0,-42230.100000000006,-71674.14000000003,-6766.8,-4705.44,False,False,False,False,False
3.1,-43637.770000000004,-74063.27800000002,-6992.36,-4862.288,False,False,False,False,False
3.2,-45045.44,-76452.41600000003,-7217.92,-5019.1359999999995,False,False,False,False,False
3.3,-46453.10999999999,-78841.554,-7443.479999999999,-5175.983999999999,False,False,False,False,False
3.4,-47860.78,-81230.69200000002,-7669.04,-5332.831999999999,False,False,False,False,False
3.5,-49268.450000000004,-83619.83000000003,-7894.6,-5489.679999999999,False,False,False,False,False
3.6,-50676.12,-86008.96800000002,-8120.16,-5646.527999999999,False,False,False,False,False
3.7,-52083.79,-88398.10600000003,-8345.72,-5803.375999999999,False,False,False,False,False
3.8,-53491.45999999999,-90787.24400000002,-8571.279999999999,-5960.223999999998,False,False,False,False,False
3.9,-54899.130000000005,-93176.38200000003,-8796.84,-6117.071999999999,False,False,False,False,False
4.0,-56306.8,-95565.52000000003,-9022.4,-6273.919999999999,False,False,False,False,False
4.1,-57714.469999999994,-97954.65800000001,-9247.96,-6430.767999999998,False,False,False,False,False
4.2,-59122.14,-100343.79600000003,-9473.52,-6587.615999999999,False,False,False,False,False
4.3,-60529.80999999999,-102732.93400000002,-9699.079999999998,-6744.463999999998,False,False,False,False,False
4.4,-61937.48,-105122.07200000004,-9924.64,-6901.311999999999,False,False,False,False,False
4.5,-63345.15,-107511.21000000004,-10150.2,-7058.159999999999,False,False,False,False,False
4.6,-64752.81999999999,-109900.34800000003,-10375.759999999998,-7215.007999999998,False,False,False,False,False
4.7,-66160.49,-112289.48600000003,-10601.32,-7371.855999999999,False,False,False,False,False
4.8,-67568.15999999999,-114678.62400000003,-10826.88,-7528.703999999998,False,False,False,False,False
4.9,-68975.83,-117067.76200000005,-11052.44,-7685.552,False,False,False,False,False
5.0,-70383.5,-119456.90000000004,-11278.0,-7842.4,False,False,False,False,False
