lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-271.4400000000005,-547.086,-50.93,-42.461,True,True,True,True,True
0.2,-542.880000000001,-1094.172,-101.86,-84.922,True,True,True,True,True
0.3,-814.3200000000014,-1641.2579999999998,-152.78999999999996,-127.38299999999998,True,True,True,True,True
0.4,-1085.760000000002,-2188.344,-203.72,-169.844,True,True,True,True,True
0.5,-1357.2000000000025,-2735.4300000000003,-254.65,-212.305,False,False,True,True,False
0.6,-1628.6400000000028,-3282.5159999999996,-305.5799999999999,-254.76599999999996,False,False,True,True,False
0.7,-1900.0800000000033,-3829.6019999999994,-356.50999999999993,-297.227,False,False,True,True,False
0.8,-2171.520000000004,-4376.688,-407.44,-339.688,False,False,True,True,False
0.9,-2442.9600000000046,-4923.774,-458.37,-382.149,False,False,True,True,False
1.0,-2714.400000000005,-5470.860000000001,-509.3,-424.61,False,False,True,True,False
1.1,-2985.8400000000056,-6017.946,-560.23,-467.07099999999997,False,False,True,False,False
1.2,-3257.2800000000057,-6565.031999999999,-611.1599999999999,-509.5319999999999,False,False,True,False,False
1.3,-3528.7200000000066,-7112.118,-662.09,-551.9929999999999,False,False,False,False,False
1.4,-3800.1600000000067,-7659.203999999999,-713.0199999999999,-594.454,False,False,False,False,False
1.5,-4071.6000000000076,-8206.29,-763.95,-636.915,False,False,False,False,False
1.6,-4343.040000000008,-8753.376,-814.88,-679.376,False,False,False,False,False
1.7,-4614.480000000009,-9300.462,-865.81,-721.837,False,False,False,False,False
1.8,-4885.920000000009,-9847.548,-916.74,-764.298,False,False,False,False,False
1.9,-5157.360000000009,-10394.633999999998,-967.6699999999998,-806.7589999999998,False,False,False,False,False
2.0,-5428.80000000001,-10941.720000000001,-1018.6,-849.22,False,False,False,False,False
2.1,-5700.240000000011,-11488.806,-1069.53,-891.6809999999999,False,False,False,False,False
2.2,-5971.680000000011,-12035.892,-1120.46,-934.1419999999999,False,False,False,False,False
2.3,-6243.120000000011,-12582.978,-1171.3899999999999,-976.6029999999998,False,False,False,False,False
2.4,-6514.560000000011,-13130.063999999998,-1222.3199999999997,-1019.0639999999999,False,False,False,False,False
2.5,-6786.000000000013,-13677.15,-1273.25,-1061.5249999999999,False,False,False,False,False
2.6,-7057.440000000013,-14224.236,-1324.18,-1103.9859999999999,False,False,False,False,False
2.7,-7328.880000000014,-14771.322,-1375.11,-1146.447,False,False,False,False,False
2.8,-7600.320000000013,-15318.407999999998,-1426.0399999999997,-1188.908,False,False,False,False,False
2.9,-7871.760000000014,-15865.493999999999,-1476.9699999999998,-1231.369,False,False,False,False,False
3.0,-8143.200000000015,-16412.58,-1527.9,-1273.83,False,False,False,False,False
3.1,-8414.640000000016,-16959.666,-1578.83,-1316.291,False,False,False,False,False
3.2,-8686.080000000016,-17506.752,-1629.76,-1358.752,False,False,False,False,False
3.3,-8957.520000000015,-18053.837999999996,-1680.6899999999996,-1401.2129999999997,False,False,False,False,False
3.4,-9228.960000000017,-18600.924,-1731.62,-1443.674,False,False,False,False,False
3.5,-9500.400000000018,-19148.010000000002,-1782.55,-1486.135,False,False,False,False,False
3.6,-9771.840000000018,-19695.096,-1833.48,-1528.596,False,False,False,False,False
3.7,-10043.280000000019,-20242.182,-1884.41,-1571.057,False,False,False,False,False
3.8,-10314.720000000018,-20789.267999999996,-1935.3399999999997,-1613.5179999999996,False,False,False,False,False
3.9,-10586.16000000002,-21336.354,-1986.27,-1655.979,False,False,False,False,False
4.0,-10857.60000000002,-21883.440000000002,-2037.2,-1698.44,False,False,False,False,False
4.1,-11129.040000000019,-22430.525999999998,-2088.1299999999997,-1740.9009999999996,False,False,False,False,False
4.2,-11400.480000000021,-22977.612,-2139.06,-1783.3619999999999,False,False,False,False,False
4.3,-11671.92000000002,-23524.697999999997,-2189.99,-1825.8229999999996,False,False,False,False,False
4.4,-11943.360000000022,-24071.784,-2240.92,-1868.2839999999999,False,False,False,False,False
4.5,-12214.800000000023,-24618.87,-2291.85,-1910.745,False,False,False,False,False
4.6,-12486.240000000022,-25165.956,-2342.7799999999997,-1953.2059999999997,False,False,False,False,False
4.7,-12757.680000000024,-25713.042,-2393.71,-1995.667,False,False,False,False,False
4.8,-13029.120000000023,-26260.127999999997,-2444.6399999999994,-2038.1279999999997,False,False,False,False,False
4.9,-13300.560000000025,-26807.214,-2495.57,-2080.589,False,False,False,False,False
5.0,-13572.000000000025,-27354.3,-2546.5,-2123.0499999999997,False,False,False,False,False
