lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-84.39999999999975,-149.4270000000002,-6.73,-6.25,True,True,True,True,True
0.2,-168.7999999999995,-298.8540000000004,-13.46,-12.5,True,True,True,True,True
0.3,-253.19999999999922,-448.2810000000005,-20.189999999999998,-18.749999999999996,True,True,True,True,True
0.4,-337.599999999999,-597.7080000000008,-26.92,-25.0,True,True,True,True,True
0.5,-421.99999999999875,-747.1350000000009,-33.650000000000006,-31.25,True,True,True,True,True
0.6,-506.39999999999844,-896.562000000001,-40.379999999999995,-37.49999999999999,True,True,True,True,True
0.7,-590.7999999999981,-1045.9890000000012,-47.11,-43.74999999999999,True,True,True,True,True
0.8,-675.199999999998,-1195.4160000000015,-53.84,-50.0,True,True,True,True,True
0.9,-759.5999999999977,-1344.8430000000017,-60.57000000000001,-56.25,True,True,True,True,True
1.0,-843.9999999999975,-1494.2700000000018,-67.30000000000001,-62.5,True,True,True,True,True
1.1,-928.3999999999972,-1643.6970000000022,-74.03,-68.75,True,True,True,True,True
1.2,-1012.7999999999969,-1793.124000000002,-80.75999999999999,-74.99999999999999,True,True,True,True,True
1.3,-1097.1999999999966,-1942.5510000000024,-87.49000000000001,-81.25,True,True,True,True,True
1.4,-1181.5999999999963,-2091.9780000000023,-94.22,-87.49999999999999,True,True,True,True,True
1.5,-1265.9999999999964,-2241.405000000003,-100.95,-93.75,False,True,True,True,False
1.6,-1350.399999999996,-2390.832000000003,-107.68,-100.0,False,True,True,True,False
1.7,-1434.7999999999956,-2540.259000000003,-114.41000000000001,-106.25,False,False,True,True,False
1.8,-1519.1999999999955,-2689.6860000000033,-121.14000000000001,-112.5,False,False,True,True,False
1.9,-1603.599999999995,-2839.113000000003,-127.86999999999999,-118.74999999999997,False,False,True,True,False
2.0,-1687.999999999995,-2988.5400000000036,-134.60000000000002,-125.0,False,False,True,True,False
2.1,-1772.3999999999946,-3137.967000000004,-141.33,-131.25,False,False,True,True,False
2.2,-1856.7999999999945,-3287.3940000000043,-148.06,-137.5,False,False,True,True,False
2.3,-1941.199999999994,-3436.821000000004,-154.79,-143.74999999999997,False,False,True,True,False
2.4,-2025.5999999999938,-3586.248000000004,-161.51999999999998,-149.99999999999997,False,False,True,True,False
2.5,-2109.9999999999936,-3735.6750000000047,-168.25,-156.25,False,False,True,True,False
2.6,-2194.3999999999933,-3885.102000000005,-174.98000000000002,-162.5,False,False,True,True,False
2.7,-2278.7999999999934,-4034.529000000005,-181.71,-168.75,False,False,True,True,False
2.8,-2363.1999999999925,-4183.956000000005,-188.44,-174.99999999999997,False,False,True,True,False
2.9,-2447.5999999999926,-4333.383000000005,-195.17,-181.24999999999997,False,False,True,True,False
3.0,-2531.9999999999927,-4482.810000000006,-201.9,-187.5,False,False,True,True,False
3.1,-2616.3999999999924,-4632.2370000000055,-208.63000000000002,-193.75,False,False,True,True,False
3.2,-2700.799999999992,-4781.664000000006,-215.36,-200.0,False,False,True,True,False
3.3,-2785.199999999991,-4931.091000000005,-222.08999999999997,-206.24999999999994,False,False,True,True,False
3.4,-2869.5999999999913,-5080.518000000006,-228.82000000000002,-212.5,False,False,True,True,False
3.5,-2953.9999999999914,-5229.945000000007,-235.55,-218.75,False,False,True,True,False
3.6,-3038.399999999991,-5379.372000000007,-242.28000000000003,-225.0,False,False,True,True,False
3.7,-3122.7999999999906,-5528.799000000007,-249.01000000000002,-231.25,False,False,True,True,False
3.8,-3207.19999999999,-5678.226000000006,-255.73999999999998,-237.49999999999994,False,False,True,True,False
3.9,-3291.5999999999904,-5827.6530000000075,-262.47,-243.75,False,False,True,True,False
4.0,-3375.99999999999,-5977.080000000007,-269.20000000000005,-250.0,False,False,True,True,False
4.1,-3460.399999999989,-6126.507000000007,-275.92999999999995,-256.24999999999994,False,False,True,True,False
4.2,-3544.7999999999893,-6275.934000000008,-282.66,-262.5,False,False,True,True,False
4.3,-3629.1999999999884,-6425.361000000007,-289.39,-268.74999999999994,False,False,True,True,False
4.4,-3713.599999999989,-6574.788000000009,-296.12,-275.0,False,False,True,True,False
4.5,-3797.9999999999886,-6724.215000000008,-302.85,-281.25,False,False,True,True,False
4.6,-3882.399999999988,-6873.642000000008,-309.58,-287.49999999999994,False,False,True,True,False
4.7,-3966.7999999999884,-7023.069000000009,-316.31,-293.75,False,False,True,True,False
4.8,-4051.1999999999875,-7172.496000000008,-323.03999999999996,-299.99999999999994,False,False,True,True,False
4.9,-4135.599999999988,-7321.92300000001,-329.77000000000004,-306.25,False,False,True,True,False
5.0,-4219.999999999987,-7471.3500000000095,-336.5,-312.5,False,False,True,True,False
