lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-84.39999999999975,-151.77050000000006,-6.73,-6.25,True,True,True,True,True
0.2,-168.7999999999995,-303.5410000000001,-13.46,-12.5,True,True,True,True,True
0.3,-253.19999999999922,-455.3115000000001,-20.189999999999998,-18.749999999999996,True,True,True,True,True
0.4,-337.599999999999,-607.0820000000002,-26.92,-25.0,True,True,True,True,True
0.5,-421.99999999999875,-758.8525000000003,-33.650000000000006,-31.25,True,True,True,True,True
0.6,-506.39999999999844,-910.6230000000002,-40.379999999999995,-37.49999999999999,True,True,True,True,True
0.7,-590.7999999999981,-1062.3935000000004,-47.11,-43.74999999999999,True,True,True,True,True
0.8,-675.199999999998,-1214.1640000000004,-53.84,-50.0,True,True,True,True,True
0.9,-759.5999999999977,-1365.9345000000005,-60.57000000000001,-56.25,True,True,True,True,True
1.0,-843.9999999999975,-1517.7050000000006,-67.30000000000001,-62.5,True,True,True,True,True
1.1,-928.3999999999972,-1669.4755000000007,-74.03,-68.75,True,True,True,True,True
1.2,-1012.7999999999969,-1821.2460000000003,-80.75999999999999,-74.99999999999999,True,True,True,True,True
1.3,-1097.1999999999966,-1973.0165000000006,-87.49000000000001,-81.25,True,True,True,True,True
1.4,-1181.5999999999963,-2124.7870000000007,-94.22,-87.49999999999999,True,True,True,True,True
1.5,-1265.9999999999964,-2276.557500000001,-100.95,-93.75,False,True,True,True,False
1.6,-1350.399999999996,-2428.328000000001,-107.68,-100.0,False,True,True,True,False
1.7,-1434.7999999999956,-2580.098500000001,-114.41000000000001,-106.25,False,False,True,True,False
1.8,-1519.1999999999955,-2731.869000000001,-121.14000000000001,-112.5,False,False,True,True,False
1.9,-1603.599999999995,-2883.6395000000007,-127.86999999999999,-118.74999999999997,False,False,True,True,False
2.0,-1687.999999999995,-3035.410000000001,-134.60000000000002,-125.0,False,False,True,True,False
2.1,-1772.3999999999946,-3187.1805000000013,-141.33,-131.25,False,False,True,True,False
2.2,-1856.7999999999945,-3338.9510000000014,-148.06,-137.5,False,False,True,True,False
2.3,-1941.199999999994,-3490.7215000000006,-154.79,-143.74999999999997,False,False,True,True,False
2.4,-2025.5999999999938,-3642.4920000000006,-161.51999999999998,-149.99999999999997,False,False,True,True,False
2.5,-2109.9999999999936,-3794.262500000001,-168.25,-156.25,False,False,True,True,False
2.6,-2194.3999999999933,-3946.0330000000013,-174.98000000000002,-162.5,False,False,True,True,False
2.7,-2278.7999999999934,-4097.803500000002,-181.71,-168.75,False,False,True,True,False
2.8,-2363.1999999999925,-4249.574000000001,-188.44,-174.99999999999997,False,False,True,True,False
2.9,-2447.5999999999926,-4401.344500000001,-195.17,-181.24999999999997,False,False,True,True,False
3.0,-2531.9999999999927,-4553.115000000002,-201.9,-187.5,False,False,True,True,False
3.1,-2616.3999999999924,-4704.885500000002,-208.63000000000002,-193.75,False,False,True,True,False
3.2,-2700.799999999992,-4856.656000000002,-215.36,-200.0,False,False,True,True,False
3.3,-2785.199999999991,-5008.4265000000005,-222.08999999999997,-206.24999999999994,False,False,True,True,False
3.4,-2869.5999999999913,-5160.197000000002,-228.82000000000002,-212.5,False,False,True,True,False
3.5,-2953.9999999999914,-5311.967500000002,-235.55,-218.75,False,False,True,True,False
3.6,-3038.399999999991,-5463.738000000002,-242.28000000000003,-225.0,False,False,True,True,False
3.7,-3122.7999999999906,-5615.508500000002,-249.01000000000002,-231.25,False,False,True,True,False
3.8,-3207.19999999999,-5767.279000000001,-255.73999999999998,-237.49999999999994,False,False,True,True,False
3.9,-3291.5999999999904,-5919.049500000002,-262.47,-243.75,False,False,True,True,False
4.0,-3375.99999999999,-6070.820000000002,-269.20000000000005,-250.0,False,False,True,True,False
4.1,-3460.399999999989,-6222.590500000001,-275.92999999999995,-256.24999999999994,False,False,True,True,False
4.2,-3544.7999999999893,-6374.361000000003,-282.66,-262.5,False,False,True,True,False
4.3,-3629.1999999999884,-6526.131500000001,-289.39,-268.74999999999994,False,False,True,True,False
4.4,-3713.599999999989,-6677.902000000003,-296.12,-275.0,False,False,True,True,False
4.5,-3797.9999999999886,-6829.672500000002,-302.85,-281.25,False,False,True,True,False
4.6,-3882.399999999988,-6981.443000000001,-309.58,-287.49999999999994,False,False,True,True,False
4.7,-3966.7999999999884,-7133.213500000003,-316.31,-293.75,False,False,True,True,False
4.8,-4051.1999999999875,-7284.984000000001,-323.03999999999996,-299.99999999999994,False,False,True,True,False
4.9,-4135.599999999988,-7436.754500000003,-329.77000000000004,-306.25,False,False,True,True,False
5.0,-4219.999999999987,-7588.525000000002,-336.5,-312.5,False,False,True,True,False
