lot_size,expected_dd_abs,stress_dd_abs,worst_day_abs,daily_p05_abs,pass_expected_dd,pass_stress_dd,pass_worst_day,pass_day_p05,pass_all
0.1,-932.4600000000019,-2564.2400000000166,-140.4,-100.96,True,False,True,True,False
0.2,-1864.9200000000037,-5128.480000000033,-280.8,-201.92,False,False,True,True,False
0.3,-2797.380000000005,-7692.7200000000485,-421.19999999999993,-302.87999999999994,False,False,True,True,False
0.4,-3729.8400000000074,-10256.960000000066,-561.6,-403.84,False,False,True,True,False
0.5,-4662.300000000009,-12821.200000000083,-702.0,-504.79999999999995,False,False,False,False,False
0.6,-5594.76000000001,-15385.440000000097,-842.3999999999999,-605.7599999999999,False,False,False,False,False
0.7,-6527.220000000012,-17949.680000000113,-982.8,-706.7199999999999,False,False,False,False,False
0.8,-7459.680000000015,-20513.920000000133,-1123.2,-807.68,False,False,False,False,False
0.9,-8392.140000000018,-23078.16000000015,-1263.6000000000001,-908.64,False,False,False,False,False
1.0,-9324.600000000019,-25642.400000000165,-1404.0,-1009.5999999999999,False,False,False,False,False
1.1,-10257.06000000002,-28206.64000000018,-1544.4,-1110.56,False,False,False,False,False
1.2,-11189.52000000002,-30770.880000000194,-1684.7999999999997,-1211.5199999999998,False,False,False,False,False
1.3,-12121.980000000025,-33335.12000000021,-1825.2,-1312.48,False,False,False,False,False
1.4,-13054.440000000024,-35899.360000000226,-1965.6,-1413.4399999999998,False,False,False,False,False
1.5,-13986.900000000027,-38463.600000000246,-2106.0,-1514.3999999999999,False,False,False,False,False
1.6,-14919.36000000003,-41027.840000000266,-2246.4,-1615.36,False,False,False,False,False
1.7,-15851.820000000032,-43592.080000000286,-2386.8,-1716.32,False,False,False,False,False
1.8,-16784.280000000035,-46156.3200000003,-2527.2000000000003,-1817.28,False,False,False,False,False
1.9,-17716.74000000003,-48720.5600000003,-2667.5999999999995,-1918.2399999999996,False,False,False,False,False
2.0,-18649.200000000037,-51284.80000000033,-2808.0,-2019.1999999999998,False,False,False,False,False
2.1,-19581.66000000004,-53849.04000000035,-2948.4,-2120.16,False,False,False,False,False
2.2,-20514.12000000004,-56413.28000000036,-3088.8,-2221.12,False,False,False,False,False
2.3,-21446.580000000038,-58977.520000000375,-3229.2,-2322.0799999999995,False,False,False,False,False
2.4,-22379.04000000004,-61541.76000000039,-3369.5999999999995,-2423.0399999999995,False,False,False,False,False
2.5,-23311.500000000047,-64106.000000000415,-3510.0,-2524.0,False,False,False,False,False
2.6,-24243.96000000005,-66670.24000000043,-3650.4,-2624.96,False,False,False,False,False
2.7,-25176.42000000005,-69234.48000000045,-3790.8,-2725.9199999999996,False,False,False,False,False
2.8,-26108.88000000005,-71798.72000000045,-3931.2,-2826.8799999999997,False,False,False,False,False
2.9,-27041.34000000005,-74362.96000000047,-4071.5999999999995,-2927.8399999999992,False,False,False,False,False
3.0,-27973.800000000054,-76927.20000000049,-4212.0,-3028.7999999999997,False,False,False,False,False
3.1,-28906.260000000057,-79491.44000000051,-4352.400000000001,-3129.7599999999998,False,False,False,False,False
3.2,-29838.72000000006,-82055.68000000053,-4492.8,-3230.72,False,False,False,False,False
3.3,-30771.180000000055,-84619.92000000054,-4633.199999999999,-3331.679999999999,False,False,False,False,False
3.4,-31703.640000000065,-87184.16000000057,-4773.6,-3432.64,False,False,False,False,False
3.5,-32636.100000000064,-89748.40000000058,-4914.0,-3533.6,False,False,False,False,False
3.6,-33568.56000000007,-92312.6400000006,-5054.400000000001,-3634.56,False,False,False,False,False
3.7,-34501.02000000007,-94876.88000000062,-5194.8,-3735.52,False,False,False,False,False
3.8,-35433.48000000006,-97441.1200000006,-5335.199999999999,-3836.479999999999,False,False,False,False,False
3.9,-36365.940000000075,-100005.36000000064,-5475.6,-3937.4399999999996,False,False,False,False,False
4.0,-37298.400000000074,-102569.60000000066,-5616.0,-4038.3999999999996,False,False,False,False,False
4.1,-38230.860000000066,-105133.84000000067,-5756.4,-4139.359999999999,False,False,False,False,False
4.2,-39163.32000000008,-107698.0800000007,-5896.8,-4240.32,False,False,False,False,False
4.3,-40095.78000000007,-110262.32000000069,-6037.199999999999,-4341.279999999999,False,False,False,False,False
4.4,-41028.24000000008,-112826.56000000073,-6177.6,-4442.24,False,False,False,False,False
4.5,-41960.700000000084,-115390.80000000075,-6318.0,-4543.2,False,False,False,False,False
4.6,-42893.160000000076,-117955.04000000075,-6458.4,-4644.159999999999,False,False,False,False,False
4.7,-43825.62000000009,-120519.28000000078,-6598.8,-4745.12,False,False,False,False,False
4.8,-44758.08000000008,-123083.52000000078,-6739.199999999999,-4846.079999999999,False,False,False,False,False
4.9,-45690.54000000009,-125647.76000000081,-6879.6,-4947.04,False,False,False,False,False
5.0,-46623.000000000095,-128212.00000000083,-7020.0,-5048.0,False,False,False,False,False
