position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,AUDUSD,SELL,2021-07-06 01:15:00+00:00,2021-07-06 17:28:40+00:00,0.75355,0.75161,-0.00194,0.1,0.1,18.9,0.0,-0.5,18.4,,[tp 0.75161],2,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,58420.0,1,18.4,100018.4,100018.4,0.0,0.0,True
4,AUDUSD,SELL,2021-07-07 08:45:00+00:00,2021-07-07 14:55:40+00:00,0.7505,0.75294,0.0024400000000001,0.1,0.1,-24.9,0.0,-0.5,-25.4,,[sl 0.75294],4,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,22240.0,2,-7.0,99993.0,100018.4,-25.39999999999418,-0.0002539532725977838,False
6,AUDUSD,SELL,2021-07-09 02:45:00+00:00,2021-07-09 10:10:20+00:00,0.74354,0.74403,0.0004899999999999,0.1,0.1,-5.4,0.0,-0.5,-5.9,,[sl 0.74403],6,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,26720.0,3,-12.9,99987.1,100018.4,-31.29999999998836,-0.00031294241859486214,False
8,AUDUSD,SELL,2021-07-16 06:15:00+00:00,2021-07-16 22:03:40+00:00,0.74335,0.74,-0.0033499999999999,0.1,0.1,33.0,0.0,-0.5,32.5,,[tp 0.74000],8,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,56920.0,4,19.6,100019.6,100019.6,0.0,0.0,True
10,AUDUSD,SELL,2021-07-20 05:30:00+00:00,2021-07-20 16:07:40+00:00,0.73533,0.73143,-0.0039,0.1,0.1,38.5,0.0,-0.5,38.0,,[tp 0.73143],10,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,38260.0,5,57.6,100057.6,100057.6,0.0,0.0,True
12,AUDUSD,SELL,2021-07-21 03:00:00+00:00,2021-07-21 05:10:00+00:00,0.73383,0.73164,-0.00219,0.1,0.1,21.4,0.0,-0.5,20.9,,[tp 0.73164],12,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,7800.0,6,78.5,100078.5,100078.5,0.0,0.0,True
14,AUDUSD,SELL,2021-07-22 09:30:00+00:00,2021-07-22 16:10:40+00:00,0.73694,0.73945,0.00251,0.1,0.1,-25.6,0.0,-0.5,-26.1,,[sl 0.73945],14,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,24040.0,7,52.4,100052.4,100078.5,-26.10000000000582,-0.00026079527570862696,False
16,AUDUSD,SELL,2021-07-23 13:45:00+00:00,2021-07-23 23:45:00+00:00,0.73797,0.73639,-0.00158,0.1,0.1,15.3,0.0,-0.5,14.8,,Strategy 5.9.126,16,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,36000.0,8,67.2,100067.2,100078.5,-11.30000000000291,-0.00011291136457883472,False
18,AUDUSD,SELL,2021-07-26 16:45:00+00:00,2021-07-26 23:45:00+00:00,0.73773,0.73812,0.00039,0.1,0.1,-4.4,0.0,-0.5,-4.9,,Strategy 5.9.126,18,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,25200.0,9,62.300000000000004,100062.3,100078.5,-16.19999999999709,-0.00016187292975011706,False
20,AUDUSD,SELL,2021-07-27 02:15:00+00:00,2021-07-27 09:14:40+00:00,0.73846,0.73654,-0.00192,0.1,0.1,18.7,0.0,-0.5,18.2,,[tp 0.73654],20,AUDUSD_6_5.9.126_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24\listOfTrades_AUDUSD_6_5.9.126_SELL_M15_IS_2021-07-06_to_2024-06-24__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_6_5.9.126_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,25180.0,10,80.5,100080.5,100080.5,0.0,0.0,True
