position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,EURUSD,SELL,2021-07-06 03:15:00+00:00,2021-07-06 06:28:40+00:00,1.18659,1.18794,0.0013499999999999,0.1,0.1,-14.0,0.0,-0.5,-14.5,,[sl 1.18794],2,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,11620.0,1,-14.5,99985.5,99985.5,0.0,0.0,True
4,EURUSD,SELL,2021-07-07 09:30:00+00:00,2021-07-07 16:09:40+00:00,1.18283,1.18151,-0.0013199999999999,0.1,0.1,12.7,0.0,-0.5,12.2,,[tp 1.18151],4,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,23980.0,2,-2.3000000000000007,99997.7,99997.7,0.0,0.0,True
6,EURUSD,SELL,2021-07-08 10:00:00+00:00,2021-07-08 10:54:40+00:00,1.17972,1.18153,0.0018099999999998,0.1,0.1,-18.6,0.0,-0.5,-19.1,,[sl 1.18153],6,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,3280.0,3,-21.400000000000002,99978.6,99997.7,-19.09999999999127,-0.000191004393100954,False
8,EURUSD,SELL,2021-07-09 12:15:00+00:00,2021-07-09 12:57:40+00:00,1.18361,1.18578,0.00217,0.1,0.1,-22.2,0.0,-0.5,-22.7,,[sl 1.18578],8,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,2560.0,4,-44.1,99955.9,99997.7,-41.80000000000291,-0.0004180096142211562,False
10,EURUSD,SELL,2021-07-12 05:00:00+00:00,2021-07-12 12:54:40+00:00,1.187,1.18584,-0.00116,0.1,0.1,11.1,0.0,-0.5,10.6,,[tp 1.18584],10,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,28480.0,5,-33.5,99966.5,99997.7,-31.19999999999709,-0.0003120071761650227,False
12,EURUSD,SELL,2021-07-13 04:30:00+00:00,2021-07-13 05:40:40+00:00,1.18637,1.18779,0.0014199999999999,0.1,0.1,-14.7,0.0,-0.5,-15.2,,[sl 1.18779],12,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,4240.0,6,-48.7,99951.3,99997.7,-46.39999999999418,-0.00046401067224540344,False
14,EURUSD,SELL,2021-07-14 10:30:00+00:00,2021-07-14 14:05:40+00:00,1.17921,1.18084,0.0016299999999997,0.1,0.1,-16.8,0.0,-0.5,-17.3,,[sl 1.18084],14,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,12940.0,7,-66.0,99934.0,99997.7,-63.69999999999709,-0.0006370146513369517,False
16,EURUSD,SELL,2021-07-15 08:15:00+00:00,2021-07-15 08:49:40+00:00,1.18338,1.1848,0.0014199999999999,0.1,0.1,-14.7,0.0,-0.5,-15.2,,[sl 1.18480],16,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,2080.0,8,-81.2,99918.8,99997.7,-78.89999999999418,-0.0007890181474173324,False
18,EURUSD,SELL,2021-07-16 03:45:00+00:00,2021-07-16 10:32:40+00:00,1.18138,1.18026,-0.00112,0.1,0.1,10.7,0.0,-0.5,10.2,,[tp 1.18026],18,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,24460.0,9,-71.0,99929.0,99997.7,-68.69999999999709,-0.0006870158013634023,False
20,EURUSD,SELL,2021-07-19 03:30:00+00:00,2021-07-19 10:06:40+00:00,1.18071,1.17952,-0.00119,0.1,0.1,11.4,0.0,-0.5,10.9,,[tp 1.17952],20,EURUSD_73_5.43.181_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_73_5.43.181_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,23800.0,10,-60.1,99939.9,99997.7,-57.80000000000291,-0.0005780132943057982,False
