position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,GBPJPY,BUY,2021-07-05 06:00:00+00:00,2021-07-05 23:45:00+00:00,153.57,153.628,0.0579999999999927,0.1,0.1,4.73,0.0,-0.5,4.23,,Strategy_4_19_99,2,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,63900.0,1,4.23,100004.23,100004.23,0.0,0.0,True
4,GBPJPY,BUY,2021-07-06 07:15:00+00:00,2021-07-06 17:05:40+00:00,153.906,152.906,-1.0,0.1,0.1,-90.89,0.0,-0.5,-91.39,,[sl 152.906],4,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,35440.0,2,-87.16,99912.84,100004.23,-91.38999999999942,-0.0009138613436651572,False
6,GBPJPY,BUY,2021-07-07 15:45:00+00:00,2021-07-07 23:45:00+00:00,152.979,152.675,-0.304000000000002,0.1,0.1,-27.98,0.0,-0.5,-28.48,,Strategy_4_19_99,6,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,28800.0,3,-115.64,99884.36,100004.23,-119.86999999999534,-0.0011986492971346847,False
8,GBPJPY,BUY,2021-07-08 06:00:00+00:00,2021-07-08 10:18:40+00:00,152.396,151.396,-1.0,0.1,0.1,-91.39,0.0,-0.5,-91.89,,[sl 151.396],8,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,15520.0,4,-207.53,99792.47,100004.23,-211.75999999999476,-0.002117510429308788,False
10,GBPJPY,BUY,2021-07-09 08:00:00+00:00,2021-07-09 16:39:20+00:00,151.511,152.361,0.8499999999999943,0.1,0.1,76.77,0.0,-0.5,76.27,,[tp 152.361],10,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,31160.0,5,-131.26,99868.74,100004.23,-135.4899999999907,-0.0013548426901541133,False
12,GBPJPY,BUY,2021-07-12 06:00:00+00:00,2021-07-12 23:45:00+00:00,153.241,153.182,-0.0590000000000259,0.1,0.1,-5.85,0.0,-0.5,-6.35,,Strategy_4_19_99,12,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,63900.0,6,-137.60999999999999,99862.39,100004.23,-141.8399999999965,-0.0014183400042177866,False
14,GBPJPY,BUY,2021-07-14 15:00:00+00:00,2021-07-14 23:45:00+00:00,153.244,152.414,-0.8300000000000125,0.1,0.1,-75.99,0.0,-0.5,-76.49,,Strategy_4_19_99,14,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,31500.0,7,-214.09999999999997,99785.9,100004.23,-218.33000000000175,-0.002183207650316409,False
16,GBPJPY,BUY,2021-07-15 19:15:00+00:00,2021-07-15 23:45:00+00:00,152.238,151.843,-0.3950000000000102,0.1,0.1,-36.46,0.0,-0.5,-36.96,,Strategy_4_19_99,16,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,16200.0,8,-251.05999999999997,99748.94,100004.23,-255.2899999999936,-0.0025527920168976212,False
18,GBPJPY,BUY,2021-07-16 08:30:00+00:00,2021-07-16 23:45:00+00:00,152.26,151.491,-0.768999999999977,0.1,0.1,-70.37,0.0,-0.5,-70.87,,Strategy_4_19_99,18,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,54900.0,9,-321.92999999999995,99678.07,100004.23,-326.15999999998894,-0.003261462040155591,False
20,GBPJPY,BUY,2021-07-20 12:00:00+00:00,2021-07-20 15:31:40+00:00,149.943,148.943,-1.0,0.1,0.1,-91.8,0.0,-0.5,-92.3,,[sl 148.943],20,GBPJPY_67_4.19.99_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15_IS_2021-07-05_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_67_4.19.99_BOTH_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 06:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,12700.0,10,-414.22999999999996,99585.77,100004.23,-418.45999999999185,-0.004184422998907065,False
