position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,GBPUSD,BUY,2021-07-12 06:15:00+00:00,2021-07-12 18:17:40+00:00,1.38928,1.38794,-0.0013400000000001,0.1,0.1,-13.9,0.0,-0.5,-14.4,,[sl 1.38794],2,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,43360.0,1,-14.4,99985.6,99985.6,0.0,0.0,True
4,GBPUSD,BUY,2021-07-13 10:00:00+00:00,2021-07-13 23:45:00+00:00,1.38798,1.38138,-0.0065999999999999,0.1,0.1,-66.5,0.0,-0.5,-67.0,,Strategy 0.13205,4,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,49500.0,2,-81.4,99918.6,99985.6,-67.0,-0.0006700964938951209,False
6,GBPUSD,BUY,2021-07-27 09:15:00+00:00,2021-07-27 10:01:40+00:00,1.38129,1.38073,-0.0005599999999998,0.1,0.1,-6.1,0.0,-0.5,-6.6,,[sl 1.38073],6,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,2800.0,3,-88.0,99912.0,99985.6,-73.60000000000582,-0.0007361059992639522,False
8,GBPUSD,BUY,2021-07-28 00:15:00+00:00,2021-07-28 03:54:40+00:00,1.38841,1.3875,-0.0009099999999999,0.1,0.1,-9.6,0.0,-0.5,-10.1,,[sl 1.38750],8,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,13180.0,4,-98.1,99901.9,99985.6,-83.70000000001164,-0.000837120545358648,False
10,GBPUSD,BUY,2021-07-29 03:30:00+00:00,2021-07-29 08:26:40+00:00,1.39064,1.39322,0.0025799999999998,0.1,0.1,25.3,0.0,-0.5,24.8,,[tp 1.39322],10,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,17800.0,5,-73.3,99926.7,99985.6,-58.90000000000873,-0.0005890848282153503,False
12,GBPUSD,BUY,2021-07-30 00:15:00+00:00,2021-07-30 03:01:40+00:00,1.39625,1.39599,-0.0002599999999999,0.1,0.1,-3.1,0.0,-0.5,-3.6,,[sl 1.39599],12,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,10000.0,6,-76.89999999999999,99923.1,99985.6,-62.5,-0.0006250900129618665,False
14,GBPUSD,BUY,2021-08-02 05:15:00+00:00,2021-08-02 09:19:40+00:00,1.3889,1.39122,0.0023199999999998,0.1,0.1,22.7,0.0,-0.5,22.2,,[tp 1.39122],14,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,14680.0,7,-54.69999999999999,99945.3,99985.6,-40.30000000000291,-0.00040305804035784063,False
16,GBPUSD,BUY,2021-08-03 00:15:00+00:00,2021-08-03 04:31:20+00:00,1.3886,1.38873,0.0001299999999999,0.1,0.1,0.8,0.0,-0.5,0.3,,[sl 1.38873],16,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,15380.0,8,-54.39999999999999,99945.6,99985.6,-40.0,-0.00040005760829559455,False
18,GBPUSD,BUY,2021-08-04 04:00:00+00:00,2021-08-04 05:50:40+00:00,1.39083,1.39271,0.0018799999999998,0.1,0.1,18.3,0.0,-0.5,17.8,,[tp 1.39271],18,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,6640.0,9,-36.599999999999994,99963.4,99985.6,-22.20000000001164,-0.0002220319726041714,False
20,GBPUSD,BUY,2021-08-05 05:45:00+00:00,2021-08-05 09:03:40+00:00,1.38865,1.38881,0.0001600000000001,0.1,0.1,1.1,0.0,-0.5,0.6000000000000001,,[sl 1.38881],20,GBPUSD_19_0.13205_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14\listOfTrades_GBPUSD_19_0.13205_BUY_M15_IS_2021-07-12_to_2024-06-14__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,11920.0,10,-35.99999999999999,99964.0,99985.6,-21.60000000000582,-0.00021603110847967928,False
