position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,GBPUSD,SELL,2021-07-06 04:30:00+00:00,2021-07-06 05:04:40+00:00,1.38586,1.38815,0.0022899999999999,0.1,0.1,-23.4,0.0,-0.5,-23.9,,[sl 1.38815],2,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,2080.0,1,-23.9,99976.1,99976.1,0.0,0.0,True
4,GBPUSD,SELL,2021-07-12 03:15:00+00:00,2021-07-12 11:51:40+00:00,1.39004,1.38669,-0.0033499999999999,0.1,0.1,33.0,0.0,-0.5,32.5,,[tp 1.38669],4,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,31000.0,2,8.600000000000001,100008.6,100008.6,0.0,0.0,True
6,GBPUSD,SELL,2021-07-13 03:15:00+00:00,2021-07-13 10:52:40+00:00,1.3893,1.38695,-0.00235,0.1,0.1,23.0,0.0,-0.5,22.5,,[tp 1.38695],6,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,27460.0,3,31.1,100031.1,100031.1,0.0,0.0,True
8,GBPUSD,SELL,2021-07-15 13:15:00+00:00,2021-07-15 20:41:40+00:00,1.38855,1.38153,-0.00702,0.1,0.1,69.7,0.0,-0.5,69.2,,[tp 1.38153],8,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,26800.0,4,100.30000000000001,100100.3,100100.3,0.0,0.0,True
10,GBPUSD,SELL,2021-07-16 11:30:00+00:00,2021-07-16 17:11:40+00:00,1.38488,1.37933,-0.0055500000000001,0.1,0.1,55.0,0.0,-0.5,54.5,,[tp 1.37933],10,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,20500.0,5,154.8,100154.8,100154.8,0.0,0.0,True
12,GBPUSD,SELL,2021-07-21 03:00:00+00:00,2021-07-21 09:09:40+00:00,1.36341,1.36035,-0.00306,0.1,0.1,30.1,0.0,-0.5,29.6,,[tp 1.36035],12,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,22180.0,6,184.4,100184.4,100184.4,0.0,0.0,True
14,GBPUSD,SELL,2021-07-22 07:30:00+00:00,2021-07-22 09:48:40+00:00,1.37158,1.37402,0.0024399999999999,0.1,0.1,-24.9,0.0,-0.5,-25.4,,[sl 1.37402],14,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,8320.0,7,159.0,100159.0,100184.4,-25.39999999999418,-0.00025353248609558154,False
16,GBPUSD,SELL,2021-07-23 03:30:00+00:00,2021-07-23 09:58:00+00:00,1.37796,1.37495,-0.0030100000000001,0.1,0.1,29.6,0.0,-0.5,29.1,,[tp 1.37495],16,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,23280.0,8,188.1,100188.1,100188.1,0.0,0.0,True
18,GBPUSD,SELL,2021-07-26 01:30:00+00:00,2021-07-26 12:26:40+00:00,1.37613,1.37894,0.0028099999999999,0.1,0.1,-28.6,0.0,-0.5,-29.1,,[sl 1.37894],18,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,39400.0,9,159.0,100159.0,100188.1,-29.10000000000582,-0.0002904536566718584,False
20,GBPUSD,SELL,2021-07-27 03:30:00+00:00,2021-07-27 10:06:40+00:00,1.38304,1.38069,-0.00235,0.1,0.1,23.0,0.0,-0.5,22.5,,[tp 1.38069],20,GBPUSD_74_6.52.179_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_GBPUSD_74_6.52.179_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_74_6.52.179_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-27 08:45:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,23800.0,10,181.5,100181.5,100188.1,-6.600000000005821,-6.587608708026023e-05,False
