position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,USDCAD,SELL,2021-07-06 15:15:00+00:00,2021-07-06 16:05:40+00:00,1.23668,1.23947,0.00279,0.1,0.1,-23.01,0.0,-0.5,-23.51,,[sl 1.23947],2,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,3040.0,1,-23.51,99976.49,99976.49,0.0,0.0,True
4,USDCAD,SELL,2021-07-13 12:45:00+00:00,2021-07-13 15:30:40+00:00,1.24771,1.24975,0.0020399999999998,0.1,0.1,-16.82,0.0,-0.5,-17.32,,[sl 1.24975],4,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,9940.0,2,-40.83,99959.17,99976.49,-17.320000000006985,-0.00017324072889543315,False
6,USDCAD,SELL,2021-07-15 05:00:00+00:00,2021-07-15 11:15:40+00:00,1.25356,1.25141,-0.00215,0.1,0.1,16.68,0.0,-0.5,16.18,,[tp 1.25141],6,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,22540.0,3,-24.65,99975.35,99976.49,-1.139999999999418,-1.1402680770243263e-05,False
8,USDCAD,SELL,2021-07-26 10:00:00+00:00,2021-07-26 10:20:00+00:00,1.25884,1.25718,-0.0016599999999999,0.1,0.1,12.7,0.0,-0.5,12.2,,[tp 1.25718],8,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,1200.0,4,-12.45,99987.55,99987.55,0.0,0.0,True
10,USDCAD,SELL,2021-07-27 10:15:00+00:00,2021-07-27 10:27:20+00:00,1.25751,1.25945,0.00194,0.1,0.1,-15.9,0.0,-0.5,-16.4,,[sl 1.25945],10,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,740.0,5,-28.849999999999998,99971.15,99987.55,-16.40000000000873,-0.00016402042054244485,False
12,USDCAD,SELL,2021-08-02 19:00:00+00:00,2021-08-02 23:45:00+00:00,1.25014,1.25066,0.00052,0.1,0.1,-4.66,0.0,-0.5,-5.16,,Strategy 3.51.113,12,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,17100.0,6,-34.01,99965.99,99987.55,-21.55999999999767,-0.00021562684554224672,False
14,USDCAD,SELL,2021-08-04 14:15:00+00:00,2021-08-04 16:54:00+00:00,1.25457,1.25261,-0.0019599999999999,0.1,0.1,15.15,0.0,-0.5,14.65,,[tp 1.25261],14,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,9540.0,7,-19.36,99980.64,99987.55,-6.9100000000034925,-6.910860402123557e-05,False
16,USDCAD,SELL,2021-08-06 15:45:00+00:00,2021-08-06 16:48:40+00:00,1.25281,1.25515,0.00234,0.1,0.1,-19.14,0.0,-0.5,-19.64,,[sl 1.25515],16,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,3820.0,8,-39.0,99961.0,99987.55,-26.55000000000291,-0.0002655330588658579,False
18,USDCAD,SELL,2021-08-12 15:45:00+00:00,2021-08-12 16:57:40+00:00,1.25226,1.25073,-0.00153,0.1,0.1,11.73,0.0,-0.5,11.23,,[tp 1.25073],18,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,4360.0,9,-27.77,99972.23,99987.55,-15.320000000006985,-0.00015321907577500382,False
20,USDCAD,SELL,2021-08-16 06:15:00+00:00,2021-08-16 10:01:20+00:00,1.25385,1.25539,0.00154,0.1,0.1,-12.77,0.0,-0.5,-13.27,,[sl 1.25539],20,USDCAD_77_3.51.113_SELL_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_USDCAD_77_3.51.113_SELL_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_77_3.51.113_SELL_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,13580.0,10,-41.04,99958.96,99987.55,-28.589999999996508,-0.0002859355989820383,False
