position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,USOIL.cash,BUY,2021-07-06 08:45:00+00:00,2021-07-06 14:42:40+00:00,75.979,75.354,-0.625,0.1,0.1,-6.25,0.0,0.0,-6.25,,[sl 75.354],2,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,21460.0,1,-6.25,99993.75,99993.75,0.0,0.0,True
4,USOIL.cash,BUY,2021-07-07 04:15:00+00:00,2021-07-07 10:03:20+00:00,72.832,73.467,0.6350000000000051,0.1,0.1,6.35,0.0,0.0,6.35,,[tp 73.467],4,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,20900.0,2,0.09999999999999964,100000.1,100000.1,0.0,0.0,True
6,USOIL.cash,BUY,2021-07-08 04:15:00+00:00,2021-07-08 11:02:40+00:00,71.29,70.665,-0.625,0.1,0.1,-6.25,0.0,0.0,-6.25,,[sl 70.665],6,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,24460.0,3,-6.15,99993.85,100000.1,-6.25,-6.24999375000625e-05,False
8,USOIL.cash,BUY,2021-07-09 04:15:00+00:00,2021-07-09 10:16:40+00:00,72.261,72.896,0.6350000000000051,0.1,0.1,6.35,0.0,0.0,6.35,,[tp 72.896],8,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,21700.0,4,0.1999999999999993,100000.2,100000.2,0.0,0.0,True
10,USOIL.cash,BUY,2021-07-13 14:00:00+00:00,2021-07-13 18:42:40+00:00,73.611,74.246,0.6349999999999909,0.1,0.1,6.35,0.0,0.0,6.35,,[tp 74.246],10,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,16960.0,5,6.549999999999999,100006.55,100006.55,0.0,0.0,True
12,USOIL.cash,BUY,2021-07-14 01:15:30+00:00,2021-07-14 14:10:40+00:00,74.577,73.952,-0.625,0.1,0.1,-6.25,0.0,0.0,-6.25,,[sl 73.952],12,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,46510.0,6,0.29999999999999893,100000.3,100006.55,-6.25,-6.249590651812306e-05,False
14,USOIL.cash,BUY,2021-07-15 03:30:00+00:00,2021-07-15 04:35:20+00:00,72.159,71.534,-0.625,0.1,0.1,-6.25,0.0,0.0,-6.25,,[sl 71.534],14,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,3920.0,7,-5.950000000000001,99994.05,100006.55,-12.5,-0.00012499181303624613,False
16,USOIL.cash,BUY,2021-07-16 08:45:00+00:00,2021-07-16 11:55:40+00:00,71.126,71.761,0.6349999999999909,0.1,0.1,6.35,0.0,0.0,6.35,,[tp 71.761],16,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,11440.0,8,0.3999999999999986,100000.4,100006.55,-6.150000000008731,-6.14959720139204e-05,False
18,USOIL.cash,BUY,2021-07-23 17:00:00+00:00,2021-07-23 21:28:40+00:00,71.26,71.895,0.6349999999999909,0.1,0.1,6.35,0.0,0.0,6.35,,[tp 71.895],18,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,16120.0,9,6.749999999999998,100006.75,100006.75,0.0,0.0,True
20,USOIL.cash,BUY,2021-07-27 03:30:00+00:00,2021-07-27 18:40:40+00:00,71.823,71.198,-0.625,0.1,0.1,-6.25,0.0,0.0,-6.25,,[sl 71.198],20,USOIL.cash_54_4.18.190_BOTH_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15_IS_2021-07-06_to_2024-06-28__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_54_4.18.190_BOTH_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-03 01:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,54640.0,10,0.4999999999999982,100000.5,100006.75,-6.25,-6.24957815347464e-05,False
