Date	ActualValue	ForecastValue	PreviousValue
2026.03.04	63.0	65.5	66.6
2026.02.04	66.6	67.5	65.1
2026.01.07	64.3		65.4
2025.12.03		71.3	70.0
2025.11.05	70.0		69.4
2025.10.05	69.4		69.2
2025.09.04	69.2	69.6	69.9
2025.08.05	69.9	67.5	67.5
2025.07.03	67.5	66.5	68.7
2025.06.04	68.7	63.8	65.1
2025.05.05	65.1	62.9	60.9
2025.04.03	60.9	58.4	62.6
2025.03.05	62.6	58.8	60.4
2025.02.05	60.4	62.6	64.4
2025.01.07	64.4	57.7	58.2
2024.12.04	58.2	57.8	58.1
2024.11.05	58.1	57.8	59.4
2024.10.03	59.4	57.3	57.3
2024.09.05	57.3	57.4	57.0
2024.08.05	57.0	57.2	56.3
2024.07.03	56.3	58.7	58.1
2024.06.05	58.1	54.4	59.2
2024.05.03	59.2	56.3	53.4
2024.04.03	53.4	61.5	58.6
2024.03.05	58.6	62.6	64.0
2024.02.05	64.0	54.5	56.7
2024.01.05	57.4	61.7	58.3
2023.12.05	58.3	63.5	58.6
2023.11.03	58.6	63.2	58.9
2023.10.04	58.9	60.1	58.9
2023.09.06	58.9	55.1	56.8
2023.08.03	56.8	52.1	54.1
2023.07.06	54.1	53.3	56.2
2023.06.05	56.2	57.8	59.6
2023.05.03	59.6	59.9	59.5
2023.04.05	59.5	65.2	65.6
2023.03.03	65.6	64.5	67.8
2023.02.03	67.8	65.5	68.1
2023.01.06	67.6	71.5	70.0
2022.12.05	70.0	73.6	70.7
2022.11.03	70.7	71.3	68.7
2022.10.05	68.7	69.8	71.5
2022.09.06	71.5	76.5	72.3
2022.08.03	72.3	81.6	80.1
2022.07.06	80.1	83.9	82.1
2022.06.03	82.1	84.9	84.6
2022.05.04	84.6	84.1	83.8
2022.04.05	83.8	83.3	83.1
2022.03.03	83.1	83.0	82.3
2022.02.03	82.3	83.0	83.9
2022.01.06	82.5	83.6	82.3
2021.12.03	82.3	80.9	82.9
2021.11.03	82.9	76.9	77.5
2021.10.05	77.5	79.3	75.4
2021.09.03	75.4	81.6	82.3
2021.08.04	82.3	80.6	79.5
2021.07.06	79.5	79.3	80.6
2021.06.03	80.6	75.9	76.8
2021.05.05	76.8	73.3	74.0
2021.04.05	74.0	68.3	71.8
2021.03.03	71.8	64.7	64.2
2021.02.03	64.2	65.6	64.4
2021.01.07	64.8	65.2	66.1
2020.12.03	66.1	61.6	63.9
2020.11.04	63.9	61.6	59.0
2020.10.05	59.0	61.1	64.2
2020.09.03	64.2	61.7	57.6
2020.08.05	57.6	64.0	62.4
2020.07.06	62.4	53.9	55.6
2020.06.03	55.6	52.5	55.1
2020.05.05	55.1	50.3	50.0
2020.04.03	50.0	53.0	50.8
2020.03.04	50.8	57.0	55.5
2020.02.05	55.5	58.5	59.3
2020.01.07	58.5	58.2	58.5
2019.12.04	58.5	58.3	56.6
2019.11.05	56.6	59.2	60.0
2019.10.03	60.0	57.2	58.2
2019.09.05	58.2	56.8	56.5
2019.08.05	56.5	56.7	58.9
2019.07.03	58.9	58.4	55.4
2019.06.05	55.4	59.8	55.7
2019.05.03	55.7	61.4	58.7
2019.04.03	58.7	62.9	54.4
2019.03.05	54.4	59.1	59.4
2019.02.05	59.4	62.9	58.0
2019.01.07	57.6	63.2	64.3
2018.12.06	64.3	63.1	61.7
2018.11.05	61.7	63.7	64.2
2018.10.03	64.2	63.3	62.8
2018.09.06	62.8	62.4	63.4
2018.08.03	63.4	62.0	60.7
2018.07.05	60.7	64.2	64.3
2018.06.05	64.3	63.1	61.8
2018.05.03	61.8	63.8	61.5
2018.04.04	61.5	60.8	61.0
2018.03.05	61.0	61.6	61.9
2018.02.05	61.9	60.9	59.9
2018.01.05	60.8	61.8	60.7
2017.12.05	60.7	58.7	62.7
2017.11.03	62.7	54.4	66.3
2017.10.04	66.3	54.3	57.9
2017.09.06	57.9	54.0	55.7
2017.08.03	55.7		52.1
2017.07.06	52.1		49.2
2017.06.05	49.2		57.6
2017.05.03	57.6		53.5
2017.04.05	53.5		57.7
2017.03.03	57.7		59.0
2017.02.03	59.0		57.0
2017.01.05	57.0		56.3
2016.12.05	56.3		56.6
2016.11.03	56.6		54.0
2016.10.05	54.0		51.8
2016.09.06	51.8		51.9
2016.08.03	51.9		55.5
2016.07.06	55.5		55.6
2016.06.03	55.6		53.4
2016.05.04	53.4		49.1
2016.04.05	49.1		45.5
2016.03.03	45.5		46.4
2016.02.03	46.4		49.7
2016.01.06	49.7		50.3
2015.12.03	50.3		49.1
2015.11.04	49.1		48.4
2015.10.05	48.4		50.8
2015.09.03	50.8		53.7
2015.08.05	53.7		53.0
2015.07.06	53.0		55.9
2015.06.03	55.9		50.1
2015.05.05	50.1		52.4
2015.04.06	52.4		49.7
2015.03.04	49.7		45.5
2015.02.04	45.5		49.5
2015.01.06	49.5		54.4
2014.12.03	54.4		52.1
2014.11.05	52.1		55.2
2014.10.03	55.2		57.7
2014.09.04	57.7		60.9
2014.08.05	60.9		61.2
2014.07.03	61.2		61.4
2014.06.04	61.4		60.8
2014.05.05	60.8		58.3
2014.04.03	58.3		53.7
2014.03.05	53.7		57.1
2014.02.05	57.1		55.1
2014.01.06	55.1		53.3
2013.12.04	53.3		56.9
2013.11.05	56.9		
