Date	ActualValue	ForecastValue	PreviousValue
2026.03.13	54.1	55.1	56.6
2026.02.20	56.6	56.6	56.6
2026.02.06	56.6	55.1	57.0
2026.01.23	57.0	55.0	55.0
2026.01.09	55.0	52.6	54.6
2025.12.19	54.6	55.0	55.0
2025.12.05	55.0	52.9	51.0
2025.11.21	51.0	49.0	49.0
2025.11.07	49.0	47.1	50.3
2025.10.24	50.3	51.2	51.2
2025.10.10	51.2	49.8	51.7
2025.09.26	51.7	51.8	51.8
2025.09.12	51.8	55.1	55.9
2025.08.29	55.9	57.2	57.2
2025.08.15	57.2	56.5	57.7
2025.08.01	57.7	58.6	58.6
2025.07.18	58.6	60.3	58.1
2025.06.27	58.1	58.4	58.4
2025.06.13	58.4	47.1	47.9
2025.05.30	47.9	46.5	46.5
2025.05.16	46.5	52.2	47.3
2025.04.25	47.3	47.2	47.2
2025.04.11	47.2	57.8	52.6
2025.03.28	52.6	54.2	54.2
2025.03.14	54.2	65.5	64.0
2025.02.21	64.0	67.3	67.3
2025.02.07	67.3	67.5	69.3
2025.01.24	69.3	70.2	70.2
2025.01.10	70.2	71.4	73.3
2024.12.20	73.3	71.6	71.6
2024.12.06	71.6	71.5	76.9
2024.11.22	76.9	78.5	78.5
2024.11.08	78.5	73.0	74.1
2024.10.25	74.1	72.9	72.9
2024.10.11	72.9	74.9	74.4
2024.09.27	74.4	73.0	73.0
2024.09.13	73.0	72.7	72.1
2024.08.30	72.1	72.1	72.1
2024.08.16	72.1	68.7	68.8
2024.07.26	68.8	67.2	67.2
2024.07.12	67.2	75.9	69.6
2024.06.28	69.6	67.6	67.6
2024.06.14	67.6	68.7	68.8
2024.05.24	68.8	66.5	66.5
2024.05.10	66.5	74.5	76.0
2024.04.26	76.0	77.0	77.0
2024.04.12	77.0	76.4	77.4
2024.03.28	77.4	74.6	74.6
2024.03.15	74.6	74.5	75.2
2024.03.01	75.2	78.4	78.4
2024.02.16	78.4	77.5	77.1
2024.02.02	77.1	75.9	75.9
2024.01.19	75.9	71.4	67.4
2023.12.22	67.4	66.4	66.4
2023.12.08	66.4	58.0	56.8
2023.11.22	56.8	56.9	56.9
2023.11.10	56.9	55.4	59.3
2023.10.27	59.3	60.7	60.7
2023.10.13	60.7	68.4	66.0
2023.09.29	66.0	66.3	66.3
2023.09.15	66.3	61.8	65.5
2023.08.25	65.5	67.3	67.3
2023.08.11	67.3	67.5	68.3
2023.07.28	68.3	69.4	69.4
2023.07.14	69.4	65.8	61.5
2023.06.30	61.5	61.3	61.3
2023.06.16	61.3	53.1	55.4
2023.05.26	55.4	53.4	53.4
2023.05.12	53.4	59.7	60.5
2023.04.28	60.5	60.3	60.3
2023.04.14	60.3	58.7	59.2
2023.03.31	59.2	61.5	61.5
2023.03.17	61.5	64.4	64.7
2023.02.24	64.7	62.3	62.3
2023.02.10	62.3	61.9	62.7
2023.01.27	62.7	62.0	62.0
2023.01.13	62.0	58.5	59.9
2022.12.23	59.9	58.4	58.4
2022.12.09	58.4	55.6	55.6
2022.11.23	55.6	52.7	52.7
2022.11.11	52.7	56.1	56.2
2022.10.28	56.2	56.2	56.2
2022.10.14	56.2	59.5	58.0
2022.09.30	58.0	59.9	59.9
2022.09.16	59.9	57.3	58.0
2022.08.26	58.0	54.9	54.9
2022.08.12	54.9	42.4	47.3
2022.07.29	47.3	47.3	47.3
2022.07.15	47.3	55.4	47.5
2022.06.24	47.5	46.8	46.8
2022.06.10	46.8	52.7	55.2
2022.05.27	55.2	56.3	56.3
2022.05.13	56.3	56.5	62.5
2022.04.29	62.5	64.1	64.1
2022.04.14	64.1	54.0	54.3
2022.03.25	54.3	54.4	54.4
2022.03.11	54.4	64.3	59.4
2022.02.25	59.4	57.4	57.4
2022.02.11	57.4	56.3	64.1
2022.01.28	64.1	65.9	65.9
2022.01.14	65.9	72.0	68.3
2021.12.23	68.3	67.8	67.8
2021.12.10	67.8	70.9	63.5
2021.11.24	63.5	62.8	62.8
2021.11.12	62.8	60.1	67.9
2021.10.29	67.9	67.2	67.2
2021.10.15	67.2	66.8	68.1
2021.10.01	68.1	67.1	67.1
