Date	ActualValue	ForecastValue	PreviousValue
2026.03.13	0.4	0.3	0.4
2026.02.20	0.4	0.3	0.4
2026.01.22	0.5	0.3	0.5
2025.12.05	0.3		0.5
2025.09.26	0.6	0.4	0.5
2025.08.29	0.5	0.2	0.4
2025.07.31	0.3	0.2	0.0
2025.06.27	-0.1	0.5	0.2
2025.05.30	0.2	0.4	0.7
2025.04.30	0.7	0.2	0.5
2025.03.28	0.4	0.0	-0.3
2025.02.28	-0.2	0.4	0.8
2025.01.31	0.7	0.2	0.6
2024.12.20	0.4	0.3	0.3
2024.11.27	0.4	0.3	0.6
2024.10.31	0.5	0.2	0.3
2024.09.27	0.2	0.3	0.5
2024.08.30	0.5	0.2	0.3
2024.07.26	0.3	0.4	0.4
2024.06.28	0.2	0.4	0.1
2024.05.31	0.2	0.5	0.7
2024.04.26	0.8	0.5	0.8
2024.03.29	0.8	0.3	0.2
2024.02.29	0.2		0.7
2024.01.26	0.7		0.2
2023.12.22	0.2	0.0	0.1
2023.11.30	0.2	0.0	0.7
2023.10.27	0.7	0.0	0.4
2023.09.29	0.4	0.0	0.9
2023.08.31	0.8	0.1	0.6
2023.07.28	0.5	0.0	0.2
2023.06.30	0.1	-0.1	0.6
2023.05.26	0.8	0.0	0.1
2023.04.28	0.0	0.1	0.1
2023.03.31	0.2	0.0	2.0
2023.02.24	1.8	-0.1	-0.1
2023.01.27	-0.2	0.0	-0.1
2022.12.23	0.1	0.1	0.9
2022.12.01	0.8	0.0	0.6
2022.10.28	0.6	0.0	0.6
2022.09.30	0.4	0.0	-0.2
2022.08.26	0.1	0.0	1.0
2022.07.29	1.1	-0.1	0.3
2022.06.30	0.2	-0.1	0.6
2022.05.27	0.9	0.1	1.4
2022.04.29	1.1	0.1	0.6
2022.03.31	0.2	-0.1	2.7
2022.02.25	2.1	-0.1	-0.8
2022.01.28	-0.6	0.0	0.4
2021.12.23	0.6	0.0	1.4
2021.11.24	1.3	0.1	0.6
2021.10.29	0.6	0.2	1.0
2021.10.01	0.8	-0.1	-0.1
2021.08.27	0.3	-0.4	1.1
2021.07.30	1.0	-0.2	-0.1
2021.06.25	0.0	0.1	0.9
2021.05.28	0.5	0.1	4.7
2021.04.30	4.2	0.2	-1.0
2021.03.26	-1.0	0.2	3.4
2021.02.26	2.4	0.1	-0.4
2021.01.29	-0.2	0.3	-0.7
2020.12.23	-0.4	-0.3	0.3
2020.11.25	0.5	-1.9	1.2
2020.10.30	1.4	-3.3	1.0
2020.10.01	1.0	2.1	1.5
2020.08.28	1.9	2.8	6.2
2020.07.31	5.6	7.7	8.5
2020.06.26	8.2	-29.5	-12.6
2020.05.29	-13.6	0.3	-6.9
2020.04.30	-7.5	0.3	0.2
2020.03.27	0.2	0.3	0.2
2020.02.28	0.2	0.3	0.4
2020.01.31	0.3	0.3	0.4
2019.12.20	0.4	0.3	0.3
2019.11.27	0.3	0.3	0.2
2019.10.31	0.2	0.4	0.2
2019.09.27	0.1	0.3	0.5
2019.08.30	0.6	0.3	0.3
2019.07.30	0.3	0.3	0.5
2019.06.28	0.4	0.3	0.6
2019.05.31	0.3	0.4	1.1
2019.04.29	0.9	0.4	0.1
2019.04.29	0.1	0.4	0.3
2019.03.29	0.1	0.3	-0.6
2019.03.01	-0.5	0.4	0.6
2018.12.21	0.4	0.4	0.8
2018.11.29	0.6	0.3	0.2
2018.10.29	0.4	0.4	0.5
2018.09.28	0.3	0.4	0.4
2018.08.30	0.4	0.3	0.4
2018.07.31	0.4	0.4	0.5
2018.06.29	0.2	0.5	0.5
2018.05.31	0.6	0.3	0.5
2018.04.30	0.4	0.4	0.0
2018.03.29	0.2	0.4	0.2
2018.03.01	0.2	0.2	0.4
2018.01.29	0.4	0.3	0.8
2017.12.22	0.6	0.3	0.2
2017.11.30	0.3	0.2	0.9
2017.10.30	1.0	0.3	0.1
2017.09.29	0.1	0.3	0.3
2017.08.31	0.3	0.2	0.2
2017.08.01	0.1	0.3	0.2
2017.06.30	0.1	0.3	0.4
2017.05.30	0.4	0.2	0.3
2017.05.01	0.0		0.0
2017.03.31	0.1		0.2
2017.03.01	0.2		0.5
2017.01.30	0.5		0.2
2016.12.22	0.2		0.4
2016.11.30	0.3		0.7
2016.10.31	0.5		-0.1
2016.09.30	0.0		0.4
2016.08.29	0.3		0.5
2016.08.02	0.4		0.4
2016.06.29	0.4		1.1
2016.05.31	1.0		0.1
2016.04.29	0.1		0.2
2016.03.28	0.1		0.1
2016.02.26	0.5		0.1
2016.02.01	0.0		0.5
2015.12.23	0.3		0.0
2015.11.25	0.1		0.1
2015.10.30	0.1		0.4
2015.09.28	0.4		0.4
2015.08.28	0.3		0.3
2015.08.03	0.2		0.7
2015.06.25	0.9		0.1
2015.06.01	0.0		0.5
2015.04.30	0.4		0.2
2015.03.30	0.1		-0.2
2015.03.02	-0.2		-0.3
2015.02.02	-0.3		0.6
2014.12.23	0.5		0.2
2014.11.26	0.2		-0.2
2014.10.31	0.0		0.5
2014.09.29	0.5		-0.2
2014.08.29	-0.1		0.4
2014.08.01	0.4		0.2
2014.06.26	0.3		-0.1
2014.05.30	0.0		0.9
2014.05.01	1.0		0.3
2014.03.28	0.5		0.4
2014.03.03	0.2		0.4
2014.01.31	0.4		0.5
2013.12.23	0.6		0.3
2013.12.06	0.4		0.2
2013.11.08	0.2		0.3
2013.09.27	0.3		0.1
2013.08.30	0.2		0.5
2013.08.02	0.6		0.3
2013.06.27	0.3		-0.2
2013.05.31	-0.3		0.2
2013.04.29	0.2		0.7
2013.03.29	0.7		0.3
2013.03.01	0.4		0.2
2013.01.31	0.1		0.4
2012.12.21	0.4		-0.2
2012.11.30	-0.1		0.8
2012.10.29	0.8		0.5
2012.09.28	0.5		0.4
2012.08.30	0.4		0.0
2012.07.31	0.0		-0.1
2012.06.29	-0.1		0.3
2012.06.01	0.1		0.3
2012.04.30	0.2		0.8
2012.03.30	0.9		0.2
2012.03.01	0.4		
