position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,AUDJPY,BUY,2021-07-02 08:45:00+00:00,2021-07-02 10:58:40+00:00,83.341,83.141,-0.19999999999998863,0.1,0.1,-18.42,0.0,-0.5,-18.92,,[sl 83.141],2,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
4,AUDJPY,BUY,2021-07-05 05:15:00+00:00,2021-07-05 23:45:00+00:00,83.525,83.551,0.02599999999999625,0.1,0.1,1.84,0.0,-0.5,1.34,,Strategy 3.14.146,4,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
6,AUDJPY,BUY,2021-07-06 07:45:00+00:00,2021-07-06 09:12:40+00:00,83.676,84.176,0.5,0.1,0.1,44.64,0.0,-0.5,44.14,,[tp 84.176],6,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
8,AUDJPY,BUY,2021-07-07 17:15:00+00:00,2021-07-07 17:31:40+00:00,82.946,82.746,-0.20000000000000284,0.1,0.1,-18.56,0.0,-0.5,-19.06,,[sl 82.746],8,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
10,AUDJPY,BUY,2021-07-12 05:15:00+00:00,2021-07-12 10:45:40+00:00,82.347,82.147,-0.19999999999998863,0.1,0.1,-18.66,0.0,-0.5,-19.16,,[sl 82.147],10,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
12,AUDJPY,BUY,2021-07-13 05:30:00+00:00,2021-07-13 12:55:40+00:00,82.661,82.461,-0.20000000000000284,0.1,0.1,-18.64,0.0,-0.5,-19.14,,[sl 82.461],12,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
14,AUDJPY,BUY,2021-07-14 09:00:00+00:00,2021-07-14 10:16:40+00:00,82.551,82.351,-0.20000000000000284,0.1,0.1,-18.6,0.0,-0.5,-19.1,,[sl 82.351],14,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
16,AUDJPY,BUY,2021-07-16 17:15:00+00:00,2021-07-16 22:31:40+00:00,81.581,81.381,-0.20000000000000284,0.1,0.1,-18.67,0.0,-0.5,-19.17,,[sl 81.381],16,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
18,AUDJPY,BUY,2021-07-21 05:15:00+00:00,2021-07-21 09:09:40+00:00,80.346,80.146,-0.20000000000000284,0.1,0.1,-18.7,0.0,-0.5,-19.2,,[sl 80.146],18,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
20,AUDJPY,BUY,2021-07-22 05:15:00+00:00,2021-07-22 12:46:40+00:00,80.951,81.451,0.5,0.1,0.1,44.85,0.0,-0.5,44.35,,[tp 81.451],20,83.141,IS,listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDJPY\listOfTrades_AUDJPY_1_3.14.146_BUY_M15.csv,DEMO_ACCOUNT,AUDJPY,DEMO_ACCOUNT
