position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,AUDUSD,SELL,2021-07-05 01:15:00+00:00,2021-07-05 23:45:00+00:00,0.75277,0.7532,0.00042999999999993044,0.1,0.1,-4.8,0.0,-0.5,-5.3,,Strategy 3.27.109,2,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
4,AUDUSD,SELL,2021-07-06 01:30:00+00:00,2021-07-06 17:18:40+00:00,0.75454,0.7528,-0.0017399999999999638,0.1,0.1,16.9,0.0,-0.5,16.4,,[tp 0.75280],4,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
6,AUDUSD,SELL,2021-07-07 15:15:00+00:00,2021-07-07 17:04:40+00:00,0.75301,0.75003,-0.0029799999999999827,0.1,0.1,29.3,0.0,-0.5,28.8,,[tp 0.75003],6,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
8,AUDUSD,SELL,2021-07-09 12:45:00+00:00,2021-07-09 23:45:00+00:00,0.74517,0.74927,0.0040999999999999925,0.1,0.1,-41.5,0.0,-0.5,-42.0,,Strategy 3.27.109,8,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
10,AUDUSD,SELL,2021-07-14 05:30:00+00:00,2021-07-14 11:54:40+00:00,0.74635,0.74392,-0.002429999999999932,0.1,0.1,23.8,0.0,-0.5,23.3,,[tp 0.74392],10,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
12,AUDUSD,SELL,2021-07-21 03:30:00+00:00,2021-07-21 04:49:00+00:00,0.73394,0.73205,-0.0018900000000000583,0.1,0.1,18.4,0.0,-0.5,17.9,,[tp 0.73205],12,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
14,AUDUSD,SELL,2021-07-22 10:15:00+00:00,2021-07-22 23:45:00+00:00,0.73739,0.73823,0.0008400000000000629,0.1,0.1,-8.9,0.0,-0.5,-9.4,,Strategy 3.27.109,14,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
16,AUDUSD,SELL,2021-07-26 16:45:00+00:00,2021-07-26 23:45:00+00:00,0.73773,0.73812,0.00039000000000000146,0.1,0.1,-4.4,0.0,-0.5,-4.9,,Strategy 3.27.109,16,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
18,AUDUSD,SELL,2021-07-28 21:45:00+00:00,2021-07-28 23:45:00+00:00,0.73662,0.73782,0.0011999999999999789,0.1,0.1,-12.5,0.0,-0.5,-13.0,,Strategy 3.27.109,18,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
20,AUDUSD,SELL,2021-07-29 02:30:00+00:00,2021-07-29 23:45:00+00:00,0.7379,0.73934,0.0014399999999999968,0.1,0.1,-14.9,0.0,-0.5,-15.4,,Strategy 3.27.109,20,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
22,AUDUSD,SELL,2021-08-10 10:30:00+00:00,2021-08-10 23:45:00+00:00,0.73396,0.73479,0.0008300000000001084,0.1,0.1,-8.8,0.0,-0.5,-9.3,,Strategy 3.27.109,22,3.27.109,IS,listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\AUDUSD\listOfTrades_AUDUSD_4_3.27.109_SELL_M15.csv,DEMO_ACCOUNT,AUDUSD,DEMO_ACCOUNT
