position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,EURGBP,BUY,2021-07-06 15:30:00+00:00,2021-07-06 16:32:40+00:00,0.85435,0.85507,0.0007199999999999429,0.1,0.1,9.47,0.0,-0.5,8.97,,[tp 0.85507],2,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
4,EURGBP,BUY,2021-07-12 01:00:00+00:00,2021-07-12 10:47:40+00:00,0.85516,0.85585,0.0006899999999999684,0.1,0.1,9.07,0.0,-0.5,8.57,,[tp 0.85585],4,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
6,EURGBP,BUY,2021-07-13 18:30:00+00:00,2021-07-13 23:45:00+00:00,0.85404,0.85265,-0.0013900000000000023,0.1,0.1,-19.71,0.0,-0.5,-20.21,,Strategy 3.31.132,6,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
8,EURGBP,BUY,2021-07-14 09:30:00+00:00,2021-07-14 11:30:40+00:00,0.85264,0.85113,-0.0015099999999999003,0.1,0.1,-21.43,0.0,-0.5,-21.93,,[sl 0.85113],8,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
10,EURGBP,BUY,2021-07-16 11:30:00+00:00,2021-07-16 12:34:40+00:00,0.85307,0.85385,0.0007800000000000029,0.1,0.1,10.3,0.0,-0.5,9.8,,[tp 0.85385],10,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
12,EURGBP,BUY,2021-07-22 13:30:00+00:00,2021-07-22 16:16:20+00:00,0.85745,0.85841,0.0009599999999999609,0.1,0.1,12.73,0.0,-0.5,12.23,,[tp 0.85841],12,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
14,EURGBP,BUY,2021-07-23 16:30:00+00:00,2021-07-23 23:45:00+00:00,0.85551,0.85617,0.0006599999999999939,0.1,0.1,8.57,0.0,-0.5,8.07,,Strategy 3.31.132,14,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
16,EURGBP,BUY,2021-07-26 12:45:00+00:00,2021-07-26 23:45:00+00:00,0.8553,0.85414,-0.0011599999999999389,0.1,0.1,-16.54,0.0,-0.5,-17.04,,Strategy 3.31.132,16,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
18,EURGBP,BUY,2021-07-27 18:00:00+00:00,2021-07-27 23:45:00+00:00,0.85245,0.85137,-0.001080000000000081,0.1,0.1,-15.5,0.0,-0.5,-16.0,,Strategy 3.31.132,18,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
20,EURGBP,BUY,2021-07-28 10:00:00+00:00,2021-07-28 22:40:40+00:00,0.85139,0.8519,0.0005100000000000104,0.1,0.1,6.59,0.0,-0.5,6.09,,[tp 0.85190],20,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
22,EURGBP,BUY,2021-07-29 06:45:00+00:00,2021-07-29 23:45:00+00:00,0.85165,0.85127,-0.00038000000000004697,0.1,0.1,-5.81,0.0,-0.5,-6.31,,Strategy 3.31.132,22,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
24,EURGBP,BUY,2021-08-03 11:00:00+00:00,2021-08-03 17:00:20+00:00,0.85423,0.85476,0.0005299999999999194,0.1,0.1,6.86,0.0,-0.5,6.36,,[tp 0.85476],24,0.85507,IS,listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_62_3.31.132_BUY_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
