position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,EURGBP,SELL,2021-07-06 17:15:00+00:00,2021-07-06 23:45:00+00:00,0.85627,0.85674,0.00046999999999997044,0.1,0.1,-6.99,0.0,-0.5,-7.49,,Strategy 5.2.127,2,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
4,EURGBP,SELL,2021-07-08 17:15:00+00:00,2021-07-08 23:45:00+00:00,0.8606,0.85939,-0.0012100000000000444,0.1,0.1,16.19,0.0,-0.5,15.690000000000001,,Strategy 5.2.127,4,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
6,EURGBP,SELL,2021-07-14 18:15:00+00:00,2021-07-14 23:45:00+00:00,0.85257,0.85398,0.0014099999999999113,0.1,0.1,-20.05,0.0,-0.5,-20.55,,Strategy 5.2.127,6,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
8,EURGBP,SELL,2021-07-15 01:45:00+00:00,2021-07-15 10:56:40+00:00,0.85408,0.85658,0.0025000000000000577,0.1,0.1,-35.06,0.0,-0.5,-35.56,,[sl 0.85658],8,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
10,EURGBP,SELL,2021-07-19 21:00:00+00:00,2021-07-19 23:45:00+00:00,0.86292,0.86346,0.0005399999999999849,0.1,0.1,-7.88,0.0,-0.5,-8.379999999999999,,Strategy 5.2.127,10,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
12,EURGBP,SELL,2021-07-21 05:30:00+00:00,2021-07-21 20:05:40+00:00,0.86495,0.86095,-0.0040000000000000036,0.1,0.1,54.32,0.0,-0.5,53.82,,[tp 0.86095],12,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
14,EURGBP,SELL,2021-07-22 04:15:00+00:00,2021-07-22 13:48:00+00:00,0.86075,0.85675,-0.0040000000000000036,0.1,0.1,54.56,0.0,-0.5,54.06,,[tp 0.85675],14,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
16,EURGBP,SELL,2021-07-23 05:30:00+00:00,2021-07-23 11:20:40+00:00,0.85565,0.85815,0.0024999999999999467,0.1,0.1,-34.85,0.0,-0.5,-35.35,,[sl 0.85815],16,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
18,EURGBP,SELL,2021-07-28 06:45:00+00:00,2021-07-28 23:45:00+00:00,0.85203,0.85239,0.00036000000000002697,0.1,0.1,-5.51,0.0,-0.5,-6.01,,Strategy 5.2.127,18,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
20,EURGBP,SELL,2021-07-29 02:30:00+00:00,2021-07-29 23:45:00+00:00,0.85184,0.85132,-0.000520000000000076,0.1,0.1,6.76,0.0,-0.5,6.26,,Strategy 5.2.127,20,5.2.127,IS,listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_9_5.2.127_SELL_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
