position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,EURUSD,SELL,2021-07-06 03:15:00+00:00,2021-07-06 06:28:40+00:00,1.18659,1.18794,0.0013499999999999623,0.1,0.1,-14.0,0.0,-0.5,-14.5,,[sl 1.18794],2,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
4,EURUSD,SELL,2021-07-07 09:30:00+00:00,2021-07-07 16:09:40+00:00,1.18283,1.18151,-0.0013199999999999878,0.1,0.1,12.7,0.0,-0.5,12.2,,[tp 1.18151],4,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
6,EURUSD,SELL,2021-07-08 10:00:00+00:00,2021-07-08 10:54:40+00:00,1.17972,1.18153,0.0018099999999998673,0.1,0.1,-18.6,0.0,-0.5,-19.1,,[sl 1.18153],6,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
8,EURUSD,SELL,2021-07-09 12:15:00+00:00,2021-07-09 12:57:40+00:00,1.18361,1.18578,0.0021700000000000053,0.1,0.1,-22.2,0.0,-0.5,-22.7,,[sl 1.18578],8,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
10,EURUSD,SELL,2021-07-12 05:00:00+00:00,2021-07-12 12:54:40+00:00,1.187,1.18584,-0.0011600000000000499,0.1,0.1,11.1,0.0,-0.5,10.6,,[tp 1.18584],10,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
12,EURUSD,SELL,2021-07-13 04:30:00+00:00,2021-07-13 05:40:40+00:00,1.18637,1.18779,0.0014199999999999768,0.1,0.1,-14.7,0.0,-0.5,-15.2,,[sl 1.18779],12,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
14,EURUSD,SELL,2021-07-14 10:30:00+00:00,2021-07-14 14:05:40+00:00,1.17921,1.18084,0.0016299999999997983,0.1,0.1,-16.8,0.0,-0.5,-17.3,,[sl 1.18084],14,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
16,EURUSD,SELL,2021-07-15 08:15:00+00:00,2021-07-15 08:49:40+00:00,1.18338,1.1848,0.0014199999999999768,0.1,0.1,-14.7,0.0,-0.5,-15.2,,[sl 1.18480],16,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
18,EURUSD,SELL,2021-07-16 03:45:00+00:00,2021-07-16 10:32:40+00:00,1.18138,1.18026,-0.0011200000000000099,0.1,0.1,10.7,0.0,-0.5,10.2,,[tp 1.18026],18,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
20,EURUSD,SELL,2021-07-19 03:30:00+00:00,2021-07-19 10:06:40+00:00,1.18071,1.17952,-0.0011900000000000244,0.1,0.1,11.4,0.0,-0.5,10.9,,[tp 1.17952],20,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
22,EURUSD,SELL,2021-07-20 04:30:00+00:00,2021-07-20 08:53:00+00:00,1.17965,1.17835,-0.0013000000000000789,0.1,0.1,12.5,0.0,-0.5,12.0,,[tp 1.17835],22,1.18794,IS,listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_73_5.43.181_SELL_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT
