position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,GBPJPY,BUY,2021-07-05 11:30:00+00:00,2021-07-05 23:45:00+00:00,153.742,153.628,-0.11400000000000432,0.1,0.1,-10.77,0.0,-0.5,-11.27,,Strategy_5_35_116,2,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
4,GBPJPY,BUY,2021-07-06 03:45:00+00:00,2021-07-06 06:13:40+00:00,153.583,153.912,0.32900000000000773,0.1,0.1,29.18,0.0,-0.5,28.68,,[tp 153.912],4,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
6,GBPJPY,BUY,2021-07-08 03:15:00+00:00,2021-07-08 10:03:40+00:00,152.599,151.649,-0.9499999999999886,0.1,0.1,-86.72,0.0,-0.5,-87.22,,[sl 151.649],6,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
8,GBPJPY,BUY,2021-07-13 11:00:00+00:00,2021-07-13 23:45:00+00:00,153.161,152.837,-0.3240000000000123,0.1,0.1,-29.78,0.0,-0.5,-30.28,,Strategy_5_35_116,8,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
10,GBPJPY,BUY,2021-07-15 14:00:00+00:00,2021-07-15 20:43:40+00:00,152.706,151.756,-0.9499999999999886,0.1,0.1,-86.93,0.0,-0.5,-87.43,,[sl 151.756],10,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
12,GBPJPY,BUY,2021-07-16 14:45:00+00:00,2021-07-16 23:14:40+00:00,152.382,151.432,-0.950000000000017,0.1,0.1,-86.83,0.0,-0.5,-87.33,,[sl 151.432],12,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
14,GBPJPY,BUY,2021-07-21 05:30:00+00:00,2021-07-21 11:24:40+00:00,149.534,150.01,0.4759999999999991,0.1,0.1,42.72,0.0,-0.5,42.22,,[tp 150.010],14,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
16,GBPJPY,BUY,2021-07-26 09:30:00+00:00,2021-07-26 12:15:40+00:00,151.641,152.044,0.40300000000002,0.1,0.1,36.04,0.0,-0.5,35.54,,[tp 152.044],16,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
18,GBPJPY,BUY,2021-07-27 10:45:00+00:00,2021-07-27 17:55:40+00:00,151.761,152.294,0.5330000000000155,0.1,0.1,48.0,0.0,-0.5,47.5,,[tp 152.294],18,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
20,GBPJPY,BUY,2021-07-28 05:00:00+00:00,2021-07-28 21:40:40+00:00,152.511,152.93,0.41900000000001114,0.1,0.1,37.56,0.0,-0.5,37.06,,[tp 152.930],20,153.912,IS,listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPJPY\listOfTrades_GBPJPY_50_5.35.116_BUY_M15.csv,DEMO_ACCOUNT,GBPJPY,DEMO_ACCOUNT
