position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,GBPUSD,BUY,2021-07-12 06:15:00+00:00,2021-07-12 18:17:40+00:00,1.38928,1.38794,-0.0013400000000001189,0.1,0.1,-13.9,0.0,-0.5,-14.4,,[sl 1.38794],2,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
4,GBPUSD,BUY,2021-07-13 10:00:00+00:00,2021-07-13 23:45:00+00:00,1.38798,1.38138,-0.006599999999999939,0.1,0.1,-66.5,0.0,-0.5,-67.0,,Strategy 0.13205,4,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
6,GBPUSD,BUY,2021-07-27 09:15:00+00:00,2021-07-27 10:01:40+00:00,1.38129,1.38073,-0.0005599999999998939,0.1,0.1,-6.1,0.0,-0.5,-6.6,,[sl 1.38073],6,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
8,GBPUSD,BUY,2021-07-28 00:15:00+00:00,2021-07-28 03:54:40+00:00,1.38841,1.3875,-0.0009099999999999664,0.1,0.1,-9.6,0.0,-0.5,-10.1,,[sl 1.38750],8,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
10,GBPUSD,BUY,2021-07-29 03:30:00+00:00,2021-07-29 08:26:40+00:00,1.39064,1.39322,0.0025799999999998047,0.1,0.1,25.3,0.0,-0.5,24.8,,[tp 1.39322],10,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
12,GBPUSD,BUY,2021-07-30 00:15:00+00:00,2021-07-30 03:01:40+00:00,1.39625,1.39599,-0.00025999999999992696,0.1,0.1,-3.1,0.0,-0.5,-3.6,,[sl 1.39599],12,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
14,GBPUSD,BUY,2021-08-02 05:15:00+00:00,2021-08-02 09:19:40+00:00,1.3889,1.39122,0.0023199999999998777,0.1,0.1,22.7,0.0,-0.5,22.2,,[tp 1.39122],14,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
16,GBPUSD,BUY,2021-08-03 00:15:00+00:00,2021-08-03 04:31:20+00:00,1.3886,1.38873,0.00012999999999996348,0.1,0.1,0.8,0.0,-0.5,0.30000000000000004,,[sl 1.38873],16,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
18,GBPUSD,BUY,2021-08-04 04:00:00+00:00,2021-08-04 05:50:40+00:00,1.39083,1.39271,0.0018799999999998818,0.1,0.1,18.3,0.0,-0.5,17.8,,[tp 1.39271],18,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
20,GBPUSD,BUY,2021-08-05 05:45:00+00:00,2021-08-05 09:03:40+00:00,1.38865,1.38881,0.00016000000000016001,0.1,0.1,1.1,0.0,-0.5,0.6000000000000001,,[sl 1.38881],20,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
22,GBPUSD,BUY,2021-08-06 03:30:00+00:00,2021-08-06 10:08:40+00:00,1.39233,1.39198,-0.0003500000000000725,0.1,0.1,-4.0,0.0,-0.5,-4.5,,[sl 1.39198],22,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
24,GBPUSD,BUY,2021-08-09 01:15:00+00:00,2021-08-09 10:12:40+00:00,1.38717,1.3874,0.00022999999999995246,0.1,0.1,1.8,0.0,-0.5,1.3,,[sl 1.38740],24,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
26,GBPUSD,BUY,2021-08-12 09:45:00+00:00,2021-08-12 11:13:40+00:00,1.38654,1.38674,0.00019999999999997797,0.1,0.1,1.5,0.0,-0.5,1.0,,[sl 1.38674],26,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
28,GBPUSD,BUY,2021-08-16 00:15:00+00:00,2021-08-16 16:29:40+00:00,1.38724,1.38583,-0.0014100000000001334,0.1,0.1,-14.6,0.0,-0.5,-15.1,,[sl 1.38583],28,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
30,GBPUSD,BUY,2021-08-30 00:15:00+00:00,2021-08-30 09:37:40+00:00,1.37614,1.37653,0.0003900000000001125,0.1,0.1,3.4,0.0,-0.5,2.9,,[sl 1.37653],30,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
32,GBPUSD,BUY,2021-08-31 12:00:00+00:00,2021-08-31 12:45:40+00:00,1.37745,1.37614,-0.0013100000000001444,0.1,0.1,-13.6,0.0,-0.5,-14.1,,[sl 1.37614],32,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
34,GBPUSD,BUY,2021-09-03 10:15:00+00:00,2021-09-03 13:09:40+00:00,1.38319,1.38296,-0.00022999999999995246,0.1,0.1,-2.8,0.0,-0.5,-3.3,,[sl 1.38296],34,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
36,GBPUSD,BUY,2021-09-08 02:15:00+00:00,2021-09-08 06:18:40+00:00,1.37793,1.37805,0.00011999999999989797,0.1,0.1,0.7,0.0,-0.5,0.19999999999999996,,[sl 1.37805],36,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
38,GBPUSD,BUY,2021-09-10 09:45:00+00:00,2021-09-10 10:30:40+00:00,1.38487,1.38671,0.0018400000000000638,0.1,0.1,17.9,0.0,-0.5,17.4,,[tp 1.38671],38,1.38794,IS,listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_19_0.13205_BUY_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
