position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,NZDUSD,SELL,2021-07-06 01:15:00+00:00,2021-07-06 05:02:40+00:00,0.70363,0.70788,0.004249999999999976,0.1,0.1,-43.0,0.0,-0.5,-43.5,,[sl 0.70788],2,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
4,NZDUSD,SELL,2021-07-07 02:45:00+00:00,2021-07-07 14:57:20+00:00,0.70226,0.70644,0.0041799999999999615,0.1,0.1,-42.3,0.0,-0.5,-42.8,,[sl 0.70644],4,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
6,NZDUSD,SELL,2021-07-09 02:45:00+00:00,2021-07-09 15:12:20+00:00,0.6953,0.69922,0.0039199999999999235,0.1,0.1,-39.7,0.0,-0.5,-40.2,,[sl 0.69922],6,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
8,NZDUSD,SELL,2021-07-12 17:30:00+00:00,2021-07-12 23:45:00+00:00,0.69832,0.69852,0.00019999999999997797,0.1,0.1,-2.5,0.0,-0.5,-3.0,,Strategy 5.7.105,8,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
10,NZDUSD,SELL,2021-07-14 03:30:00+00:00,2021-07-14 05:00:40+00:00,0.69521,0.6988,0.003589999999999982,0.1,0.1,-36.4,0.0,-0.5,-36.9,,[sl 0.69880],10,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
12,NZDUSD,SELL,2021-07-15 01:15:00+00:00,2021-07-15 05:56:00+00:00,0.70403,0.70005,-0.003980000000000095,0.1,0.1,39.3,0.0,-0.5,38.8,,[tp 0.70005],12,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
14,NZDUSD,SELL,2021-07-16 01:15:00+00:00,2021-07-16 09:30:00+00:00,0.69879,0.70323,0.0044399999999999995,0.1,0.1,-44.9,0.0,-0.5,-45.4,,[sl 0.70323],14,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
16,NZDUSD,SELL,2021-07-21 03:30:00+00:00,2021-07-21 09:34:40+00:00,0.69289,0.68967,-0.0032200000000000006,0.1,0.1,31.7,0.0,-0.5,31.2,,[tp 0.68967],16,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
18,NZDUSD,SELL,2021-07-22 10:30:00+00:00,2021-07-22 23:45:00+00:00,0.69682,0.69766,0.0008399999999999519,0.1,0.1,-8.9,0.0,-0.5,-9.4,,Strategy 5.7.105,18,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
20,NZDUSD,SELL,2021-07-27 15:45:00+00:00,2021-07-27 23:45:00+00:00,0.69696,0.69576,-0.0011999999999999789,0.1,0.1,11.5,0.0,-0.5,11.0,,Strategy 5.7.105,20,0.70788,IS,listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_25_5.7.105_SELL_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
