position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USDCAD,BUY,2021-07-05 09:45:00+00:00,2021-07-05 15:04:20+00:00,1.23365,1.23602,0.0023699999999999832,0.1,0.1,18.67,0.0,-0.5,18.17,,[tp 1.23602],2,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
4,USDCAD,BUY,2021-07-06 05:15:00+00:00,2021-07-06 12:23:40+00:00,1.23283,1.23562,0.002789999999999848,0.1,0.1,22.08,0.0,-0.5,21.58,,[tp 1.23562],4,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
6,USDCAD,BUY,2021-07-07 08:45:00+00:00,2021-07-07 17:21:20+00:00,1.24589,1.2488,0.002909999999999968,0.1,0.1,22.8,0.0,-0.5,22.3,,[tp 1.24880],6,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
8,USDCAD,BUY,2021-07-09 10:15:00+00:00,2021-07-09 23:45:00+00:00,1.25239,1.24444,-0.007949999999999902,0.1,0.1,-64.38,0.0,-0.5,-64.88,,Strategy 4.16.175,8,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
10,USDCAD,BUY,2021-07-12 17:15:00+00:00,2021-07-12 23:45:00+00:00,1.24751,1.24516,-0.002349999999999852,0.1,0.1,-19.37,0.0,-0.5,-19.87,,Strategy 4.16.175,10,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
12,USDCAD,BUY,2021-07-13 03:15:00+00:00,2021-07-13 11:08:40+00:00,1.24482,1.24724,0.0024199999999998667,0.1,0.1,18.9,0.0,-0.5,18.4,,[tp 1.24724],12,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
14,USDCAD,BUY,2021-07-14 05:15:00+00:00,2021-07-14 23:45:00+00:00,1.25009,1.2509,0.0008099999999999774,0.1,0.1,5.98,0.0,-0.5,5.48,,Strategy 4.16.175,14,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
16,USDCAD,BUY,2021-07-16 03:15:00+00:00,2021-07-16 23:45:00+00:00,1.25841,1.26172,0.003309999999999924,0.1,0.1,25.73,0.0,-0.5,25.23,,Strategy 4.16.175,16,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
18,USDCAD,BUY,2021-07-20 05:00:00+00:00,2021-07-20 08:48:40+00:00,1.27377,1.2773,0.003530000000000033,0.1,0.1,27.14,0.0,-0.5,26.64,,[tp 1.27730],18,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
20,USDCAD,BUY,2021-07-21 11:45:00+00:00,2021-07-21 23:45:00+00:00,1.26874,1.25616,-0.012580000000000036,0.1,0.1,-100.65,0.0,-0.5,-101.15,,Strategy 4.16.175,20,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
22,USDCAD,BUY,2021-07-22 11:45:00+00:00,2021-07-22 17:16:20+00:00,1.25611,1.25942,0.003309999999999924,0.1,0.1,25.78,0.0,-0.5,25.28,,[tp 1.25942],22,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
24,USDCAD,BUY,2021-07-23 12:15:00+00:00,2021-07-23 16:50:40+00:00,1.25612,1.25897,0.002850000000000019,0.1,0.1,22.14,0.0,-0.5,21.64,,[tp 1.25897],24,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
26,USDCAD,BUY,2021-07-28 04:30:00+00:00,2021-07-28 23:45:00+00:00,1.25826,1.25245,-0.005809999999999871,0.1,0.1,-46.89,0.0,-0.5,-47.39,,Strategy 4.16.175,26,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
28,USDCAD,BUY,2021-07-29 05:45:00+00:00,2021-07-29 23:45:00+00:00,1.25061,1.24476,-0.005849999999999911,0.1,0.1,-47.5,0.0,-0.5,-48.0,,Strategy 4.16.175,28,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
30,USDCAD,BUY,2021-07-30 09:45:00+00:00,2021-07-30 17:55:40+00:00,1.24517,1.2476,0.002429999999999932,0.1,0.1,18.98,0.0,-0.5,18.48,,[tp 1.24760],30,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
32,USDCAD,BUY,2021-08-04 02:00:00+00:00,2021-08-04 17:31:40+00:00,1.25324,1.2562,0.0029600000000000737,0.1,0.1,23.06,0.0,-0.5,22.56,,[tp 1.25620],32,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
34,USDCAD,BUY,2021-08-05 00:15:00+00:00,2021-08-05 23:45:00+00:00,1.25435,1.25003,-0.0043200000000001015,0.1,0.1,-35.06,0.0,-0.5,-35.56,,Strategy 4.16.175,34,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
36,USDCAD,BUY,2021-08-06 09:00:00+00:00,2021-08-06 15:30:40+00:00,1.25049,1.25236,0.0018699999999998163,0.1,0.1,14.43,0.0,-0.5,13.93,,[tp 1.25236],36,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
38,USDCAD,BUY,2021-08-09 00:15:00+00:00,2021-08-09 18:01:40+00:00,1.25551,1.25872,0.003210000000000157,0.1,0.1,25.0,0.0,-0.5,24.5,,[tp 1.25872],38,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
40,USDCAD,BUY,2021-08-17 16:45:00+00:00,2021-08-17 19:53:40+00:00,1.26037,1.26428,0.00391000000000008,0.1,0.1,30.43,0.0,-0.5,29.93,,[tp 1.26428],40,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
42,USDCAD,BUY,2021-08-18 05:30:00+00:00,2021-08-18 19:21:40+00:00,1.26184,1.26486,0.0030200000000000227,0.1,0.1,23.38,0.0,-0.5,22.88,,[tp 1.26486],42,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
44,USDCAD,BUY,2021-08-20 03:30:00+00:00,2021-08-20 04:46:40+00:00,1.28209,1.28568,0.003589999999999982,0.1,0.1,27.42,0.0,-0.5,26.92,,[tp 1.28568],44,1.23602,IS,listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCAD\listOfTrades_USDCAD_32_4.16.175_BUY_M15.csv,DEMO_ACCOUNT,USDCAD,DEMO_ACCOUNT
