position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USDCHF,BUY,2021-07-06 04:15:00+00:00,2021-07-06 12:35:40+00:00,0.92226,0.92452,0.0022600000000000398,0.1,0.1,23.95,0.0,-0.5,23.45,,[tp 0.92452],2,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
4,USDCHF,BUY,2021-07-07 02:45:00+00:00,2021-07-07 23:45:00+00:00,0.92517,0.92565,0.00047999999999992493,0.1,0.1,4.69,0.0,-0.5,4.19,,Strategy_6_47_153,4,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
6,USDCHF,BUY,2021-07-08 03:30:00+00:00,2021-07-08 10:59:40+00:00,0.92566,0.92016,-0.00550000000000006,0.1,0.1,-60.27,0.0,-0.5,-60.77,,[sl 0.92016],6,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
8,USDCHF,BUY,2021-07-13 11:30:00+00:00,2021-07-13 15:30:40+00:00,0.91613,0.91825,0.0021200000000000108,0.1,0.1,22.59,0.0,-0.5,22.09,,[tp 0.91825],8,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
10,USDCHF,BUY,2021-07-14 04:10:00+00:00,2021-07-14 23:45:00+00:00,0.91861,0.91427,-0.0043400000000000105,0.1,0.1,-47.97,0.0,-0.5,-48.47,,Strategy_6_47_153,10,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
12,USDCHF,BUY,2021-07-19 04:45:00+00:00,2021-07-19 12:14:40+00:00,0.91993,0.92213,0.0021999999999999797,0.1,0.1,23.36,0.0,-0.5,22.86,,[tp 0.92213],12,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
14,USDCHF,BUY,2021-07-21 04:45:00+00:00,2021-07-21 23:45:00+00:00,0.92145,0.91749,-0.0039599999999999635,0.1,0.1,-43.66,0.0,-0.5,-44.16,,Strategy_6_47_153,14,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
16,USDCHF,BUY,2021-07-23 08:00:00+00:00,2021-07-23 14:31:40+00:00,0.92047,0.92201,0.0015399999999999858,0.1,0.1,16.2,0.0,-0.5,15.7,,[tp 0.92201],16,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
18,USDCHF,BUY,2021-08-06 02:00:00+00:00,2021-08-06 15:30:40+00:00,0.90722,0.90915,0.0019299999999999873,0.1,0.1,20.73,0.0,-0.5,20.23,,[tp 0.90915],18,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
20,USDCHF,BUY,2021-08-09 17:15:00+00:00,2021-08-09 23:45:00+00:00,0.91884,0.92058,0.0017399999999999638,0.1,0.1,18.4,0.0,-0.5,17.9,,Strategy_6_47_153,20,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
22,USDCHF,BUY,2021-08-10 16:00:00+00:00,2021-08-10 23:45:00+00:00,0.92364,0.92301,-0.0006300000000000194,0.1,0.1,-7.33,0.0,-0.5,-7.83,,Strategy_6_47_153,22,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
24,USDCHF,BUY,2021-08-11 04:00:00+00:00,2021-08-11 23:45:00+00:00,0.92369,0.92174,-0.0019500000000000073,0.1,0.1,-21.66,0.0,-0.5,-22.16,,Strategy_6_47_153,24,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
26,USDCHF,BUY,2021-08-18 16:00:00+00:00,2021-08-18 18:26:40+00:00,0.91612,0.91961,0.003489999999999993,0.1,0.1,37.45,0.0,-0.5,36.95,,[tp 0.91961],26,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
28,USDCHF,BUY,2021-08-20 02:30:00+00:00,2021-08-20 23:45:00+00:00,0.91939,0.91702,-0.0023700000000000943,0.1,0.1,-26.34,0.0,-0.5,-26.84,,Strategy_6_47_153,28,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
30,USDCHF,BUY,2021-08-25 16:00:00+00:00,2021-08-25 23:45:00+00:00,0.91556,0.91367,-0.0018900000000000583,0.1,0.1,-21.19,0.0,-0.5,-21.69,,Strategy_6_47_153,30,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
32,USDCHF,BUY,2021-08-26 05:00:00+00:00,2021-08-26 10:00:20+00:00,0.91415,0.91648,0.0023299999999999432,0.1,0.1,24.92,0.0,-0.5,24.42,,[tp 0.91648],32,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
34,USDCHF,BUY,2021-08-27 16:00:00+00:00,2021-08-27 18:10:40+00:00,0.91816,0.91266,-0.005499999999999949,0.1,0.1,-60.76,0.0,-0.5,-61.26,,[sl 0.91266],34,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
36,USDCHF,BUY,2021-09-01 03:15:00+00:00,2021-09-01 08:21:40+00:00,0.91617,0.91863,0.0024599999999999067,0.1,0.1,26.28,0.0,-0.5,25.78,,[tp 0.91863],36,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
38,USDCHF,BUY,2021-09-14 04:00:00+00:00,2021-09-14 23:45:00+00:00,0.9226,0.91994,-0.0026599999999999957,0.1,0.1,-29.41,0.0,-0.5,-29.91,,Strategy_6_47_153,38,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
40,USDCHF,BUY,2021-09-17 16:00:00+00:00,2021-09-17 19:52:40+00:00,0.92879,0.93203,0.0032400000000000206,0.1,0.1,34.26,0.0,-0.5,33.76,,[tp 0.93203],40,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
42,USDCHF,BUY,2021-09-23 04:00:00+00:00,2021-09-23 23:45:00+00:00,0.92687,0.92453,-0.0023400000000000087,0.1,0.1,-25.81,0.0,-0.5,-26.31,,Strategy_6_47_153,42,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
44,USDCHF,BUY,2021-09-27 04:00:00+00:00,2021-09-27 10:53:40+00:00,0.92562,0.928,0.0023800000000000487,0.1,0.1,25.15,0.0,-0.5,24.65,,[tp 0.92800],44,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
46,USDCHF,BUY,2021-09-28 10:00:00+00:00,2021-09-28 23:45:00+00:00,0.92934,0.92906,-0.000280000000000058,0.1,0.1,-3.51,0.0,-0.5,-4.01,,Strategy_6_47_153,46,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
48,USDCHF,BUY,2021-09-29 03:45:00+00:00,2021-09-29 17:23:40+00:00,0.9298,0.93275,0.002950000000000008,0.1,0.1,31.13,0.0,-0.5,30.63,,[tp 0.93275],48,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
50,USDCHF,BUY,2021-09-30 09:45:00+00:00,2021-09-30 23:45:00+00:00,0.93464,0.93198,-0.0026599999999999957,0.1,0.1,-29.04,0.0,-0.5,-29.54,,Strategy_6_47_153,50,0.92452,IS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
