position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USDCHF,BUY,2021-07-06 16:15:00+00:00,2021-07-06 23:45:00+00:00,0.92439,0.92431,-8.000000000008001e-05,0.1,0.1,-1.37,0.0,-0.5,-1.87,,Strategy 6.23.134,2,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
4,USDCHF,BUY,2021-07-13 14:45:00+00:00,2021-07-13 15:31:40+00:00,0.91754,0.91904,0.0014999999999999458,0.1,0.1,15.82,0.0,-0.5,15.32,,[tp 0.91904],4,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
6,USDCHF,BUY,2021-07-15 19:15:00+00:00,2021-07-15 23:45:00+00:00,0.91928,0.91779,-0.0014899999999999913,0.1,0.1,-16.73,0.0,-0.5,-17.23,,Strategy 6.23.134,6,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
8,USDCHF,BUY,2021-07-19 10:30:00+00:00,2021-07-19 15:47:40+00:00,0.92199,0.91947,-0.0025199999999999667,0.1,0.1,-27.91,0.0,-0.5,-28.41,,[sl 0.91947],8,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
10,USDCHF,BUY,2021-07-20 16:30:00+00:00,2021-07-20 23:45:00+00:00,0.9223,0.92127,-0.0010299999999999754,0.1,0.1,-11.68,0.0,-0.5,-12.18,,Strategy 6.23.134,10,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
12,USDCHF,BUY,2021-07-23 13:15:00+00:00,2021-07-23 23:45:00+00:00,0.92158,0.91978,-0.0017999999999999128,0.1,0.1,-20.07,0.0,-0.5,-20.57,,Strategy 6.23.134,12,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
14,USDCHF,BUY,2021-07-28 17:00:00+00:00,2021-07-28 19:55:40+00:00,0.9169,0.913,-0.0039000000000000146,0.1,0.1,-43.22,0.0,-0.5,-43.72,,[sl 0.91300],14,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
16,USDCHF,BUY,2021-08-04 11:30:00+00:00,2021-08-04 15:46:40+00:00,0.90536,0.90261,-0.00275000000000003,0.1,0.1,-30.97,0.0,-0.5,-31.47,,[sl 0.90261],16,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
18,USDCHF,BUY,2021-08-05 05:45:00+00:00,2021-08-05 10:56:40+00:00,0.90757,0.90548,-0.0020900000000000363,0.1,0.1,-23.58,0.0,-0.5,-24.08,,[sl 0.90548],18,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
20,USDCHF,BUY,2021-08-06 05:45:00+00:00,2021-08-06 14:32:20+00:00,0.90777,0.90865,0.0008799999999999919,0.1,0.1,9.18,0.0,-0.5,8.68,,[tp 0.90865],20,6.23.134,IS,listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_55_6.23.134_BUY_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
