position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USDJPY,BUY,2021-07-07 16:15:00+00:00,2021-07-07 23:45:00+00:00,110.726,110.623,-0.10299999999999443,0.1,0.1,-9.81,0.0,-0.5,-10.31,,Strategy 0.18430,2,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
4,USDJPY,BUY,2021-07-09 13:45:00+00:00,2021-07-09 23:45:00+00:00,109.994,110.122,0.1280000000000001,0.1,0.1,11.12,0.0,-0.5,10.62,,Strategy 0.18430,4,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
6,USDJPY,BUY,2021-07-12 14:45:00+00:00,2021-07-12 23:45:30+00:00,110.309,110.344,0.03499999999999659,0.1,0.1,2.67,0.0,-0.5,2.17,,Strategy 0.18430,6,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
8,USDJPY,BUY,2021-07-13 16:00:00+00:00,2021-07-13 23:45:00+00:00,110.564,110.64,0.07600000000000762,0.1,0.1,6.37,0.0,-0.5,5.87,,Strategy 0.18430,8,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
10,USDJPY,BUY,2021-07-16 10:45:00+00:00,2021-07-16 23:45:00+00:00,110.225,110.066,-0.15899999999999181,0.1,0.1,-14.95,0.0,-0.5,-15.45,,Strategy 0.18430,10,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
12,USDJPY,BUY,2021-07-19 08:45:00+00:00,2021-07-19 15:16:20+00:00,109.994,109.594,-0.4000000000000057,0.1,0.1,-37.0,0.0,-0.5,-37.5,,[sl 109.594],12,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
14,USDJPY,BUY,2021-07-20 17:15:00+00:00,2021-07-20 23:45:00+00:00,109.658,109.852,0.19400000000000261,0.1,0.1,17.16,0.0,-0.5,16.66,,Strategy 0.18430,14,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
16,USDJPY,BUY,2021-07-21 10:30:00+00:00,2021-07-21 23:45:00+00:00,110.046,110.286,0.23999999999999488,0.1,0.1,21.26,0.0,-0.5,20.76,,Strategy 0.18430,16,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
18,USDJPY,BUY,2021-07-22 11:15:00+00:00,2021-07-22 23:45:00+00:00,110.389,110.186,-0.20299999999998875,0.1,0.1,-18.92,0.0,-0.5,-19.42,,Strategy 0.18430,18,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
20,USDJPY,BUY,2021-07-23 10:00:00+00:00,2021-07-23 23:45:00+00:00,110.347,110.551,0.20400000000000773,0.1,0.1,17.95,0.0,-0.5,17.45,,Strategy 0.18430,20,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
22,USDJPY,BUY,2021-07-30 09:30:00+00:00,2021-07-30 23:45:00+00:00,109.667,109.692,0.024999999999991473,0.1,0.1,1.78,0.0,-0.5,1.28,,Strategy 0.18430,22,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
24,USDJPY,BUY,2021-08-04 11:15:00+00:00,2021-08-04 15:51:20+00:00,109.179,108.779,-0.4000000000000057,0.1,0.1,-37.27,0.0,-0.5,-37.77,,[sl 108.779],24,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
26,USDJPY,BUY,2021-08-06 15:45:00+00:00,2021-08-06 23:45:00+00:00,110.113,110.233,0.12000000000000455,0.1,0.1,10.39,0.0,-0.5,9.89,,Strategy 0.18430,26,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
28,USDJPY,BUY,2021-08-10 10:15:00+00:00,2021-08-10 23:45:00+00:00,110.463,110.597,0.13400000000000034,0.1,0.1,11.62,0.0,-0.5,11.12,,Strategy 0.18430,28,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
30,USDJPY,BUY,2021-08-12 17:30:00+00:00,2021-08-12 23:45:00+00:00,110.499,110.437,-0.06199999999999761,0.1,0.1,-6.11,0.0,-0.5,-6.61,,Strategy 0.18430,30,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
32,USDJPY,BUY,2021-08-18 10:00:00+00:00,2021-08-18 23:45:00+00:00,109.654,109.764,0.10999999999999943,0.1,0.1,9.52,0.0,-0.5,9.02,,Strategy 0.18430,32,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
34,USDJPY,BUY,2021-08-23 09:00:00+00:00,2021-08-23 23:45:00+00:00,109.997,109.699,-0.2980000000000018,0.1,0.1,-27.67,0.0,-0.5,-28.17,,Strategy 0.18430,34,0.18430,IS,listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_37_0.18430_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT
