position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,XAUUSD,BUY,2021-07-06 04:45:00+00:00,2021-07-06 09:00:40+00:00,1794.23,1805.63,11.400000000000091,0.1,0.1,113.74,0.0,-0.26,113.47999999999999,,[tp 1805.63],2,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
4,XAUUSD,BUY,2021-07-07 04:30:00+00:00,2021-07-07 23:45:00+00:00,1801.84,1803.81,1.9700000000000273,0.1,0.1,19.44,0.0,-0.26,19.18,,Strategy 2.13.130,4,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
6,XAUUSD,BUY,2021-07-08 10:30:00+00:00,2021-07-08 13:00:40+00:00,1806.01,1817.41,11.400000000000091,0.1,0.1,113.74,0.0,-0.26,113.47999999999999,,[tp 1817.41],6,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
8,XAUUSD,BUY,2021-07-09 04:45:00+00:00,2021-07-09 23:45:00+00:00,1806.24,1808.22,1.9800000000000182,0.1,0.1,19.54,0.0,-0.26,19.279999999999998,,Strategy 2.13.130,8,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
10,XAUUSD,BUY,2021-07-13 03:15:00+00:00,2021-07-13 23:45:00+00:00,1808.65,1807.77,-0.8800000000001091,0.1,0.1,-9.06,0.0,-0.26,-9.32,,Strategy 2.13.130,10,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
12,XAUUSD,BUY,2021-07-14 05:45:00+00:00,2021-07-14 15:00:40+00:00,1811.42,1822.82,11.399999999999864,0.1,0.1,113.74,0.0,-0.26,113.47999999999999,,[tp 1822.82],12,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
14,XAUUSD,BUY,2021-07-15 04:45:00+00:00,2021-07-15 23:45:00+00:00,1828.1,1829.25,1.150000000000091,0.1,0.1,11.24,0.0,-0.26,10.98,,Strategy 2.13.130,14,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
16,XAUUSD,BUY,2021-07-16 02:15:00+00:00,2021-07-16 13:00:40+00:00,1831.36,1819.81,-11.549999999999955,0.1,0.1,-115.76,0.0,-0.26,-116.02000000000001,,[sl 1819.81],16,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
18,XAUUSD,BUY,2021-07-20 03:15:00+00:00,2021-07-20 23:45:00+00:00,1813.74,1810.08,-3.660000000000082,0.1,0.1,-36.86,0.0,-0.26,-37.12,,Strategy 2.13.130,18,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
20,XAUUSD,BUY,2021-07-21 09:15:00+00:00,2021-07-21 14:00:40+00:00,1812.43,1800.88,-11.549999999999955,0.1,0.1,-115.76,0.0,-0.26,-116.02000000000001,,[sl 1800.88],20,1805.63,IS,listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\XAUUSD\listOfTrades_XAUUSD_45_2.13.130_BUY_M15.csv,DEMO_ACCOUNT,XAUUSD,DEMO_ACCOUNT
